# 1:theta 2:M 3:vel 4:ye  
0.062429  0.000004  0.177098  0.405680
0.125286  0.000008  0.167009  0.407083
0.188143  0.000013  0.150670  0.402954
0.251000  0.000017  0.142823  0.395567
0.313857  0.000021  0.138147  0.392184
0.376714  0.000023  0.138404  0.387964
0.439571  0.000025  0.150442  0.385478
0.502429  0.000025  0.161993  0.380942
0.565286  0.000026  0.172232  0.374130
0.628143  0.000028  0.178276  0.365192
0.691000  0.000033  0.174875  0.342254
0.753857  0.000038  0.182640  0.315158
0.816714  0.000042  0.194167  0.285194
0.879571  0.000052  0.195314  0.254453
0.942429  0.000068  0.189827  0.221299
1.005286  0.000081  0.184533  0.196211
1.068143  0.000090  0.174378  0.174945
1.131000  0.000099  0.167603  0.156660
1.193857  0.000108  0.156213  0.137810
1.256714  0.000114  0.147361  0.120589
1.319571  0.000112  0.143310  0.112611
1.382429  0.000118  0.143584  0.099457
1.445286  0.000151  0.142761  0.084012
1.508143  0.000188  0.142216  0.068085
1.571000  0.000217  0.143610  0.060984
1.633857  0.000188  0.142216  0.068085
1.696714  0.000151  0.142761  0.084012
1.759571  0.000118  0.143584  0.099457
1.822429  0.000112  0.143310  0.112611
1.885286  0.000114  0.147361  0.120589
1.948143  0.000108  0.156213  0.137810
2.011000  0.000099  0.167603  0.156660
2.073857  0.000090  0.174378  0.174945
2.136714  0.000081  0.184533  0.196211
2.199571  0.000068  0.189827  0.221299
2.262429  0.000052  0.195314  0.254453
2.325286  0.000042  0.194167  0.285194
2.388143  0.000038  0.182640  0.315158
2.451000  0.000033  0.174875  0.342254
2.513857  0.000028  0.178276  0.365192
2.576714  0.000026  0.172232  0.374130
2.639571  0.000025  0.161993  0.380942
2.702429  0.000025  0.150442  0.385478
2.765286  0.000023  0.138404  0.387964
2.828143  0.000021  0.138147  0.392184
2.891000  0.000017  0.142823  0.395567
2.953857  0.000013  0.150670  0.402954
3.016714  0.000008  0.167009  0.407083
3.079571  0.000006  0.179384  0.404974
