#            rhoc              M             Mb              R              C             kl            lam
9.787575000000000561e-05 8.085976999999999748e-02 8.088481000000000143e-02 1.976006999999999891e+01 4.092100000000000425e-03 1.946000000000000160e-02 1.130660000000000000e+10
1.336273000000000072e-04 8.139675000000000382e-02 8.142415999999999543e-02 1.787058999999999997e+01 4.554800000000000341e-03 1.929625999999999911e-02 6.562065000000000000e+09
1.693788000000000054e-04 8.178074000000000454e-02 8.181001999999999719e-02 1.655145999999999873e+01 4.941000000000000079e-03 1.917216999999999880e-02 4.340164000000000000e+09
1.872544999999999874e-04 8.193612999999999591e-02 8.196622000000000630e-02 1.602123999999999882e+01 5.114200000000000169e-03 1.912610000000000005e-02 3.644504000000000000e+09
2.230060000000000126e-04 8.219592000000000565e-02 8.222741999999999551e-02 1.514183000000000057e+01 5.428399999999999892e-03 1.901635999999999951e-02 2.689532000000000000e+09
2.408818000000000016e-04 8.230597000000000607e-02 8.233809999999999740e-02 1.477070999999999934e+01 5.572200000000000243e-03 1.895629999999999885e-02 2.352407000000000000e+09
2.587574999999999836e-04 8.240551000000000126e-02 8.243822000000000649e-02 1.443116999999999983e+01 5.710200000000000345e-03 1.891988000000000003e-02 2.077559000000000000e+09
2.766333000000000268e-04 8.249605000000000132e-02 8.252929000000000515e-02 1.412243999999999922e+01 5.841500000000000338e-03 1.887745000000000048e-02 1.850270000000000000e+09
3.123848000000000250e-04 8.291138000000000674e-02 8.294725000000000015e-02 1.321058000000000021e+01 6.276099999999999735e-03 1.881402000000000074e-02 1.288038000000000000e+09
3.302604999999999799e-04 8.430737000000000647e-02 8.435257999999999645e-02 1.234009999999999962e+01 6.832000000000000399e-03 1.922449000000000033e-02 8.610502000000000000e+08
3.660119999999999780e-04 9.206815000000000138e-02 9.217508000000000645e-02 1.056087999999999916e+01 8.717799999999999508e-03 2.273506000000000138e-02 3.009945000000000000e+08
4.017634999999999761e-04 1.070997999999999950e-01 1.073627000000000054e-01 9.200188000000000699e+00 1.164100000000000031e-02 3.064657000000000145e-02 9.557215000000000000e+07
4.375149999999999742e-04 1.288517000000000134e-01 1.294164999999999899e-01 8.321555999999999287e+00 1.548399999999999950e-02 4.331684000000000229e-02 3.244426000000000000e+07
4.553908000000000175e-04 1.420194999999999930e-01 1.428086000000000078e-01 8.021316999999999808e+00 1.770499999999999852e-02 5.119436000000000125e-02 1.961641000000000000e+07
4.732665000000000266e-04 1.566219000000000083e-01 1.576950000000000018e-01 7.792167000000000066e+00 2.009999999999999981e-02 5.975474000000000063e-02 1.214255000000000000e+07
4.911422999999999614e-04 1.726065999999999989e-01 1.740326000000000095e-01 7.621507000000000254e+00 2.264700000000000046e-02 6.863273000000000290e-02 7.679930000000000000e+06
5.090179999999999705e-04 1.899311999999999945e-01 1.917883999999999978e-01 7.491088999999999665e+00 2.535400000000000154e-02 7.785110000000000641e-02 4.953556000000000000e+06
5.268938000000000137e-04 2.085595000000000088e-01 2.109360999999999875e-01 7.400042000000000009e+00 2.818400000000000072e-02 8.675837000000000132e-02 3.252679000000000000e+06
5.626452999999999576e-04 2.495991999999999933e-01 2.533217999999999859e-01 7.280280999999999558e+00 3.428400000000000197e-02 1.045403000000000027e-01 1.471353000000000000e+06
5.805209999999999667e-04 2.719487999999999905e-01 2.765194000000000263e-01 7.250579000000000107e+00 3.750699999999999867e-02 1.125961999999999935e-01 1.011253000000000000e+06
5.983968000000000100e-04 2.954760000000000164e-01 3.010267999999999833e-01 7.231506000000000434e+00 4.086000000000000049e-02 1.203023000000000009e-01 7.042306999999999534e+05
6.162725000000000191e-04 3.201472000000000206e-01 3.268206000000000166e-01 7.223353000000000357e+00 4.432099999999999929e-02 1.273726000000000025e-01 4.965130999999999767e+05
6.341482999999999539e-04 3.459263000000000199e-01 3.538742999999999750e-01 7.230802999999999869e+00 4.784100000000000158e-02 1.331295999999999868e-01 3.541587999999999884e+05
6.520239999999999630e-04 3.727750000000000230e-01 3.821648999999999741e-01 7.241211999999999982e+00 5.147999999999999798e-02 1.385174000000000127e-01 2.554087000000000116e+05
6.698998000000000062e-04 4.006521000000000110e-01 4.116570999999999980e-01 7.260190999999999839e+00 5.518499999999999794e-02 1.428833999999999937e-01 1.861202999999999884e+05
6.877756000000000494e-04 4.295139000000000040e-01 4.423235999999999835e-01 7.280320999999999820e+00 5.899700000000000083e-02 1.468481000000000092e-01 1.369757999999999884e+05
