#            rhoc              M             Mb              R              C             kl            lam
9.787575000000000561e-05 8.085976999999999748e-02 8.088481000000000143e-02 1.976006999999999891e+01 4.092100000000000425e-03 1.946000000000000160e-02 1.130660000000000000e+10
1.336273000000000072e-04 8.139675000000000382e-02 8.142415999999999543e-02 1.787058999999999997e+01 4.554800000000000341e-03 1.929625999999999911e-02 6.562065000000000000e+09
1.872544999999999874e-04 8.927765999999999480e-02 8.935147999999999702e-02 1.348274999999999935e+01 6.621600000000000055e-03 2.238704000000000041e-02 1.172423000000000000e+09
2.051303000000000035e-04 1.004410000000000025e-01 1.006002000000000007e-01 1.191066999999999965e+01 8.432900000000000118e-03 2.821413000000000046e-02 4.410634000000000000e+08
2.230060000000000126e-04 1.163360999999999978e-01 1.166505000000000042e-01 1.079399000000000086e+01 1.077799999999999939e-02 3.754272000000000165e-02 1.720969000000000000e+08
2.408818000000000016e-04 1.364063000000000081e-01 1.369695999999999969e-01 1.006095999999999968e+01 1.355800000000000061e-02 4.969003000000000309e-02 7.231083000000000000e+07
2.587574999999999836e-04 1.602285999999999988e-01 1.611612000000000045e-01 9.590040000000000120e+00 1.670800000000000063e-02 6.378385000000000304e-02 3.266042000000000000e+07
2.766333000000000268e-04 1.875155000000000016e-01 1.889663000000000037e-01 9.281259000000000370e+00 2.020399999999999974e-02 7.925675999999999555e-02 1.569618000000000000e+07
2.945089999999999817e-04 2.180635999999999963e-01 2.202127000000000112e-01 9.091863999999999280e+00 2.398399999999999838e-02 9.465916000000000607e-02 7.950964000000000000e+06
3.123848000000000250e-04 2.517128000000000143e-01 2.547725000000000128e-01 8.981464000000000780e+00 2.802599999999999883e-02 1.092911000000000021e-01 4.214080000000000000e+06
3.302604999999999799e-04 2.883204999999999796e-01 2.925363999999999742e-01 8.930061000000000249e+00 3.228700000000000320e-02 1.222865000000000063e-01 2.323710000000000000e+06
3.481363000000000231e-04 3.277475000000000249e-01 3.333999000000000268e-01 8.910185999999999495e+00 3.678300000000000319e-02 1.340512000000000092e-01 1.327138000000000000e+06
3.660119999999999780e-04 3.698505999999999738e-01 3.772540999999999811e-01 8.920087000000000543e+00 4.146299999999999986e-02 1.437833000000000028e-01 7.822233000000000466e+05
3.838878000000000212e-04 4.144781000000000160e-01 4.239802999999999766e-01 8.941186000000000078e+00 4.635600000000000137e-02 1.523145999999999944e-01 4.743705000000000000e+05
4.017634999999999761e-04 4.614689000000000152e-01 4.734496000000000260e-01 8.980681000000000580e+00 5.138500000000000012e-02 1.586451000000000111e-01 2.952360999999999767e+05
4.196393000000000193e-04 5.106521000000000532e-01 5.255233000000000265e-01 9.030222999999999445e+00 5.654900000000000204e-02 1.632146999999999903e-01 1.881631000000000058e+05
4.375149999999999742e-04 5.618480000000000141e-01 5.800482999999999612e-01 9.080925999999999831e+00 6.187100000000000238e-02 1.666944999999999955e-01 1.225706000000000058e+05
4.553908000000000175e-04 6.148692000000000046e-01 6.368627999999999512e-01 9.140083999999999875e+00 6.727199999999999847e-02 1.683662999999999965e-01 8.147066999999999825e+04
4.732665000000000266e-04 6.695225000000000204e-01 6.957984000000000391e-01 9.200005000000000877e+00 7.277400000000000535e-02 1.689335999999999893e-01 5.517462000000000262e+04
4.911422999999999614e-04 7.256103999999999887e-01 7.566789999999999905e-01 9.251922999999999675e+00 7.842799999999999772e-02 1.692311999999999983e-01 3.802170999999999913e+04
5.090179999999999705e-04 7.829334000000000016e-01 8.193129000000000106e-01 9.311192000000000135e+00 8.408499999999999308e-02 1.679035000000000111e-01 2.662999000000000160e+04
5.268938000000000137e-04 8.412910999999999584e-01 8.835150000000000503e-01 9.370331000000000188e+00 8.978200000000000069e-02 1.657097999999999904e-01 1.893650999999999840e+04
5.447695000000000228e-04 9.004849000000000325e-01 9.490992000000000317e-01 9.421983000000000885e+00 9.557300000000000517e-02 1.633682999999999941e-01 1.365859000000000015e+04
5.626452999999999576e-04 9.603188999999999753e-01 1.015856000000000092e+00 9.480038999999999660e+00 1.013000000000000012e-01 1.597474999999999867e-01 9.984264999999999418e+03
5.805209999999999667e-04 1.020602000000000009e+00 1.083612999999999937e+00 9.530048999999999992e+00 1.070900000000000046e-01 1.561659999999999993e-01 7.390765999999999622e+03
5.983968000000000100e-04 1.081147999999999998e+00 1.152169999999999916e+00 9.571796000000000859e+00 1.129499999999999948e-01 1.526739000000000013e-01 5.536242000000000189e+03
