#            rhoc              M             Mb              R              C             kl            lam
9.787575000000000561e-05 8.085976999999999748e-02 8.088481000000000143e-02 1.976006999999999891e+01 4.092100000000000425e-03 1.946000000000000160e-02 1.130660000000000000e+10
1.336273000000000072e-04 8.139675000000000382e-02 8.142415999999999543e-02 1.787058999999999997e+01 4.554800000000000341e-03 1.929625999999999911e-02 6.562065000000000000e+09
1.515029999999999892e-04 8.242845999999999507e-02 8.246095999999999981e-02 1.634076999999999913e+01 5.044299999999999826e-03 1.948358999999999855e-02 3.976994000000000000e+09
1.693788000000000054e-04 8.648933000000000315e-02 8.654454999999999787e-02 1.452000999999999920e+01 5.956600000000000263e-03 2.116291000000000005e-02 1.881505000000000000e+09
1.872544999999999874e-04 9.411727000000000287e-02 9.422368000000000410e-02 1.294153999999999982e+01 7.272500000000000318e-03 2.491726000000000010e-02 8.165667000000000000e+08
2.051303000000000035e-04 1.049531999999999965e-01 1.051486999999999977e-01 1.174009999999999998e+01 8.939700000000000077e-03 3.079927999999999833e-02 3.596081000000000000e+08
2.230060000000000126e-04 1.184748000000000051e-01 1.188065999999999983e-01 1.087030000000000030e+01 1.089900000000000070e-02 3.866976999999999914e-02 1.676323000000000000e+08
2.408818000000000016e-04 1.342461000000000071e-01 1.347707999999999962e-01 1.025075999999999965e+01 1.309600000000000000e-02 4.810811999999999727e-02 8.325287000000000000e+07
2.587574999999999836e-04 1.519473000000000074e-01 1.527306999999999970e-01 9.811068000000000566e+00 1.548700000000000077e-02 5.852467000000000086e-02 4.378885000000000000e+07
2.766333000000000268e-04 1.713462000000000041e-01 1.724633000000000138e-01 9.500071000000000154e+00 1.803599999999999995e-02 6.927508999999999750e-02 2.419620000000000000e+07
2.945089999999999817e-04 1.922680999999999973e-01 1.938029000000000002e-01 9.270454000000000860e+00 2.074000000000000149e-02 8.027323000000000097e-02 1.394597000000000000e+07
3.123848000000000250e-04 2.145743999999999985e-01 2.166206999999999994e-01 9.102683999999999997e+00 2.357300000000000020e-02 9.101169000000000620e-02 8.336125000000000000e+06
3.302604999999999799e-04 2.381494999999999862e-01 2.408085000000000087e-01 8.990052999999999628e+00 2.648999999999999966e-02 1.006536999999999987e-01 5.144010000000000000e+06
3.481363000000000231e-04 2.628923000000000232e-01 2.662757000000000041e-01 8.901420999999999140e+00 2.953400000000000122e-02 1.100373000000000046e-01 3.264797000000000000e+06
3.660119999999999780e-04 2.887113000000000040e-01 2.929360999999999771e-01 8.840999000000000052e+00 3.265599999999999753e-02 1.183639999999999970e-01 2.124791000000000000e+06
3.838878000000000212e-04 3.155214000000000074e-01 3.207141000000000020e-01 8.800957000000000363e+00 3.585100000000000092e-02 1.256538000000000099e-01 1.414457000000000000e+06
4.017634999999999761e-04 3.432419999999999916e-01 3.495365000000000277e-01 8.772315000000000751e+00 3.912800000000000306e-02 1.322136999999999896e-01 9.610678000000000466e+05
4.375149999999999742e-04 4.011086999999999847e-01 4.100292999999999854e-01 8.750457000000000818e+00 4.583899999999999780e-02 1.422188000000000063e-01 4.684995000000000000e+05
4.553908000000000175e-04 4.311080999999999941e-01 4.415649999999999853e-01 8.750268000000000157e+00 4.926799999999999929e-02 1.459278999999999993e-01 3.351372000000000116e+05
4.732665000000000266e-04 4.617241999999999735e-01 4.738729999999999887e-01 8.750970999999999833e+00 5.276299999999999740e-02 1.491976000000000135e-01 2.432421000000000058e+05
4.911422999999999614e-04 4.928888000000000158e-01 5.068882000000000110e-01 8.760272999999999755e+00 5.626400000000000151e-02 1.513363000000000069e-01 1.789350000000000000e+05
5.090179999999999705e-04 5.245357999999999965e-01 5.405478999999999701e-01 8.770094999999999530e+00 5.981000000000000205e-02 1.530121000000000120e-01 1.332847000000000116e+05
5.268938000000000137e-04 5.566010000000000124e-01 5.747921999999999754e-01 8.780220999999999165e+00 6.339300000000000490e-02 1.542443000000000008e-01 1.004443000000000029e+05
5.447695000000000228e-04 5.890222999999999987e-01 6.095582000000000500e-01 8.790758000000000294e+00 6.700499999999999512e-02 1.550306999999999935e-01 7.652428999999999360e+04
5.626452999999999576e-04 6.217397000000000062e-01 6.447895999999999628e-01 8.801724000000000103e+00 7.063800000000000634e-02 1.553811999999999971e-01 5.889833999999999651e+04
5.805209999999999667e-04 6.546952000000000327e-01 6.804242000000000345e-01 8.820059000000000538e+00 7.422800000000000231e-02 1.547021000000000091e-01 4.576848999999999796e+04
