#            rhoc              M             Mb              R              C             kl            lam
9.787575000000000561e-05 8.085976999999999748e-02 8.088481000000000143e-02 1.976006999999999891e+01 4.092100000000000425e-03 1.946000000000000160e-02 1.130660000000000000e+10
1.336273000000000072e-04 8.139675000000000382e-02 8.142415999999999543e-02 1.787058999999999997e+01 4.554800000000000341e-03 1.929625999999999911e-02 6.562065000000000000e+09
1.693788000000000054e-04 8.198170000000000457e-02 8.201197999999999821e-02 1.619330000000000069e+01 5.062699999999999839e-03 1.923936000000000049e-02 3.856481000000000000e+09
1.872544999999999874e-04 8.439233999999999625e-02 8.443599000000000243e-02 1.459060000000000024e+01 5.784000000000000079e-03 2.003053000000000125e-02 2.062774000000000000e+09
2.051303000000000035e-04 9.011963000000000612e-02 9.020018999999999953e-02 1.302275999999999989e+01 6.920199999999999615e-03 2.265866999999999881e-02 9.518343000000000000e+08
2.230060000000000126e-04 9.924760000000000526e-02 9.939944000000000557e-02 1.174018000000000050e+01 8.453699999999999756e-03 2.736769000000000007e-02 4.225918000000000000e+08
2.408818000000000016e-04 1.114243000000000039e-01 1.116923999999999972e-01 1.077107999999999954e+01 1.034500000000000003e-02 3.435900000000000065e-02 1.933507000000000000e+08
2.587574999999999836e-04 1.262524999999999897e-01 1.266932000000000058e-01 1.008173999999999992e+01 1.252299999999999941e-02 4.312972000000000333e-02 9.336048000000000000e+07
2.766333000000000268e-04 1.434123999999999954e-01 1.440938999999999970e-01 9.590611000000000885e+00 1.495299999999999928e-02 5.341458999999999790e-02 4.762849000000000000e+07
2.945089999999999817e-04 1.626675999999999955e-01 1.636705999999999994e-01 9.241685000000000372e+00 1.760199999999999959e-02 6.467802999999999747e-02 2.552208000000000000e+07
3.123848000000000250e-04 1.838421000000000083e-01 1.852592999999999879e-01 9.000194999999999723e+00 2.042599999999999971e-02 7.612154999999999616e-02 1.427090000000000000e+07
3.302604999999999799e-04 2.067985999999999991e-01 2.087365999999999944e-01 8.830016000000000531e+00 2.341999999999999985e-02 8.750639000000000334e-02 8.279762000000000000e+06
3.481363000000000231e-04 2.314235000000000042e-01 2.340009000000000117e-01 8.710105999999999682e+00 2.656999999999999987e-02 9.854770999999999670e-02 4.961755000000000000e+06
3.660119999999999780e-04 2.576168999999999820e-01 2.609670000000000045e-01 8.622806000000000637e+00 2.987599999999999978e-02 1.092525000000000024e-01 3.059931000000000000e+06
3.838878000000000212e-04 2.852866000000000013e-01 2.895534000000000163e-01 8.571754000000000318e+00 3.328199999999999908e-02 1.186043999999999987e-01 1.936203000000000000e+06
4.017634999999999761e-04 3.143446999999999769e-01 3.196860999999999731e-01 8.541131000000000029e+00 3.680400000000000338e-02 1.270050000000000068e-01 1.253937000000000000e+06
4.196393000000000193e-04 3.447050999999999865e-01 3.512901999999999969e-01 8.530115000000000336e+00 4.041000000000000147e-02 1.340703000000000034e-01 8.294258000000000466e+05
4.375149999999999742e-04 3.762823000000000140e-01 3.842941000000000273e-01 8.521544999999999703e+00 4.415700000000000180e-02 1.408467999999999942e-01 5.593430000000000000e+05
4.553908000000000175e-04 4.089911999999999992e-01 4.186207000000000122e-01 8.530654000000000181e+00 4.794400000000000051e-02 1.458994999999999875e-01 3.839765000000000000e+05
4.732665000000000266e-04 4.427460999999999758e-01 4.541972000000000231e-01 8.541228000000000264e+00 5.183600000000000013e-02 1.504284999999999928e-01 2.679577999999999884e+05
4.911422999999999614e-04 4.774614999999999831e-01 4.909441999999999973e-01 8.560722000000000165e+00 5.577399999999999719e-02 1.537004999999999899e-01 1.898646000000000058e+05
5.090179999999999705e-04 5.130516000000000520e-01 5.287868999999999486e-01 8.581163000000000096e+00 5.978800000000000087e-02 1.563654999999999906e-01 1.364505000000000000e+05
5.268938000000000137e-04 5.494309000000000553e-01 5.676489000000000118e-01 8.602859999999999729e+00 6.386600000000000610e-02 1.583758000000000110e-01 9.936799000000000524e+04
5.447695000000000228e-04 5.865143000000000439e-01 6.074450000000000127e-01 8.631095999999999435e+00 6.795400000000000051e-02 1.592368999999999868e-01 7.326374000000000524e+04
5.626452999999999576e-04 6.242174000000000333e-01 6.480983000000000160e-01 8.660244999999999749e+00 7.207800000000000318e-02 1.594727999999999979e-01 5.464704000000000087e+04
5.805209999999999667e-04 6.624571999999999683e-01 6.895345000000000502e-01 8.690001000000000531e+00 7.623199999999999421e-02 1.591319999999999957e-01 4.120751999999999680e+04
