#            rhoc              M             Mb              R              C             kl            lam
2.766333000000000268e-04 1.245010000000000006e-01 1.255091000000000123e-01 1.717670999999999992e+01 7.248199999999999782e-03 2.602900999999999913e-03 8.673658000000000000e+07
2.945089999999999817e-04 1.333866999999999969e-01 1.345558000000000032e-01 1.558844000000000030e+01 8.556799999999999823e-03 4.129484000000000106e-03 6.001435000000000000e+07
3.123848000000000250e-04 1.423009000000000079e-01 1.436446000000000112e-01 1.444311000000000078e+01 9.852500000000000147e-03 5.970383000000000114e-03 4.287226000000000000e+07
3.302604999999999799e-04 1.512805000000000122e-01 1.528116999999999948e-01 1.353111999999999959e+01 1.118000000000000070e-02 8.204840999999999177e-03 3.131350000000000000e+07
3.481363000000000231e-04 1.603783000000000014e-01 1.621119000000000032e-01 1.283144000000000062e+01 1.249899999999999969e-02 1.063486999999999939e-02 2.324288000000000000e+07
3.660119999999999780e-04 1.696695000000000009e-01 1.716225999999999863e-01 1.222456999999999994e+01 1.387900000000000071e-02 1.348211000000000027e-02 1.745082000000000000e+07
3.838878000000000212e-04 1.792333000000000121e-01 1.814269000000000021e-01 1.175050000000000061e+01 1.525299999999999920e-02 1.635674000000000156e-02 1.320666000000000000e+07
4.017634999999999761e-04 1.891516000000000031e-01 1.916092000000000073e-01 1.131142999999999965e+01 1.672200000000000075e-02 1.970618999999999843e-02 1.004729000000000000e+07
4.196393000000000193e-04 1.995003999999999944e-01 2.022496000000000016e-01 1.094294000000000011e+01 1.823100000000000068e-02 2.316852999999999968e-02 7.669357000000000000e+06
4.375149999999999742e-04 2.103519000000000083e-01 2.134247999999999978e-01 1.062088999999999928e+01 1.980499999999999969e-02 2.681325999999999848e-02 5.865850000000000000e+06
4.553908000000000175e-04 2.217791000000000068e-01 2.252126000000000128e-01 1.033210000000000051e+01 2.146500000000000144e-02 3.069428000000000087e-02 4.490618000000000000e+06
4.732665000000000266e-04 2.338552999999999882e-01 2.376921999999999924e-01 1.007319000000000031e+01 2.321600000000000052e-02 3.477997000000000033e-02 3.438244000000000000e+06
4.911422999999999614e-04 2.466396999999999895e-01 2.509281999999999901e-01 9.840911000000000186e+00 2.506299999999999847e-02 3.904182999999999959e-02 2.632087000000000000e+06
5.090179999999999705e-04 2.601754000000000011e-01 2.649698999999999804e-01 9.630770999999999304e+00 2.701500000000000082e-02 4.348773000000000222e-02 2.014884000000000000e+06
5.268938000000000137e-04 2.745013000000000036e-01 2.798625000000000140e-01 9.460024999999999906e+00 2.901700000000000113e-02 4.760248999999999731e-02 1.542685000000000000e+06
5.447695000000000228e-04 2.896524999999999794e-01 2.956485999999999836e-01 9.291987000000000663e+00 3.117199999999999832e-02 5.217110999999999971e-02 1.181669000000000000e+06
5.805209999999999667e-04 3.225330000000000141e-01 3.300298999999999872e-01 9.013351000000000113e+00 3.578400000000000331e-02 6.118471000000000326e-02 6.952040999999999767e+05
5.983968000000000100e-04 3.402743999999999769e-01 3.486506999999999801e-01 8.900399999999999423e+00 3.823100000000000109e-02 6.548991999999999314e-02 5.345451999999999534e+05
6.162725000000000191e-04 3.588732000000000033e-01 3.682261000000000006e-01 8.792929000000000883e+00 4.081400000000000305e-02 6.998835000000000472e-02 4.120000999999999767e+05
6.341482999999999539e-04 3.783128000000000046e-01 3.887432000000000110e-01 8.701140000000000541e+00 4.347899999999999682e-02 7.422355999999999399e-02 3.184757999999999884e+05
6.520239999999999630e-04 3.985697999999999741e-01 4.101872999999999769e-01 8.621800000000000352e+00 4.622799999999999826e-02 7.822461999999999471e-02 2.470132000000000116e+05
6.698998000000000062e-04 4.196139999999999870e-01 4.325334000000000123e-01 8.552953999999999724e+00 4.906100000000000044e-02 8.199124000000000689e-02 1.923122000000000116e+05
6.877756000000000494e-04 4.414087999999999901e-01 4.557493000000000238e-01 8.491265000000000285e+00 5.198400000000000243e-02 8.561069999999999791e-02 1.503466000000000058e+05
7.056512999999999501e-04 4.639118999999999882e-01 4.797985000000000166e-01 8.440262000000000597e+00 5.496399999999999897e-02 8.883863999999999650e-02 1.180626999999999971e+05
7.235270999999999933e-04 4.870765000000000233e-01 5.046412000000000120e-01 8.391339999999999577e+00 5.804499999999999937e-02 9.206501999999999741e-02 9.314808999999999651e+04
7.414028000000000024e-04 5.108521000000000312e-01 5.302268999999999455e-01 8.350989999999999469e+00 6.117299999999999821e-02 9.489520999999999373e-02 7.385280999999999767e+04
7.771542999999999464e-04 5.600171000000000454e-01 5.834230000000000249e-01 8.290003000000000455e+00 6.755300000000000193e-02 9.948018999999999612e-02 4.714248000000000320e+04
7.950300999999999896e-04 5.852908999999999473e-01 6.109251999999999461e-01 8.261748000000000758e+00 7.084300000000000319e-02 1.016125999999999974e-01 3.796270999999999913e+04
8.129057999999999987e-04 6.109487999999999586e-01 6.389483999999999719e-01 8.240918000000000632e+00 7.413599999999999357e-02 1.032401000000000013e-01 3.073343999999999869e+04
8.307816000000000419e-04 6.369390999999999803e-01 6.674476000000000298e-01 8.221619000000000455e+00 7.747099999999999820e-02 1.047010000000000024e-01 2.501247999999999956e+04
8.486573000000000510e-04 6.632111000000000534e-01 6.963705999999999507e-01 8.203739000000000559e+00 8.084299999999999820e-02 1.059882999999999936e-01 2.046290000000000146e+04
8.665330999999999858e-04 6.897143999999999497e-01 7.256618999999999708e-01 8.192066999999999766e+00 8.419300000000000395e-02 1.067783999999999955e-01 1.682725999999999840e+04
8.844087999999999949e-04 7.163994000000000195e-01 7.552739000000000535e-01 8.181381000000000014e+00 8.756500000000000394e-02 1.073969000000000035e-01 1.390777000000000044e+04
9.022846000000000382e-04 7.432176999999999811e-01 7.851569000000000464e-01 8.171222999999999459e+00 9.095499999999999419e-02 1.078690000000000065e-01 1.155210000000000036e+04
9.201603000000000473e-04 7.701219000000000259e-01 8.152625000000000011e-01 8.162383999999999418e+00 9.435000000000000331e-02 1.081397999999999943e-01 9.642326999999999316e+03
9.380360999999999821e-04 7.970663999999999527e-01 8.455306000000000211e-01 8.160033000000000314e+00 9.767900000000000194e-02 1.078655000000000030e-01 8.086832000000000335e+03
9.559117999999999912e-04 8.240072000000000507e-01 8.759301000000000448e-01 8.150665000000000049e+00 1.010999999999999954e-01 1.079404999999999948e-01 6.814021999999999935e+03
9.737876000000000344e-04 8.509063000000000043e-01 9.064062999999999981e-01 8.150002999999999886e+00 1.044100000000000028e-01 1.073276999999999981e-01 5.767673999999999978e+03
9.916632999999999351e-04 8.777302000000000159e-01 9.369334000000000273e-01 8.141142999999999574e+00 1.078100000000000031e-01 1.071460000000000051e-01 4.903502999999999702e+03
1.009539000000000053e-03 9.044474000000000125e-01 9.674606000000000039e-01 8.140119999999999578e+00 1.111100000000000004e-01 1.063439999999999941e-01 4.186577000000000226e+03
1.027415000000000056e-03 9.310283999999999782e-01 9.979740000000000277e-01 8.132296000000000191e+00 1.144899999999999946e-01 1.058856999999999993e-01 3.589197999999999865e+03
1.081041999999999940e-03 1.009686000000000083e+00 1.089023999999999992e+00 8.122472999999999388e+00 1.243100000000000038e-01 1.030713999999999936e-01 2.315023999999999887e+03
1.098917999999999943e-03 1.035463999999999940e+00 1.119115000000000082e+00 8.120924999999999727e+00 1.275100000000000122e-01 1.018619999999999942e-01 2.014990999999999985e+03
