#            rhoc              M             Mb              R              C             kl            lam
9.787575000000000561e-05 8.085976999999999748e-02 8.088481000000000143e-02 1.976006999999999891e+01 4.092100000000000425e-03 1.946000000000000160e-02 1.130660000000000000e+10
1.336273000000000072e-04 8.139675000000000382e-02 8.142415999999999543e-02 1.787058999999999997e+01 4.554800000000000341e-03 1.929625999999999911e-02 6.562065000000000000e+09
1.693788000000000054e-04 8.178074000000000454e-02 8.181001999999999719e-02 1.655145999999999873e+01 4.941000000000000079e-03 1.917216999999999880e-02 4.340164000000000000e+09
1.872544999999999874e-04 8.199518000000000084e-02 8.202558999999999545e-02 1.587015000000000065e+01 5.166600000000000359e-03 1.910956000000000113e-02 3.460369000000000000e+09
2.051303000000000035e-04 8.401693000000000355e-02 8.405875000000000152e-02 1.428209999999999980e+01 5.882700000000000255e-03 1.974942000000000017e-02 1.868916000000000000e+09
2.230060000000000126e-04 9.004721999999999726e-02 9.012900000000000078e-02 1.263058999999999976e+01 7.129299999999999873e-03 2.243668000000000051e-02 8.121459000000000000e+08
2.408818000000000016e-04 1.006598999999999966e-01 1.008282000000000067e-01 1.125216999999999956e+01 8.945800000000000279e-03 2.807636000000000159e-02 3.266997000000000000e+08
2.587574999999999836e-04 1.156366999999999950e-01 1.159590999999999955e-01 1.026096000000000075e+01 1.127000000000000050e-02 3.669950000000000295e-02 1.345953000000000000e+08
2.766333000000000268e-04 1.346037999999999957e-01 1.351712999999999942e-01 9.590058000000000860e+00 1.403599999999999987e-02 4.806608999999999882e-02 5.882565000000000000e+07
2.945089999999999817e-04 1.572630999999999890e-01 1.581934000000000118e-01 9.133184999999999221e+00 1.721900000000000167e-02 6.203643999999999825e-02 2.732327000000000000e+07
3.123848000000000250e-04 1.834128999999999898e-01 1.848537000000000097e-01 8.851086000000000453e+00 2.072200000000000084e-02 7.675116999999999357e-02 1.339144000000000000e+07
3.302604999999999799e-04 2.129157000000000133e-01 2.150480999999999920e-01 8.671355000000000146e+00 2.455399999999999944e-02 9.202744000000000202e-02 6.874207000000000000e+06
3.481363000000000231e-04 2.456666999999999879e-01 2.487067000000000028e-01 8.570475000000000065e+00 2.866399999999999851e-02 1.066387000000000029e-01 3.673813000000000000e+06
3.660119999999999780e-04 2.815721999999999947e-01 2.857745999999999897e-01 8.520661999999999736e+00 3.304599999999999899e-02 1.202702999999999967e-01 2.034628000000000000e+06
3.838878000000000212e-04 3.205363999999999991e-01 3.261939999999999840e-01 8.510268999999999195e+00 3.766499999999999709e-02 1.322770000000000057e-01 1.163384000000000000e+06
4.017634999999999761e-04 3.624536999999999898e-01 3.699004000000000181e-01 8.521236999999999284e+00 4.253500000000000336e-02 1.430095000000000116e-01 6.847380999999999767e+05
4.196393000000000193e-04 4.072046999999999750e-01 4.168158000000000141e-01 8.552155000000000840e+00 4.761399999999999660e-02 1.519060000000000132e-01 4.138069000000000233e+05
4.375149999999999742e-04 4.546540000000000026e-01 4.668442999999999898e-01 8.600875000000000270e+00 5.286099999999999827e-02 1.586337999999999915e-01 2.562196000000000058e+05
4.732665000000000266e-04 5.570268000000000441e-01 5.757727999999999735e-01 8.720401000000000735e+00 6.387600000000000222e-02 1.673124000000000000e-01 1.048911000000000058e+05
4.911422999999999614e-04 6.116021999999999847e-01 6.344028999999999918e-01 8.782339999999999591e+00 6.963999999999999357e-02 1.698650999999999911e-01 6.913833000000000175e+04
5.090179999999999705e-04 6.681831000000000298e-01 6.955947999999999576e-01 8.851779000000000508e+00 7.548599999999999755e-02 1.705934000000000061e-01 4.640302999999999884e+04
5.268938000000000137e-04 7.265656999999999810e-01 7.591755999999999505e-01 8.921241000000000199e+00 8.144200000000000050e-02 1.702395999999999909e-01 3.167533000000000175e+04
5.447695000000000228e-04 7.865381000000000178e-01 8.249575000000000102e-01 8.990603999999999374e+00 8.748400000000000620e-02 1.688648000000000093e-01 2.196815000000000146e+04
5.626452999999999576e-04 8.478828000000000475e-01 8.927433999999999648e-01 9.060110999999999137e+00 9.358400000000000052e-02 1.665168999999999955e-01 1.546520000000000073e+04
5.805209999999999667e-04 9.103788999999999909e-01 9.623319999999999652e-01 9.121465999999999852e+00 9.980600000000000582e-02 1.640268000000000004e-01 1.104170000000000073e+04
5.983968000000000100e-04 9.738046000000000202e-01 1.033490999999999937e+00 9.190008000000000621e+00 1.059599999999999986e-01 1.600912999999999919e-01 7.989085000000000036e+03
