#            rhoc              M             Mb              R              C             kl            lam
9.787575000000000561e-05 8.085976999999999748e-02 8.088481000000000143e-02 1.976006999999999891e+01 4.092100000000000425e-03 1.946000000000000160e-02 1.130660000000000000e+10
1.336273000000000072e-04 8.139675000000000382e-02 8.142415999999999543e-02 1.787058999999999997e+01 4.554800000000000341e-03 1.929625999999999911e-02 6.562065000000000000e+09
1.693788000000000054e-04 8.178074000000000454e-02 8.181001999999999719e-02 1.655145999999999873e+01 4.941000000000000079e-03 1.917216999999999880e-02 4.340164000000000000e+09
1.872544999999999874e-04 8.193612999999999591e-02 8.196622000000000630e-02 1.602123999999999882e+01 5.114200000000000169e-03 1.912610000000000005e-02 3.644504000000000000e+09
2.230060000000000126e-04 8.219592000000000565e-02 8.222741999999999551e-02 1.514183000000000057e+01 5.428399999999999892e-03 1.901635999999999951e-02 2.689532000000000000e+09
2.408818000000000016e-04 8.230597000000000607e-02 8.233809999999999740e-02 1.477070999999999934e+01 5.572200000000000243e-03 1.895629999999999885e-02 2.352407000000000000e+09
2.587574999999999836e-04 8.240551000000000126e-02 8.243822000000000649e-02 1.443116999999999983e+01 5.710200000000000345e-03 1.891988000000000003e-02 2.077559000000000000e+09
2.766333000000000268e-04 8.249605000000000132e-02 8.252929000000000515e-02 1.412243999999999922e+01 5.841500000000000338e-03 1.887745000000000048e-02 1.850270000000000000e+09
3.123848000000000250e-04 8.265475999999999379e-02 8.268892999999999383e-02 1.357415999999999912e+01 6.089100000000000068e-03 1.882083000000000020e-02 1.498899000000000000e+09
3.302604999999999799e-04 8.315896000000000399e-02 8.319646999999999459e-02 1.283047000000000004e+01 6.481400000000000008e-03 1.880895999999999957e-02 1.096328000000000000e+09
3.481363000000000231e-04 8.529188000000000047e-02 8.534416000000000224e-02 1.181504999999999939e+01 7.218900000000000317e-03 1.964627999999999861e-02 6.680792000000000000e+08
3.660119999999999780e-04 8.982639000000000595e-02 8.991459999999999730e-02 1.079115999999999964e+01 8.324099999999999208e-03 2.161220999999999975e-02 3.605195000000000000e+08
3.838878000000000212e-04 9.709658000000000178e-02 9.725192000000000558e-02 9.870912999999999826e+00 9.836599999999999164e-03 2.524610999999999869e-02 1.827554000000000000e+08
4.017634999999999761e-04 1.071557999999999955e-01 1.074216999999999950e-01 9.122607000000000355e+00 1.174599999999999950e-02 3.074796999999999947e-02 9.167295000000000000e+07
4.196393000000000193e-04 1.199366999999999933e-01 1.203708000000000000e-01 8.551507000000000858e+00 1.402499999999999927e-02 3.815527999999999975e-02 4.687238000000000000e+07
4.553908000000000175e-04 1.533362000000000058e-01 1.543472999999999928e-01 7.830003999999999742e+00 1.958299999999999971e-02 5.801955999999999780e-02 1.342981000000000000e+07
4.732665000000000266e-04 1.738485999999999920e-01 1.753097999999999879e-01 7.612879999999999647e+00 2.283599999999999866e-02 7.004269000000000467e-02 7.519002000000000000e+06
4.911422999999999614e-04 1.968696000000000057e-01 1.989187000000000038e-01 7.471391999999999811e+00 2.634999999999999842e-02 8.235499000000000291e-02 4.322279000000000000e+06
5.090179999999999705e-04 2.223904999999999910e-01 2.251921000000000062e-01 7.380715000000000359e+00 3.013100000000000153e-02 9.479695999999999956e-02 2.544568000000000000e+06
5.268938000000000137e-04 2.504059000000000146e-01 2.541537999999999853e-01 7.330443999999999960e+00 3.416000000000000286e-02 1.068098999999999993e-01 1.530907000000000000e+06
5.447695000000000228e-04 2.809077999999999853e-01 2.858263999999999805e-01 7.310195000000000221e+00 3.842700000000000282e-02 1.180969999999999936e-01 9.396664000000000233e+05
5.626452999999999576e-04 3.138808000000000153e-01 3.202284000000000241e-01 7.310438999999999687e+00 4.293600000000000194e-02 1.286096999999999935e-01 5.875923000000000466e+05
5.805209999999999667e-04 3.492991999999999764e-01 3.573702000000000267e-01 7.330468999999999902e+00 4.764999999999999791e-02 1.377721000000000084e-01 3.738870999999999767e+05
5.983968000000000100e-04 3.871248999999999940e-01 3.972457999999999823e-01 7.361463999999999785e+00 5.258800000000000280e-02 1.458975999999999884e-01 2.418367999999999884e+05
6.162725000000000191e-04 4.273054000000000019e-01 4.398412999999999906e-01 7.410036999999999985e+00 5.766600000000000198e-02 1.519544999999999924e-01 1.588666000000000058e+05
6.341482999999999539e-04 4.697736000000000134e-01 4.851307999999999732e-01 7.460280000000000022e+00 6.296999999999999820e-02 1.572830000000000061e-01 1.059065000000000000e+05
