#            rhoc              M             Mb              R              C             kl            lam
2.230060000000000126e-04 1.350152000000000019e-01 1.362553999999999987e-01 1.557654999999999923e+01 8.667799999999999810e-03 4.992599999999999816e-03 6.802661000000000000e+07
2.408818000000000016e-04 1.610753000000000046e-01 1.628542000000000045e-01 1.340512999999999977e+01 1.201600000000000064e-02 1.182988999999999916e-02 3.148468000000000000e+07
2.587574999999999836e-04 1.894070999999999949e-01 1.918735000000000024e-01 1.219059999999999988e+01 1.553700000000000046e-02 2.133735000000000145e-02 1.571058000000000000e+07
2.766333000000000268e-04 2.198566999999999882e-01 2.231769000000000114e-01 1.145326999999999984e+01 1.919600000000000126e-02 3.244775999999999910e-02 8.299314000000000000e+06
2.945089999999999817e-04 2.521633999999999820e-01 2.565185999999999855e-01 1.097001999999999988e+01 2.298700000000000049e-02 4.434389999999999860e-02 4.606487000000000000e+06
3.123848000000000250e-04 2.860441000000000233e-01 2.916264000000000078e-01 1.063119999999999976e+01 2.690599999999999936e-02 5.652835999999999972e-02 2.672526000000000000e+06
3.302604999999999799e-04 3.212826999999999766e-01 3.282935000000000159e-01 1.040203999999999951e+01 3.088700000000000126e-02 6.797773999999999484e-02 1.612248000000000000e+06
3.481363000000000231e-04 3.577247000000000066e-01 3.663750000000000062e-01 1.024161999999999928e+01 3.492900000000000171e-02 7.847487999999999686e-02 1.006324000000000000e+06
3.660119999999999780e-04 3.952339999999999742e-01 4.057443000000000022e-01 1.012190999999999974e+01 3.904699999999999838e-02 8.812142000000000586e-02 6.471875000000000000e+05
3.838878000000000212e-04 4.336798000000000042e-01 4.462770999999999821e-01 1.004110999999999976e+01 4.318999999999999923e-02 9.635262999999999467e-02 4.273997000000000116e+05
4.017634999999999761e-04 4.729208999999999774e-01 4.878372999999999737e-01 9.980294000000000665e+00 4.738499999999999657e-02 1.035872000000000043e-01 2.890605000000000000e+05
4.196393000000000193e-04 5.128207999999999656e-01 5.302951000000000192e-01 9.934219000000000577e+00 5.162200000000000122e-02 1.098401999999999989e-01 1.997608999999999942e+05
4.375149999999999742e-04 5.532500999999999669e-01 5.735147000000000439e-01 9.910088999999999260e+00 5.582700000000000162e-02 1.145155000000000062e-01 1.407840000000000000e+05
4.732665000000000266e-04 6.352322000000000246e-01 6.617960000000000509e-01 9.870732999999999535e+00 6.435499999999999554e-02 1.219792999999999988e-01 7.366807000000000698e+04
4.911422999999999614e-04 6.765851000000000504e-01 7.066518000000000521e-01 9.860753000000000767e+00 6.861399999999999444e-02 1.244048999999999988e-01 5.453616000000000349e+04
5.090179999999999705e-04 7.180596999999999674e-01 7.518641999999999825e-01 9.851886999999999617e+00 7.288500000000000534e-02 1.262846999999999997e-01 4.093113999999999942e+04
5.447695000000000228e-04 8.010555000000000314e-01 8.430170999999999637e-01 9.843254999999999200e+00 8.138099999999999501e-02 1.281071000000000015e-01 2.392558000000000175e+04
5.626452999999999576e-04 8.424241999999999564e-01 8.887952999999999548e-01 9.843901999999999930e+00 8.557800000000000129e-02 1.280692999999999970e-01 1.860097999999999956e+04
5.805209999999999667e-04 8.836085000000000189e-01 9.346001999999999921e-01 9.843617000000000061e+00 8.976499999999999757e-02 1.277156000000000124e-01 1.460920999999999913e+04
5.983968000000000100e-04 9.245408999999999988e-01 9.803572000000000397e-01 9.843700999999999368e+00 9.392200000000000548e-02 1.269936999999999871e-01 1.158384000000000015e+04
6.162725000000000191e-04 9.651589999999999892e-01 1.025994000000000073e+00 9.842705000000000481e+00 9.805800000000000627e-02 1.260294999999999888e-01 9.267421000000000276e+03
