#            rhoc              M             Mb              R              C             kl            lam
9.787575000000000561e-05 8.085976999999999748e-02 8.088481000000000143e-02 1.976006999999999891e+01 4.092100000000000425e-03 1.946000000000000160e-02 1.130660000000000000e+10
1.336273000000000072e-04 8.139675000000000382e-02 8.142415999999999543e-02 1.787058999999999997e+01 4.554800000000000341e-03 1.929625999999999911e-02 6.562065000000000000e+09
1.693788000000000054e-04 8.178074000000000454e-02 8.181001999999999719e-02 1.655145999999999873e+01 4.941000000000000079e-03 1.917216999999999880e-02 4.340164000000000000e+09
1.872544999999999874e-04 8.193612999999999591e-02 8.196622000000000630e-02 1.602123999999999882e+01 5.114200000000000169e-03 1.912610000000000005e-02 3.644504000000000000e+09
2.230060000000000126e-04 8.219592000000000565e-02 8.222741999999999551e-02 1.514183000000000057e+01 5.428399999999999892e-03 1.901635999999999951e-02 2.689532000000000000e+09
2.408818000000000016e-04 8.230597000000000607e-02 8.233809999999999740e-02 1.477070999999999934e+01 5.572200000000000243e-03 1.895629999999999885e-02 2.352407000000000000e+09
2.587574999999999836e-04 8.265382999999999758e-02 8.268801000000000623e-02 1.407155999999999985e+01 5.873800000000000202e-03 1.898406000000000052e-02 1.810065000000000000e+09
2.766333000000000268e-04 8.383350999999999997e-02 8.387503000000000319e-02 1.322090000000000032e+01 6.341000000000000282e-03 1.927335000000000159e-02 1.253382000000000000e+09
2.945089999999999817e-04 8.613722999999999519e-02 8.619433999999999430e-02 1.234027999999999992e+01 6.980199999999999773e-03 2.024054999999999951e-02 8.143308000000000000e+08
3.123848000000000250e-04 8.964851000000000070e-02 8.973190999999999806e-02 1.152036000000000016e+01 7.781699999999999902e-03 2.179704999999999837e-02 5.092397000000000000e+08
3.302604999999999799e-04 9.433473000000000552e-02 9.445741000000000553e-02 1.078171000000000035e+01 8.749500000000000333e-03 2.415627000000000052e-02 3.140644000000000000e+08
3.481363000000000231e-04 1.001081000000000054e-01 1.002853999999999968e-01 1.016112000000000037e+01 9.852100000000000787e-03 2.707698999999999870e-02 1.944779000000000000e+08
3.660119999999999780e-04 1.068645000000000012e-01 1.071137000000000061e-01 9.632066000000000017e+00 1.109500000000000069e-02 3.081592999999999832e-02 1.222120000000000000e+08
3.838878000000000212e-04 1.145035999999999971e-01 1.148443999999999993e-01 9.201601000000000141e+00 1.244400000000000020e-02 3.505947000000000230e-02 7.833129000000000000e+07
4.017634999999999761e-04 1.229371999999999965e-01 1.233912999999999954e-01 8.842245000000000132e+00 1.390300000000000043e-02 3.996384000000000047e-02 5.128290000000000000e+07
4.196393000000000193e-04 1.320906000000000025e-01 1.326820999999999973e-01 8.551308000000000575e+00 1.544700000000000066e-02 4.521966999999999653e-02 3.427988000000000000e+07
4.553908000000000175e-04 1.523182999999999898e-01 1.532653999999999961e-01 8.111603000000000563e+00 1.877799999999999955e-02 5.678568999999999978e-02 1.621512000000000000e+07
4.732665000000000266e-04 1.632966999999999891e-01 1.644660000000000011e-01 7.950813000000000130e+00 2.053800000000000070e-02 6.270646000000000553e-02 1.143910000000000000e+07
4.911422999999999614e-04 1.747991000000000128e-01 1.762236000000000080e-01 7.811397999999999620e+00 2.237700000000000106e-02 6.894780999999999826e-02 8.191748000000000000e+06
5.090179999999999705e-04 1.867928000000000088e-01 1.885072000000000136e-01 7.701310999999999574e+00 2.425499999999999878e-02 7.488496000000000041e-02 5.947380000000000000e+06
5.268938000000000137e-04 1.992485999999999979e-01 2.012887999999999900e-01 7.610261999999999638e+00 2.618200000000000041e-02 8.069115999999999789e-02 4.372767000000000000e+06
5.447695000000000228e-04 2.121400999999999981e-01 2.145459000000000116e-01 7.531187000000000076e+00 2.816799999999999859e-02 8.652334999999999887e-02 3.252712000000000000e+06
5.805209999999999667e-04 2.391350999999999893e-01 2.423951000000000022e-01 7.411717000000000333e+00 3.226400000000000101e-02 9.742649999999999921e-02 1.857647000000000000e+06
5.983968000000000100e-04 2.531949000000000005e-01 2.569472999999999896e-01 7.370473999999999748e+00 3.435300000000000159e-02 1.022032999999999969e-01 1.424216000000000000e+06
6.162725000000000191e-04 2.676023000000000152e-01 2.718945999999999863e-01 7.331237999999999921e+00 3.650199999999999972e-02 1.070673000000000041e-01 1.101546000000000000e+06
6.341482999999999539e-04 2.823379999999999779e-01 2.872166999999999915e-01 7.301345000000000418e+00 3.866900000000000198e-02 1.114132000000000039e-01 8.590390000000000000e+05
