#            rhoc              M             Mb              R              C             kl            lam
2.945089999999999817e-04 1.563690000000000080e-01 1.583160000000000123e-01 1.986127000000000109e+01 7.873099999999999196e-03 9.791158000000000760e-04 2.157866000000000000e+07
3.123848000000000250e-04 1.870726000000000055e-01 1.898446000000000022e-01 1.557315999999999967e+01 1.201299999999999937e-02 3.892525999999999885e-03 1.037464000000000000e+07
3.302604999999999799e-04 2.200729999999999908e-01 2.238787999999999889e-01 1.351021000000000072e+01 1.628900000000000139e-02 9.244006000000000792e-03 5.373350000000000000e+06
3.481363000000000231e-04 2.551059999999999994e-01 2.601702000000000181e-01 1.233201000000000036e+01 2.068599999999999953e-02 1.671409000000000089e-02 2.941416000000000000e+06
3.660119999999999780e-04 2.919171999999999878e-01 2.984813000000000049e-01 1.160083999999999982e+01 2.516300000000000134e-02 2.555075000000000054e-02 1.688348000000000000e+06
3.838878000000000212e-04 3.302522999999999986e-01 3.385674000000000183e-01 1.110453000000000046e+01 2.973999999999999908e-02 3.525588000000000333e-02 1.010209000000000000e+06
4.017634999999999761e-04 3.698440000000000061e-01 3.801711999999999869e-01 1.077093999999999951e+01 3.433699999999999947e-02 4.491014000000000117e-02 6.272320000000000000e+05
4.196393000000000193e-04 4.104292999999999969e-01 4.230303000000000258e-01 1.053076000000000079e+01 3.897400000000000170e-02 5.430472000000000077e-02 4.025814000000000233e+05
4.375149999999999742e-04 4.517573999999999756e-01 4.668958000000000275e-01 1.035321000000000069e+01 4.363500000000000018e-02 6.316984000000000488e-02 2.662360000000000000e+05
4.553908000000000175e-04 4.935962999999999878e-01 5.115290999999999588e-01 1.022386000000000017e+01 4.827900000000000247e-02 7.117005999999999333e-02 1.808927000000000116e+05
4.732665000000000266e-04 5.357450999999999741e-01 5.567231000000000263e-01 1.013194999999999979e+01 5.287700000000000039e-02 7.809037000000000617e-02 1.259450000000000000e+05
4.911422999999999614e-04 5.780256999999999756e-01 6.022880999999999929e-01 1.006004000000000076e+01 5.745800000000000213e-02 8.421117999999999659e-02 8.964813000000000466e+04
5.090179999999999705e-04 6.202790999999999721e-01 6.480685999999999947e-01 1.000331000000000081e+01 6.200699999999999962e-02 8.952166000000000290e-02 6.510588999999999942e+04
5.268938000000000137e-04 6.623649000000000342e-01 6.938976999999999506e-01 9.962586999999999193e+00 6.648500000000000243e-02 9.383408000000000027e-02 4.815523999999999796e+04
5.626452999999999576e-04 7.455513999999999752e-01 7.851829000000000169e-01 9.902915000000000134e+00 7.528600000000000569e-02 1.003534999999999983e-01 2.766106000000000131e+04
5.805209999999999667e-04 7.864446999999999965e-01 8.304023999999999850e-01 9.883330000000000837e+00 7.957300000000000484e-02 1.025311000000000000e-01 2.142593999999999869e+04
5.983968000000000100e-04 8.267560000000000464e-01 8.751948999999999979e-01 9.870350000000000179e+00 8.376200000000000312e-02 1.039872000000000019e-01 1.681374000000000160e+04
6.162725000000000191e-04 8.664148000000000405e-01 9.195016000000000300e-01 9.852458000000000382e+00 8.793900000000000328e-02 1.053441999999999990e-01 1.335405999999999949e+04
6.341482999999999539e-04 9.053617999999999943e-01 9.632201999999999709e-01 9.841411000000000797e+00 9.199499999999999345e-02 1.060031000000000029e-01 1.072514999999999964e+04
6.520239999999999630e-04 9.435480000000000533e-01 1.006294000000000022e+00 9.830838999999999217e+00 9.597799999999999387e-02 1.063272999999999996e-01 8.703354999999999563e+03
6.698998000000000062e-04 9.809326999999999908e-01 1.048674000000000106e+00 9.820745999999999754e+00 9.988400000000000056e-02 1.063445999999999975e-01 7.131003999999999905e+03
6.877756000000000494e-04 1.017484000000000055e+00 1.090316000000000063e+00 9.810539000000000343e+00 1.037099999999999966e-01 1.061147999999999952e-01 5.895382999999999811e+03
7.056512999999999501e-04 1.053174999999999972e+00 1.131172000000000066e+00 9.801066000000000500e+00 1.074600000000000000e-01 1.056186000000000069e-01 4.914876000000000204e+03
7.414028000000000024e-04 1.121912000000000020e+00 1.210401000000000060e+00 9.781338999999999118e+00 1.146999999999999964e-01 1.040888999999999981e-01 3.495505000000000109e+03
7.592786000000000457e-04 1.154938000000000020e+00 1.248733000000000093e+00 9.771617000000000886e+00 1.181900000000000034e-01 1.030731000000000008e-01 2.979159999999999854e+03
7.771542999999999464e-04 1.187060999999999922e+00 1.286200999999999928e+00 9.761801999999999424e+00 1.215999999999999998e-01 1.019281999999999966e-01 2.555567000000000007e+03
7.950300999999999896e-04 1.218283999999999923e+00 1.322751999999999928e+00 9.751438000000000272e+00 1.249299999999999994e-01 1.006967000000000001e-01 2.205592000000000098e+03
8.129057999999999987e-04 1.248607000000000022e+00 1.358432000000000084e+00 9.740985000000000227e+00 1.281799999999999884e-01 9.937163000000000246e-02 1.914505000000000109e+03
8.307816000000000419e-04 1.278037000000000090e+00 1.393194999999999961e+00 9.730589000000000155e+00 1.313400000000000123e-01 9.796141999999999350e-02 1.670865999999999985e+03
8.486573000000000510e-04 1.306583000000000050e+00 1.427037000000000111e+00 9.720060000000000144e+00 1.344200000000000117e-01 9.648996999999999435e-02 1.465721000000000004e+03
8.665330999999999858e-04 1.334252999999999911e+00 1.460059999999999913e+00 9.703241999999999479e+00 1.375099999999999933e-01 9.527154999999999652e-02 1.292007000000000062e+03
8.844087999999999949e-04 1.361061999999999994e+00 1.492119999999999891e+00 9.692036999999999125e+00 1.404299999999999993e-01 9.372988000000000153e-02 1.144124000000000024e+03
9.022846000000000382e-04 1.387021999999999977e+00 1.523269999999999902e+00 9.680583999999999634e+00 1.432799999999999907e-01 9.216602999999999601e-02 1.017586000000000013e+03
9.201603000000000473e-04 1.412149000000000099e+00 1.553628000000000009e+00 9.663346999999999909e+00 1.461300000000000099e-01 9.084836999999999774e-02 9.087862000000000080e+02
9.380360999999999821e-04 1.436458999999999930e+00 1.583045000000000035e+00 9.651199000000000083e+00 1.488400000000000001e-01 8.927047000000000454e-02 8.148111000000000104e+02
9.559117999999999912e-04 1.459969000000000072e+00 1.611574000000000062e+00 9.640162000000000120e+00 1.514500000000000013e-01 8.763141000000000680e-02 7.332831999999999653e+02
9.737876000000000344e-04 1.482696999999999932e+00 1.639359000000000011e+00 9.621741999999999351e+00 1.540999999999999870e-01 8.632043999999999828e-02 6.622607000000000426e+02
9.916632999999999351e-04 1.504660000000000108e+00 1.666190000000000060e+00 9.610122000000000497e+00 1.565699999999999870e-01 8.470231999999999761e-02 6.001462000000000216e+02
1.045291000000000059e-03 1.566143999999999981e+00 1.742021999999999959e+00 9.560584000000000415e+00 1.638100000000000112e-01 8.052489999999999648e-02 4.550960999999999785e+02
1.063165999999999937e-03 1.585231999999999974e+00 1.765765000000000029e+00 9.542030000000000456e+00 1.661299999999999999e-01 7.923629999999999562e-02 4.174189000000000078e+02
1.081041999999999940e-03 1.603650000000000020e+00 1.788693000000000088e+00 9.530032000000000281e+00 1.682700000000000029e-01 7.769226999999999383e-02 3.838933000000000106e+02
1.116793999999999946e-03 1.638546000000000058e+00 1.832411999999999930e+00 9.491739000000000814e+00 1.726300000000000057e-01 7.524028000000000660e-02 3.271863000000000170e+02
1.134669000000000042e-03 1.655062000000000033e+00 1.853242999999999974e+00 9.473070999999999131e+00 1.747100000000000042e-01 7.402137000000000300e-02 3.031440999999999804e+02
1.152545000000000045e-03 1.670979999999999910e+00 1.873253000000000057e+00 9.460131000000000512e+00 1.766300000000000092e-01 7.260241000000000611e-02 2.815067000000000235e+02
1.170421000000000048e-03 1.686320000000000041e+00 1.892719999999999958e+00 9.440690999999999278e+00 1.786200000000000010e-01 7.145693000000000183e-02 2.619821999999999775e+02
1.188297000000000051e-03 1.701098999999999917e+00 1.911534000000000066e+00 9.421550999999999121e+00 1.805499999999999883e-01 7.032156000000000518e-02 2.443214000000000112e+02
1.206171999999999930e-03 1.715332999999999997e+00 1.929656999999999956e+00 9.402502999999999389e+00 1.824300000000000088e-01 6.920518999999999976e-02 2.283084000000000060e+02
1.241923999999999936e-03 1.742239000000000093e+00 1.964023000000000074e+00 9.370269999999999655e+00 1.859300000000000119e-01 6.683308000000000304e-02 2.005037000000000091e+02
1.259799999999999939e-03 1.754942000000000002e+00 1.980377000000000054e+00 9.350775999999999755e+00 1.876800000000000135e-01 6.580606999999999429e-02 1.884078000000000088e+02
