#            rhoc              M             Mb              R              C             kl            lam
3.302604999999999799e-04 1.496453000000000089e-01 1.510334999999999872e-01 1.427435999999999972e+01 1.048400000000000026e-02 5.800660000000000018e-03 3.053895000000000000e+07
3.481363000000000231e-04 1.633273000000000086e-01 1.650145000000000084e-01 1.308315999999999946e+01 1.248400000000000030e-02 8.980814999999999632e-03 1.974669000000000000e+07
3.660119999999999780e-04 1.782495000000000052e-01 1.802950000000000108e-01 1.218271999999999977e+01 1.463099999999999991e-02 1.298913999999999971e-02 1.291424000000000000e+07
3.838878000000000212e-04 1.945285999999999960e-01 1.970033999999999952e-01 1.148192000000000057e+01 1.694199999999999873e-02 1.782034999999999869e-02 8.510973000000000000e+06
4.017634999999999761e-04 2.122883000000000131e-01 2.152765000000000095e-01 1.091316999999999915e+01 1.945200000000000054e-02 2.356716000000000019e-02 5.640793000000000000e+06
4.196393000000000193e-04 2.316363999999999923e-01 2.352374000000000132e-01 1.048202999999999996e+01 2.209799999999999959e-02 2.969731000000000107e-02 3.756813000000000000e+06
4.375149999999999742e-04 2.526647000000000198e-01 2.569945000000000146e-01 1.011369999999999969e+01 2.498200000000000073e-02 3.669826999999999811e-02 2.514093000000000000e+06
4.553908000000000175e-04 2.754590000000000094e-01 2.806501000000000134e-01 9.819074999999999775e+00 2.805300000000000155e-02 4.406535999999999786e-02 1.690730000000000000e+06
4.732665000000000266e-04 3.000967999999999969e-01 3.063086999999999893e-01 9.600243000000000748e+00 3.125900000000000206e-02 5.116748000000000129e-02 1.142897000000000000e+06
4.911422999999999614e-04 3.266293000000000113e-01 3.340376999999999930e-01 9.402248999999999413e+00 3.473899999999999905e-02 5.896470000000000183e-02 7.769334000000000233e+05
5.268938000000000137e-04 3.854313999999999796e-01 3.958538999999999808e-01 9.130140000000000811e+00 4.221500000000000252e-02 7.364431999999999923e-02 3.661840999999999767e+05
5.447695000000000228e-04 4.176826000000000150e-01 4.299719000000000180e-01 9.031802000000000774e+00 4.624600000000000238e-02 8.064828999999999748e-02 2.541815000000000000e+05
5.626452999999999576e-04 4.517913000000000068e-01 4.662181000000000242e-01 8.953246000000000038e+00 5.046099999999999891e-02 8.728205999999999465e-02 1.778472000000000116e+05
5.805209999999999667e-04 4.877013000000000043e-01 5.045583000000000151e-01 8.900156000000000844e+00 5.479699999999999849e-02 9.299109999999999321e-02 1.254783000000000029e+05
5.983968000000000100e-04 5.253349999999999964e-01 5.449410000000000087e-01 8.860025999999999513e+00 5.929299999999999848e-02 9.816131000000000162e-02 8.929816999999999825e+04
6.162725000000000191e-04 5.645947999999999523e-01 5.872910999999999548e-01 8.823206000000000770e+00 6.399000000000000521e-02 1.031861000000000028e-01 6.411762999999999738e+04
6.341482999999999539e-04 6.053648999999999836e-01 6.315055000000000529e-01 8.802058999999999855e+00 6.877500000000000280e-02 1.072294000000000025e-01 4.645769999999999709e+04
6.520239999999999630e-04 6.475128999999999468e-01 6.774700999999999640e-01 8.791123000000000687e+00 7.365499999999999825e-02 1.104717999999999950e-01 3.397344999999999709e+04
6.877756000000000494e-04 7.353300999999999865e-01 7.740844999999999532e-01 8.790269999999999584e+00 8.365300000000000513e-02 1.148051999999999961e-01 1.868397999999999956e+04
7.056512999999999501e-04 7.806321000000000510e-01 8.243795000000000428e-01 8.791636999999999702e+00 8.879299999999999693e-02 1.163621999999999990e-01 1.405520999999999913e+04
7.235270999999999933e-04 8.266029000000000293e-01 8.757308000000000314e-01 8.800869999999999749e+00 9.392300000000000648e-02 1.170405999999999946e-01 1.067551000000000022e+04
7.414028000000000024e-04 8.730516000000000387e-01 9.279473000000000305e-01 8.811052000000000106e+00 9.908599999999999353e-02 1.172910999999999954e-01 8.186783000000000357e+03
7.592786000000000457e-04 9.197927999999999660e-01 9.808327000000000018e-01 8.821718000000000615e+00 1.042600000000000054e-01 1.171521999999999980e-01 6.338333999999999833e+03
7.771542999999999464e-04 9.666489999999999805e-01 1.034194999999999975e+00 8.833073999999999870e+00 1.094399999999999956e-01 1.166256999999999988e-01 4.953568000000000211e+03
7.950300999999999896e-04 1.013451000000000102e+00 1.087836999999999943e+00 8.850296000000000163e+00 1.145100000000000007e-01 1.153957000000000038e-01 3.907269999999999982e+03
8.129057999999999987e-04 1.059987999999999930e+00 1.141543999999999892e+00 8.862254000000000076e+00 1.196099999999999941e-01 1.142196999999999935e-01 3.110757999999999811e+03
