#            rhoc              M             Mb              R              C             kl            lam
3.660119999999999780e-04 1.211204000000000031e-01 1.229381999999999975e-01 1.951381999999999906e+01 6.206899999999999570e-03 1.071251000000000061e-03 7.752184000000000000e+07
3.838878000000000212e-04 1.310008000000000006e-01 1.330753000000000075e-01 1.666282999999999959e+01 7.861899999999999791e-03 2.040096999999999831e-03 4.528279000000000000e+07
4.017634999999999761e-04 1.418600000000000139e-01 1.442354999999999887e-01 1.473606999999999978e+01 9.626700000000000187e-03 3.526491000000000087e-03 2.843546000000000000e+07
4.375149999999999742e-04 1.663265999999999911e-01 1.694545000000000079e-01 1.232024000000000008e+01 1.349999999999999985e-02 8.352243000000000514e-03 1.241652000000000000e+07
4.553908000000000175e-04 1.798579999999999901e-01 1.834444000000000075e-01 1.153054000000000023e+01 1.559800000000000075e-02 1.172732999999999935e-02 8.466575000000000000e+06
4.732665000000000266e-04 1.942100999999999966e-01 1.983155000000000057e-01 1.091263000000000005e+01 1.779700000000000032e-02 1.570645999999999848e-02 5.865105000000000000e+06
4.911422999999999614e-04 2.093501000000000112e-01 2.140394999999999937e-01 1.043213000000000079e+01 2.006799999999999903e-02 2.011467000000000116e-02 4.120224000000000000e+06
5.090179999999999705e-04 2.252462000000000075e-01 2.305887000000000076e-01 1.004066000000000081e+01 2.243300000000000155e-02 2.498548999999999909e-02 2.931711000000000000e+06
5.268938000000000137e-04 2.418678999999999968e-01 2.479368000000000127e-01 9.720335000000000392e+00 2.488299999999999887e-02 3.020344999999999974e-02 2.110960000000000000e+06
5.626452999999999576e-04 2.771650999999999976e-01 2.849227999999999761e-01 9.245488999999999180e+00 2.997800000000000117e-02 4.107687000000000144e-02 1.131000000000000000e+06
5.805209999999999667e-04 2.957767000000000035e-01 3.045057999999999931e-01 9.071652999999999523e+00 3.260500000000000204e-02 4.645976999999999746e-02 8.406164000000000233e+05
5.983968000000000100e-04 3.149873000000000256e-01 3.247759000000000063e-01 8.920754000000000516e+00 3.530900000000000011e-02 5.193024999999999725e-02 6.307713000000000466e+05
6.162725000000000191e-04 3.347648999999999764e-01 3.457061000000000162e-01 8.793893000000000626e+00 3.806799999999999767e-02 5.727585000000000315e-02 4.776245000000000000e+05
6.341482999999999539e-04 3.550772999999999846e-01 3.672668000000000044e-01 8.681779999999999831e+00 4.089899999999999786e-02 6.262157000000000140e-02 3.648060999999999767e+05
6.520239999999999630e-04 3.758916999999999953e-01 3.894276999999999878e-01 8.600317999999999685e+00 4.370700000000000279e-02 6.721393000000000506e-02 2.809487000000000116e+05
6.698998000000000062e-04 3.971746999999999916e-01 4.121600999999999737e-01 8.521390999999999494e+00 4.660899999999999765e-02 7.195667999999999509e-02 2.180842999999999884e+05
6.877756000000000494e-04 4.188931000000000182e-01 4.354304999999999981e-01 8.460093999999999781e+00 4.951400000000000245e-02 7.614453999999999667e-02 1.705718999999999942e+05
7.056512999999999501e-04 4.410140000000000171e-01 4.592114999999999947e-01 8.401251999999999498e+00 5.249399999999999900e-02 8.034636000000000555e-02 1.343795000000000000e+05
7.235270999999999933e-04 4.635052000000000061e-01 4.834705000000000252e-01 8.351495999999999142e+00 5.550000000000000072e-02 8.419957000000000136e-02 1.066023000000000029e+05
7.414028000000000024e-04 4.863345000000000029e-01 5.081771000000000482e-01 8.311374000000000706e+00 5.851399999999999657e-02 8.759588999999999570e-02 8.512969999999999709e+04
7.592786000000000457e-04 5.094699000000000311e-01 5.332999000000000489e-01 8.280234999999999346e+00 6.152799999999999936e-02 9.049564999999999693e-02 6.841592999999999302e+04
7.771542999999999464e-04 5.328796000000000088e-01 5.588125000000000453e-01 8.244726999999999251e+00 6.463299999999999601e-02 9.359135999999999844e-02 5.531981999999999971e+04
7.950300999999999896e-04 5.565322000000000324e-01 5.846782000000000368e-01 8.221743000000000023e+00 6.769000000000000017e-02 9.591220999999999774e-02 4.499358999999999651e+04
8.129057999999999987e-04 5.803970999999999991e-01 6.108683000000000307e-01 8.200438000000000116e+00 7.077600000000000557e-02 9.803794000000000397e-02 3.680119999999999709e+04
8.307816000000000419e-04 6.044448000000000043e-01 6.373566999999999982e-01 8.181062999999999974e+00 7.388300000000000423e-02 9.994116999999999584e-02 3.026345999999999913e+04
8.486573000000000510e-04 6.286460999999999855e-01 6.641129000000000060e-01 8.163144000000000844e+00 7.700999999999999512e-02 1.016398000000000024e-01 2.501663000000000102e+04
8.665330999999999858e-04 6.529728999999999672e-01 6.911017000000000410e-01 8.150353000000000847e+00 8.011600000000000665e-02 1.028946000000000027e-01 2.078297000000000116e+04
8.844087999999999949e-04 6.773974999999999858e-01 7.183024000000000076e-01 8.140041000000000082e+00 8.321800000000000030e-02 1.038598000000000021e-01 1.734886999999999898e+04
9.022846000000000382e-04 7.018933000000000533e-01 7.456905000000000339e-01 8.124420999999999893e+00 8.639299999999999757e-02 1.050330000000000014e-01 1.454927000000000044e+04
9.201603000000000473e-04 7.264342000000000299e-01 7.732227000000000405e-01 8.120112000000000663e+00 8.946099999999999886e-02 1.053441999999999990e-01 1.225597999999999956e+04
9.380360999999999821e-04 7.509951999999999739e-01 8.008887999999999563e-01 8.110673999999999495e+00 9.259299999999999475e-02 1.058546999999999960e-01 1.036854000000000087e+04
9.559117999999999912e-04 7.755522999999999723e-01 8.286569000000000296e-01 8.101497000000000170e+00 9.572999999999999565e-02 1.062197000000000002e-01 8.808154000000000451e+03
9.737876000000000344e-04 8.000823999999999714e-01 8.565025000000000555e-01 8.093762999999999153e+00 9.885199999999999543e-02 1.063646000000000036e-01 7.512502999999999702e+03
9.916632999999999351e-04 8.245635999999999521e-01 8.843921999999999617e-01 8.090688000000000102e+00 1.019199999999999967e-01 1.060825999999999991e-01 6.432194999999999709e+03
1.009539000000000053e-03 8.489748000000000294e-01 9.123200999999999672e-01 8.082945000000000491e+00 1.050299999999999984e-01 1.059897999999999951e-01 5.527729000000000269e+03
1.027415000000000056e-03 8.732957000000000081e-01 9.402430000000000510e-01 8.080486999999999753e+00 1.080699999999999994e-01 1.054400999999999949e-01 4.767552999999999884e+03
1.045291000000000059e-03 8.975073000000000079e-01 9.681613000000000024e-01 8.073183000000000220e+00 1.111700000000000049e-01 1.051011000000000029e-01 4.126198000000000320e+03
1.063165999999999937e-03 9.215910999999999964e-01 9.960293999999999537e-01 8.070752000000000592e+00 1.141899999999999998e-01 1.043462000000000001e-01 3.583139000000000124e+03
1.081041999999999940e-03 9.455299999999999816e-01 1.023851000000000067e+00 8.063959000000000543e+00 1.172499999999999931e-01 1.037793000000000049e-01 3.121653999999999996e+03
1.098917999999999943e-03 9.693074000000000412e-01 1.051584000000000074e+00 8.061645999999999646e+00 1.202399999999999997e-01 1.028377000000000041e-01 2.728175999999999931e+03
1.116793999999999946e-03 9.929080000000000128e-01 1.079218000000000011e+00 8.060216000000000491e+00 1.231899999999999940e-01 1.017611999999999961e-01 2.391550000000000182e+03
1.134669000000000042e-03 1.016316999999999915e+00 1.106749999999999901e+00 8.052761000000000280e+00 1.262099999999999889e-01 1.009899999999999964e-01 2.102637000000000171e+03
1.170421000000000048e-03 1.062508999999999926e+00 1.161372999999999989e+00 8.050000000000000711e+00 1.319899999999999962e-01 9.848899999999999322e-02 1.639126999999999953e+03
1.188297000000000051e-03 1.085266999999999982e+00 1.188455000000000039e+00 8.041085999999999956e+00 1.349700000000000066e-01 9.761137000000000286e-02 1.453114000000000033e+03
1.206171999999999930e-03 1.107785000000000020e+00 1.215346999999999955e+00 8.040034000000000347e+00 1.377800000000000136e-01 9.620420000000000360e-02 1.291560999999999922e+03
1.224047999999999933e-03 1.130052000000000056e+00 1.242059999999999942e+00 8.031746000000000052e+00 1.406999999999999917e-01 9.518279000000000323e-02 1.150865000000000009e+03
1.241923999999999936e-03 1.152060000000000084e+00 1.268548000000000009e+00 8.030172000000000310e+00 1.434699999999999864e-01 9.372138000000000690e-02 1.028008000000000038e+03
1.259799999999999939e-03 1.173799000000000037e+00 1.294834000000000040e+00 8.021819000000000699e+00 1.463299999999999879e-01 9.261787999999999965e-02 9.204466999999999643e+02
1.277675000000000035e-03 1.195262000000000047e+00 1.320869999999999989e+00 8.020158999999999594e+00 1.490299999999999958e-01 9.109520000000000117e-02 8.260434000000000196e+02
1.295551000000000038e-03 1.216442000000000023e+00 1.346681999999999935e+00 8.011703999999999937e+00 1.518299999999999927e-01 8.992964999999999987e-02 7.429831000000000358e+02
1.331303000000000044e-03 1.257927000000000017e+00 1.397513999999999923e+00 8.001058000000000447e+00 1.572199999999999986e-01 8.717070999999999847e-02 6.049787000000000035e+02
1.349177999999999922e-03 1.278219999999999912e+00 1.422538000000000080e+00 7.993040999999999840e+00 1.599200000000000066e-01 8.590760000000000063e-02 5.476105000000000018e+02
1.367053999999999925e-03 1.298208999999999946e+00 1.447257999999999933e+00 7.990387000000000128e+00 1.624700000000000033e-01 8.434290999999999316e-02 4.966763000000000261e+02
1.384929999999999928e-03 1.317887999999999948e+00 1.471711999999999909e+00 7.981429999999999580e+00 1.651199999999999890e-01 8.309972999999999665e-02 4.513552999999999997e+02
1.402805999999999931e-03 1.337255000000000082e+00 1.495870999999999951e+00 7.973313000000000095e+00 1.677200000000000080e-01 8.180007999999999724e-02 4.109460000000000264e+02
