#            rhoc              M             Mb              R              C             kl            lam
9.787575000000000561e-05 8.085976999999999748e-02 8.088481000000000143e-02 1.976006999999999891e+01 4.092100000000000425e-03 1.946000000000000160e-02 1.130660000000000000e+10
1.336273000000000072e-04 8.139675000000000382e-02 8.142415999999999543e-02 1.787058999999999997e+01 4.554800000000000341e-03 1.929625999999999911e-02 6.562065000000000000e+09
1.515029999999999892e-04 8.185275999999999663e-02 8.188238000000000461e-02 1.675067999999999913e+01 4.886500000000000218e-03 1.926790999999999920e-02 4.610407000000000000e+09
1.872544999999999874e-04 9.143303999999999321e-02 9.152096999999999316e-02 1.323054999999999914e+01 6.910799999999999929e-03 2.348855999999999861e-02 9.934322000000000000e+08
2.230060000000000126e-04 1.154509999999999981e-01 1.157529000000000058e-01 1.092195000000000071e+01 1.057100000000000053e-02 3.689366000000000173e-02 1.863683000000000000e+08
2.408818000000000016e-04 1.317977999999999927e-01 1.322949999999999959e-01 1.024146999999999963e+01 1.286900000000000023e-02 4.670894999999999908e-02 8.822248000000000000e+07
2.766333000000000268e-04 1.713404000000000038e-01 1.724664999999999948e-01 9.440759999999999152e+00 1.814899999999999847e-02 6.960805999999999938e-02 2.356701000000000000e+07
3.302604999999999799e-04 2.447297999999999973e-01 2.475900000000000045e-01 8.940331000000000472e+00 2.737399999999999903e-02 1.041196000000000066e-01 4.516214000000000000e+06
3.481363000000000231e-04 2.723955000000000126e-01 2.760965000000000225e-01 8.861582000000000292e+00 3.073899999999999896e-02 1.144836000000000048e-01 2.781047000000000000e+06
3.660119999999999780e-04 3.014805999999999875e-01 3.061743000000000103e-01 8.813226000000000226e+00 3.420800000000000229e-02 1.236054000000000042e-01 1.759235000000000000e+06
3.838878000000000212e-04 3.318857000000000057e-01 3.377349000000000045e-01 8.790383999999999531e+00 3.775599999999999790e-02 1.312059999999999893e-01 1.140142000000000000e+06
4.196393000000000193e-04 3.962725999999999749e-01 4.049708000000000196e-01 8.772213999999999956e+00 4.517399999999999888e-02 1.440512999999999932e-01 5.105070999999999767e+05
4.375149999999999742e-04 4.300665000000000182e-01 4.404765999999999959e-01 8.780889999999999418e+00 4.897800000000000070e-02 1.485675999999999941e-01 3.514367000000000116e+05
4.553908000000000175e-04 4.648042000000000007e-01 4.771296999999999899e-01 8.791465000000000529e+00 5.287000000000000033e-02 1.524643999999999999e-01 2.460556000000000058e+05
4.732665000000000266e-04 5.003944000000000170e-01 5.148471999999999493e-01 8.810511999999999233e+00 5.679499999999999826e-02 1.551144999999999885e-01 1.749866000000000058e+05
4.911422999999999614e-04 5.367471000000000325e-01 5.535449000000000064e-01 8.830481000000000691e+00 6.078299999999999675e-02 1.571397999999999961e-01 1.262606999999999971e+05
5.090179999999999705e-04 5.737735999999999947e-01 5.931414000000000408e-01 8.850892999999999233e+00 6.482699999999999574e-02 1.585783000000000054e-01 9.233897999999999593e+04
5.268938000000000137e-04 6.113868000000000080e-01 6.335528999999999744e-01 8.871886999999999190e+00 6.891300000000000203e-02 1.594240000000000101e-01 6.838519999999999709e+04
5.447695000000000228e-04 6.495014999999999539e-01 6.746952999999999978e-01 8.900218000000000629e+00 7.297599999999999920e-02 1.590873999999999899e-01 5.124444999999999709e+04
5.626452999999999576e-04 6.880344999999999933e-01 7.164926999999999824e-01 8.921060000000000656e+00 7.712499999999999911e-02 1.589200000000000057e-01 3.882563999999999942e+04
5.805209999999999667e-04 7.269050999999999707e-01 7.588620999999999839e-01 8.942408999999999608e+00 8.128699999999999815e-02 1.582323999999999953e-01 2.972268999999999869e+04
5.983968000000000100e-04 7.660350000000000215e-01 8.017218000000000400e-01 8.970235999999999876e+00 8.539700000000000069e-02 1.565338000000000007e-01 2.297699000000000160e+04
6.162725000000000191e-04 8.053487000000000284e-01 8.450043999999999889e-01 8.990861000000000658e+00 8.957400000000000084e-02 1.550585999999999909e-01 1.792633000000000175e+04
6.341482999999999539e-04 8.447736000000000134e-01 8.886290999999999496e-01 9.011340999999999823e+00 9.374599999999999600e-02 1.532176000000000093e-01 1.410790999999999985e+04
6.520239999999999630e-04 8.842402999999999791e-01 9.325217999999999563e-01 9.031641999999999726e+00 9.790500000000000591e-02 1.510478000000000098e-01 1.119451000000000022e+04
6.698998000000000062e-04 9.236824999999999619e-01 9.766150000000000109e-01 9.051420000000000243e+00 1.020500000000000018e-01 1.486117999999999884e-01 8.952245999999999185e+03
