bibkey,arxiv,sim,EOS,nus,MA,MB,M,q,CA,CB,MbA,MbB,LamA,LamB,tLam,Mej1e-2,Vej,Yeej,disc_data,Mdisk1e-2
Radice:2018pdn,https://arxiv.org/abs/1809.11161,BHBlpM125125LK,BHBlp,leak,1.25,1.25,2.5,1.0,0.1401977630592352,0.1401977630592352,1.3646419002749315,1.3646419002749315,1314.6891934516366,1314.6891934516366,1314.6891934516366,0.13,0.18,0.13,0,
Radice:2018pdn,https://arxiv.org/abs/1809.11161,BHBlpM1365125LK,BHBlp,leak,1.365,1.25,2.615,1.092,0.15265498856811877,0.1401977630592352,1.502755630948389,1.3646419002749315,807.1913499710394,1314.6891934516366,1031.1262530492254,0.06,0.21,0.14,1,18.73
Radice:2018pdn,https://arxiv.org/abs/1809.11161,BHBlpM130130LK,BHBlp,leak,1.3,1.3,2.6,1.0,0.14560319571258437,0.14560319571258437,1.4243925768161971,1.4243925768161971,1061.0594874950375,1061.0594874950375,1061.0594874950375,0.07,0.12,0.16,0,
Radice:2018pdn,https://arxiv.org/abs/1809.11161,BHBlpM135135LKHR,BHBlp,leak,1.35,1.35,2.7,1.0,0.1509950794134683,0.1509950794134683,1.484569337011859,1.484569337011859,857.167144867847,857.167144867847,857.1671448678471,0.05,0.18,0.16,1,14.26
Radice:2018pdn,https://arxiv.org/abs/1809.11161,BHBlpM140120LK,BHBlp,leak,1.4,1.2,2.6,1.16666666666667,0.15647018704514767,0.13478088657043497,1.5452811276056244,1.3053206759563623,698.099274860869,1633.8467444142725,1070.6424277399506,0.11,0.16,0.11,1,20.74
Radice:2018pdn,https://arxiv.org/abs/1809.11161,BHBlpM140140LKHR,BHBlp,leak,1.4,1.4,2.8,1.0,0.15647018704514767,0.15647018704514767,1.5452811276056244,1.5452811276056244,698.099274860869,698.099274860869,698.099274860869,0.1,0.2,0.14,1,5.38
Radice:2018pdn,https://arxiv.org/abs/1809.11161,BHBlpM144139LK,BHBlp,leak,1.44,1.39,2.83,1.03597122302158,0.16087232236562188,0.1553966532749366,1.5941601831300523,1.5331050812395033,591.2749067047229,727.1238410017457,655.9529299109287,0.06,0.2,0.18,1,8.28
Radice:2018pdn,https://arxiv.org/abs/1809.11161,BHBlpM150150LK,BHBlp,leak,1.5,1.5,3.0,1.0,0.16755870927396663,0.16755870927396663,1.6681647067100245,1.6681647067100245,464.43985479332116,464.43985479332116,464.43985479332116,0.05,0.23,0.17,1,1.93
Radice:2018pdn,https://arxiv.org/abs/1809.11161,BHBlpM160160LK,BHBlp,leak,1.6,1.6,3.2,1.0,0.17893475841874087,0.17893475841874087,1.793059007320644,1.793059007320644,306.5562143275465,306.5562143275465,306.5562143275465,0.0,0.0,0.0,1,0.09
Radice:2018pdn,https://arxiv.org/abs/1809.11161,DD2M120120LK,DD2,leak,1.2,1.2,2.4,1.0,0.1347788080478281,0.1347788080478281,1.3053174013104192,1.3053174013104192,1630.6572700919944,1630.6572700919944,1630.6572700919944,0.08,0.14,0.15,0,
Radice:2018pdn,https://arxiv.org/abs/1809.11161,DD2M125125LK,DD2,leak,1.25,1.25,2.5,1.0,0.14011705418719214,0.14011705418719214,1.3646209807881773,1.3646209807881773,1312.376156650246,1312.376156650246,1312.376156650246,0.04,0.15,0.18,0,
Radice:2018pdn,https://arxiv.org/abs/1809.11161,DD2M1365125LK,DD2,leak,1.365,1.25,2.615,1.092,0.15255802771780763,0.14011705418719214,1.5027348615502472,1.3646209807881773,809.3134213454979,1312.376156650246,1031.3376526091172,0.04,0.2,0.15,1,20.83
Radice:2018pdn,https://arxiv.org/abs/1809.11161,DD2M130130LK,DD2,leak,1.3,1.3,2.6,1.0,0.145533673757573,0.145533673757573,1.4243801138341001,1.4243801138341001,1061.2632855965016,1061.2632855965016,1061.2632855965016,0.12,0.18,0.13,0,
Radice:2018pdn,https://arxiv.org/abs/1809.11161,DD2M135135LKHR,DD2,leak,1.35,1.35,2.7,1.0,0.15093883418065324,0.15093883418065324,1.4845915368061842,1.4845915368061842,861.6418564732919,861.6418564732919,861.6418564732919,0.02,0.19,0.18,1,15.05
Radice:2018pdn,https://arxiv.org/abs/1809.11161,DD2M140120LK,DD2,leak,1.4,1.2,2.6,1.16666666666667,0.15640276242177129,0.1347788080478281,1.5452731098994879,1.3053174013104192,701.8308388796706,1630.6572700919944,1071.7554746297587,0.09,0.18,0.12,1,19.26
Radice:2018pdn,https://arxiv.org/abs/1809.11161,DD2M140140LKHR,DD2,leak,1.4,1.4,2.8,1.0,0.15640276242177129,0.15640276242177129,1.5452731098994879,1.5452731098994879,701.8308388796706,701.8308388796706,701.8308388796708,0.09,0.18,0.14,1,16.85
Radice:2018pdn,https://arxiv.org/abs/1809.11161,DD2M144139LK,DD2,leak,1.44,1.39,2.83,1.03597122302158,0.16076988698372663,0.1552957076142613,1.5941582649576795,1.5330931364498386,597.0629287657946,730.6620782121189,660.682539634088,0.05,0.2,0.17,1,14.4
Radice:2018pdn,https://arxiv.org/abs/1809.11161,DD2M150150LK,DD2,leak,1.5,1.5,3.0,1.0,0.1672953533929246,0.1672953533929246,1.6681899227495909,1.6681899227495909,474.82854949515297,474.82854949515297,474.82854949515297,0.07,0.17,0.2,1,16.7
Radice:2018pdn,https://arxiv.org/abs/1809.11161,DD2M160160LK,DD2,leak,1.6,1.6,3.2,1.0,0.17831142729850144,0.17831142729850144,1.7929109761846904,1.7929109761846904,318.24884425273376,318.24884425273376,318.24884425273376,0.12,0.24,0.14,1,1.96
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M120120LK,LS220,leak,1.2,1.2,2.4,1.0,0.13859290855590764,0.13859290855590764,1.3203316559529197,1.3203316559529197,1441.4009860796743,1441.4009860796743,1441.4009860796743,0.14,0.15,0.12,1,17.43
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M1365125LK,LS220,leak,1.365,1.25,2.615,1.092,0.1586690631853786,0.14463868390457146,1.520852542454308,1.3805114961168208,635.7865201879894,1120.976586941357,849.1917481652059,0.11,0.16,0.1,1,16.86
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M135135LK,LS220,leak,1.35,1.35,2.7,1.0,0.15681020727775222,0.15681020727775222,1.502383755668151,1.502383755668151,684.5118403705407,684.5118403705407,684.5118403705407,0.06,0.16,0.11,1,7.25
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M140120LK,LS220,leak,1.4,1.2,2.6,1.16666666666667,0.16296822613994993,0.13859290855590764,1.5641709173649654,1.3203316559529197,540.1813905611783,1441.4009860796743,896.9439710469974,0.19,0.15,0.09,1,22.82
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M140140LKHR,LS220,leak,1.4,1.4,2.8,1.0,0.16296822613994993,0.16296822613994993,1.5641709173649654,1.5641709173649654,540.1813905611783,540.1813905611783,540.1813905611783,0.07,0.17,0.15,1,2.68
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M144139LK,LS220,leak,1.44,1.39,2.83,1.03597122302158,0.16804139093902576,0.1617004059201219,1.61392840774384,1.5517355780099393,441.7729260815261,564.9848693582908,500.35731777658674,0.19,0.16,0.14,1,3.91
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M145145LK,LS220,leak,1.45,1.45,2.9,1.0,0.16931878392188032,0.16931878392188032,1.6264457235153855,1.6264457235153855,421.0621846258658,421.0621846258658,421.0621846258659,0.16,0.21,0.14,1,2.05
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M145145LK,LS220,leak,1.5,1.5,3.0,1.0,0.17576910649521924,0.17576910649521924,1.689386358391032,1.689386358391032,330.80390283547644,330.80390283547644,330.8039028354765,0.03,0.19,0.08,1,0.16
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M160160LK,LS220,leak,1.6,1.6,3.2,1.0,0.18915658474032912,0.18915658474032912,1.8171867268647148,1.8171867268647148,202.43211748236797,202.43211748236797,202.432117482368,0.03,0.21,0.07,1,0.07
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M171171LK,LS220,leak,1.71,1.71,3.42,1.0,0.20501689527829067,0.20501689527829067,1.9611985127934581,1.9611985127934581,116.17930791347932,116.17930791347932,116.17930791347933,0.03,0.22,0.08,1,0.06
Radice:2018pdn,https://arxiv.org/abs/1809.11161,SFHoM1365125LK,SFHo,leak,1.365,1.25,2.615,1.092,0.16933007926917687,0.15450050590439673,1.5160878374981874,1.3748469724170989,393.421141427812,680.8540226153643,519.9298529965168,0.15,0.23,0.14,1,8.81
Radice:2018pdn,https://arxiv.org/abs/1809.11161,SFHoM135135LKHR,SFHo,leak,1.35,1.35,2.7,1.0,0.16735068327402136,0.16735068327402136,1.497491344911032,1.497491344911032,422.55741557295374,422.55741557295374,422.5574155729538,0.23,0.21,0.17,1,1.78
Radice:2018pdn,https://arxiv.org/abs/1809.11161,SFHoM140120LK,SFHo,leak,1.4,1.2,2.6,1.16666666666667,0.17386100344827585,0.1481355184135977,1.559699584778325,1.314401087566887,334.01689129556667,872.0148034875673,547.1699306198905,0.12,0.2,0.14,1,11.73
Radice:2018pdn,https://arxiv.org/abs/1809.11161,SFHoM140140LK,SFHo,leak,1.4,1.4,2.8,1.0,0.17386100344827585,0.17386100344827585,1.559699584778325,1.559699584778325,334.01689129556667,334.01689129556667,334.0168912955667,0.04,0.35,0.19,1,0.01
Radice:2018pdn,https://arxiv.org/abs/1809.11161,SFHoM144139LK,SFHo,leak,1.44,1.39,2.83,1.03597122302158,0.17922165325680317,0.17251617586206894,1.6099401208425153,1.547207466551724,277.1107212115001,350.0830489310347,311.8199795398555,0.04,0.33,0.18,1,0.09
Radice:2018pdn,https://arxiv.org/abs/1809.11161,SFHoM146146LK,SFHo,leak,1.46,1.46,2.92,1.0,0.18180536775476042,0.18180536775476042,1.6351882077840552,1.6351882077840552,252.44268547290227,252.44268547290227,252.4426854729023,0.0,0.0,0.0,1,0.02
Radice:2018pdn,https://arxiv.org/abs/1809.11161,BHBlpM135135M0,BHBlp,leakM0,1.35,1.35,2.7,1.0,0.1509950794134683,0.1509950794134683,1.484569337011859,1.484569337011859,857.167144867847,857.167144867847,857.1671448678471,0.14,0.14,0.26,1,12.75
Radice:2018pdn,https://arxiv.org/abs/1809.11161,BHBlpM140120M0,BHBlp,leakM0,1.4,1.2,2.6,1.16666666666667,0.15647018704514767,0.13478088657043497,1.5452811276056244,1.3053206759563623,698.099274860869,1633.8467444142725,1070.6424277399506,0.16,0.17,0.19,1,22.56
Radice:2018pdn,https://arxiv.org/abs/1809.11161,DD2M135135M0,DD2,leakM0,1.35,1.35,2.7,1.0,0.15093883418065324,0.15093883418065324,1.4845915368061842,1.4845915368061842,861.6418564732919,861.6418564732919,861.6418564732919,0.14,0.17,0.23,1,16.16
Radice:2018pdn,https://arxiv.org/abs/1809.11161,DD2M140120M0,DD2,leakM0,1.4,1.2,2.6,1.16666666666667,0.15640276242177129,0.1347788080478281,1.5452731098994879,1.3053174013104192,701.8308388796706,1630.6572700919944,1071.7554746297587,0.16,0.16,0.21,1,19.48
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M135135M0,LS220,leakM0,1.35,1.35,2.7,1.0,0.15681020727775222,0.15681020727775222,1.502383755668151,1.502383755668151,684.5118403705407,684.5118403705407,684.5118403705407,0.19,0.15,0.25,1,9.06
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M135135M0L05,LS220,leakM0,1.35,1.35,2.7,1.0,0.15681020727775222,0.15681020727775222,1.502383755668151,1.502383755668151,684.5118403705407,684.5118403705407,684.5118403705407,0.27,0.13,0.27,1,14.07
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M135135M0L25,LS220,leakM0,1.35,1.35,2.7,1.0,0.15681020727775222,0.15681020727775222,1.502383755668151,1.502383755668151,684.5118403705407,684.5118403705407,684.5118403705407,0.2,0.14,0.26,1,4.65
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M135135M0L50,LS220,leakM0,1.35,1.35,2.7,1.0,0.15681020727775222,0.15681020727775222,1.502383755668151,1.502383755668151,684.5118403705407,684.5118403705407,684.5118403705407,0.2,0.16,0.26,1,8.59
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M135135M0LTE,LS220,leakM0,1.35,1.35,2.7,1.0,0.15681020727775222,0.15681020727775222,1.502383755668151,1.502383755668151,684.5118403705407,684.5118403705407,684.5118403705407,0.11,0.13,0.2,1,14.24
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M140120M0,LS220,leakM0,1.4,1.2,2.6,1.16666666666667,0.16296822613994993,0.13859290855590764,1.5641709173649654,1.3203316559529197,540.1813905611783,1441.4009860796743,896.9439710469974,0.24,0.15,0.18,1,23.38
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M140120M0L05,LS220,leakM0,1.4,1.2,2.6,1.16666666666667,0.16296822613994993,0.13859290855590764,1.5641709173649654,1.3203316559529197,540.1813905611783,1441.4009860796743,896.9439710469974,0.28,0.15,0.18,1,20.33
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M140120M0L25,LS220,leakM0,1.4,1.2,2.6,1.16666666666667,0.16296822613994993,0.13859290855590764,1.5641709173649654,1.3203316559529197,540.1813905611783,1441.4009860796743,896.9439710469974,0.41,0.2,0.16,1,12.07
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M140120M0L50,LS220,leakM0,1.4,1.2,2.6,1.16666666666667,0.16296822613994993,0.13859290855590764,1.5641709173649654,1.3203316559529197,540.1813905611783,1441.4009860796743,896.9439710469974,0.7,0.22,0.18,1,13.97
Radice:2018pdn,https://arxiv.org/abs/1809.11161,SFHoM135135M0,SFHo,leakM0,1.35,1.35,2.7,1.0,0.16735068327402136,0.16735068327402136,1.497491344911032,1.497491344911032,422.55741557295374,422.55741557295374,422.5574155729538,0.42,0.22,0.22,1,1.23
Radice:2018pdn,https://arxiv.org/abs/1809.11161,SFHoM140120M0,SFHo,leakM0,1.4,1.2,2.6,1.16666666666667,0.17386100344827585,0.1481355184135977,1.559699584778325,1.314401087566887,334.01689129556667,872.0148034875673,547.1699306198905,0.3,0.16,0.22,1,15.65
Vincent:2019kor,https://arxiv.org/abs/1908.00655,D144144,DD2,M1,1.44,1.44,2.88,1.0,0.16076988698372663,0.16076988698372663,1.5941582649576795,1.5941582649576795,597.0629287657946,597.0629287657946,597.0629287657946,0.36,0.267,0.21600000000000003,1,10.0
Vincent:2019kor,https://arxiv.org/abs/1908.00655,D12132,DD2,M1,1.32,1.2,2.52,1.0989010989011,0.14769738714526487,0.1347788080478281,1.4484087204026783,1.3053174013104192,976.120890479661,1630.6572700919944,1262.3440051563946,0.46,0.273,0.21,1,12.0
Vincent:2019kor,https://arxiv.org/abs/1908.00655,D12144,DD2,M1,1.44,1.2,2.64,1.20481927710843,0.16076988698372663,0.1347788080478281,1.5941582649576795,1.3053174013104192,597.0629287657946,1630.6572700919944,987.8399283802146,0.335,0.204,0.16399999999999998,1,17.0
