# 1:rho_c 2:axis_ratio 3:M 4:J 5:P0 6:M0
0.165552 0.665 0.06284462 0.00274031144121 6096.19075205 0.06237681
0.411371 0.769 0.3018866 0.0456275992117 2.5889331039 0.3052279
0.476923 0.764 0.4100952 0.0912722415704 2.03443751621 0.4179995
0.509699 0.695 0.4767936 0.136893729599 1.73009480606 0.4881471
0.542475 0.673 0.5416048 0.182498666699 1.57784178482 0.5569559
0.575251 0.681 0.6048316 0.228292186726 1.48343253454 0.6247205
0.608027 0.696 0.666333 0.274195413085 1.4170950132 0.6912978
0.624415 0.661 0.7070217 0.319562184777 1.342891808 0.735264
0.640803 0.623 0.7464463 0.364915258858 1.2855093442 0.778121
0.673579 0.669 0.8040173 0.410799273554 1.25717739628 0.8417447
0.689967 0.653 0.8414094 0.456617922837 1.21587156285 0.882944
0.706355 0.64 0.8777925 0.50210182501 1.18126414043 0.9232384
0.722742 0.629 0.9133729 0.547717029101 1.15116291089 0.9628383
0.73913 0.62 0.9481389 0.593314960665 1.12465759315 1.001722
0.755518 0.613 0.9820695 0.638806845546 1.10101440111 1.039856
0.771906 0.608 1.015195 0.684171698914 1.07968806427 1.077266
0.788294 0.604 1.047666 0.729798906907 1.05999308101 1.114102
0.804682 0.601 1.079448 0.775549966894 1.04174557573 1.150318
0.82107 0.599 1.110519 0.821322082852 1.02477128559 1.185883
0.837458 0.598 1.140829 0.866877864972 1.00896403617 1.220733
0.853846 0.597 1.170549 0.912704592082 0.993970277191 1.255046
0.870234 0.597 1.199425 0.95792894052 0.980008036855 1.288536
0.886622 0.596 1.22789 1.00393041639 0.966449414053 1.321671
0.90301 0.596 1.255451 1.04902073271 0.953823478664 1.353897
0.919398 0.595 1.282587 1.094791585 0.941500048277 1.385738
0.935786 0.594 1.309085 1.14042857514 0.92972480738 1.41695
0.952174 0.593 1.334918 1.18579798037 0.918460602401 1.447496
0.968562 0.591 1.360364 1.23185518308 0.907403694233 1.477677
0.98495 0.589 1.385164 1.27757046021 0.896817925664 1.5072
1.00134 0.587 1.409312 1.32291365665 0.886665818154 1.536056
1.01773 0.584 1.433028 1.36865605615 0.876719820467 1.564478
1.03411 0.58 1.456217 1.41443599998 0.867047243667 1.592351
1.0505 0.575 1.478845 1.45991581662 0.8577294126 1.619642
1.08328 0.603 1.511646 1.5057883428 0.848801629194 1.660396
1.09967 0.599 1.533132 1.55196378542 0.839645003161 1.686484
1.11605 0.595 1.553951 1.59731186225 0.830900782976 1.711849
1.13244 0.59 1.574488 1.64328505399 0.822268261091 1.736917
1.14883 0.585 1.594251 1.68785844313 0.814093641353 1.761132
1.16522 0.577 1.613945 1.73391616461 0.805863055697 1.785282
1.19799 0.594 1.641871 1.7805044421 0.797129012874 1.820698
1.21438 0.588 1.660213 1.82544355277 0.789354407689 1.843337
1.23077 0.58 1.678293 1.87084625633 0.781695175639 1.865683
1.24716 0.566 1.695899 1.91578155221 0.774281513355 1.887494
1.27993 0.584 1.720709 1.96193927665 0.765871316836 1.919342
1.29632 0.572 1.737515 2.00750195788 0.758627250828 1.940231
1.3291 0.583 1.760708 2.05343844694 0.750369328603 1.970175
1.34548 0.569 1.776492 2.0983093711 0.743477377345 1.989871
1.37826 0.578 1.798266 2.14438620885 0.735349882706 2.01811
1.41104 0.582 1.819237 2.19066743807 0.727260167444 2.045364
1.42742 0.562 1.833619 2.23476296511 0.720820155935 2.063391
1.4602 0.568 1.853279 2.280693661 0.712945763162 2.089037
1.49298 0.569 1.87206 2.32593305721 0.705224535745 2.113598
1.52575 0.565 1.890264 2.3718274479 0.697513935955 2.137411
1.57492 0.579 1.912163 2.41863799914 0.688354089854 2.166802
1.60769 0.574 1.928595 2.46319983137 0.680952111304 2.188367
1.65686 0.579 1.948282 2.50920440107 0.672022362634 2.214878
1.68963 0.568 1.963482 2.55425651525 0.664764510936 2.234802
1.7388 0.568 1.981334 2.59989364088 0.656065372295 2.258864
1.80435 0.577 2.001014 2.64573193331 0.645940232416 2.285922
1.85351 0.569 2.016811 2.69119397002 0.637474513407 2.307159
1.91906 0.567 2.033966 2.73659707231 0.627667012359 2.33069
2.001 0.57 2.051853 2.78254398696 0.616541357703 2.355539
2.09933 0.573 2.069495 2.82773143292 0.604320945954 2.380293
2.21405 0.57 2.086432 2.87370347413 0.591028197617 2.404101
2.37793 0.566 2.103466 2.91891662716 0.574407513535 2.428412
