# 1:rho_c 2:axis_ratio 3:M 4:J 5:P0 6:M0
0.1 1.0 0.0817717 0.0 inf 0.08177937
0.345819 0.762 0.310646 0.0679282932392 2.17606801239 0.3160765
0.394983 0.709 0.4256413 0.135770199444 1.75847433612 0.4363944
0.427759 0.673 0.5130544 0.203450778224 1.56970577371 0.5289162
0.460535 0.671 0.5974358 0.271233109474 1.47002225842 0.6192667
0.476923 0.625 0.6549856 0.339081945494 1.3776821433 0.6810152
0.509699 0.653 0.7343384 0.407595102547 1.33268542238 0.7676776
0.526087 0.633 0.7872857 0.475086379207 1.27978791286 0.8254901
0.542475 0.618 0.8386507 0.542777261583 1.23754764156 0.8819432
0.558863 0.607 0.8886337 0.610738560835 1.20238612108 0.9372325
0.575251 0.6 0.9370873 0.678267782203 1.17259221778 0.9911832
0.591639 0.596 0.9842596 0.745695289254 1.14655138849 1.044044
0.608027 0.593 1.030776 0.81460557015 1.12267599382 1.096476
0.624415 0.593 1.075589 0.881769662828 1.10179730003 1.147334
0.640803 0.593 1.119831 0.950373211772 1.08214394711 1.197827
0.657191 0.594 1.162894 1.01846176365 1.06414945197 1.247286
0.673579 0.596 1.204602 1.08527792912 1.04774691983 1.295497
0.689967 0.597 1.246049 1.15437168502 1.03168581113 1.343649
0.706355 0.599 1.285977 1.22140356336 1.01705887601 1.390347
0.706355 0.561 1.304806 1.28824516344 1.00109878739 1.411077
0.722742 0.569 1.343535 1.35584959595 0.988005794701 1.45671
0.73913 0.574 1.381641 1.42423343897 0.975298088466 1.501845
0.755518 0.578 1.418864 1.49242867072 0.963117254371 1.546182
0.771906 0.581 1.455429 1.56128497642 0.951250321668 1.589959
0.788294 0.584 1.490859 1.62878254904 0.940021191696 1.632632
0.804682 0.587 1.525231 1.6949870123 0.92934952587 1.674281
0.804682 0.556 1.541714 1.76287186102 0.918847697944 1.692694
0.82107 0.562 1.575733 1.83194134287 0.908488734187 1.734136
0.837458 0.567 1.608535 1.89895289173 0.89869109455 1.774344
0.853846 0.57 1.641008 1.96770410052 0.888901020428 1.814301
0.870234 0.573 1.672322 2.0345299529 0.879592024014 1.853062
0.886622 0.575 1.703149 2.10235288959 0.870364807876 1.891372
0.90301 0.576 1.733629 2.17181658471 0.86115032848 1.92938
0.919398 0.577 1.763139 2.24002329846 0.852281948091 1.966368
0.919398 0.547 1.776937 2.30503271777 0.845326758623 1.981992
0.935786 0.551 1.805553 2.37329835889 0.836879206207 2.018062
0.952174 0.553 1.833487 2.44141179294 0.828616959623 2.053416
0.968562 0.554 1.860707 2.50921869257 0.820537368502 2.088008
0.98495 0.554 1.887315 2.57714279974 0.812598580404 2.121942
1.00134 0.553 1.913342 2.6452048234 0.804796783877 2.155247
1.01773 0.552 1.938436 2.71167748333 0.797266269079 2.187512
1.03411 0.548 1.963087 2.77937930292 0.789785619963 2.219256
1.06689 0.571 1.997992 2.84726087836 0.780480744467 2.266266
1.08328 0.568 2.021155 2.91523695698 0.773191308958 2.296297
1.09967 0.564 2.043903 2.98393331282 0.765979902633 2.325846
1.11605 0.559 2.066004 3.05189446744 0.758963007495 2.354639
1.13244 0.552 2.087364 3.11852202213 0.752164525981 2.382565
1.16522 0.566 2.117476 3.18841525629 0.743160541146 2.423835
1.18161 0.56 2.137383 3.25407794118 0.736636077828 2.450008
1.19799 0.5430197 2.156821 3.32206759198 0.729904356328 2.475649
1.23077 0.561 2.184041 3.38948342497 0.721538075276 2.51325
1.26355 0.566 2.207292 3.45795851335 0.712285122758 2.546218
1.27993 0.556 2.227695 3.52540861199 0.706830109195 2.572638
1.31271 0.56 2.251612 3.59395045271 0.698544462959 2.606001
1.34548 0.562 2.274176 3.66086570157 0.690476616707 2.637588
1.37826 0.561 2.296133 3.73015104161 0.682399510831 2.668265
1.41104 0.559 2.316667 3.79657007882 0.67460369755 2.697076
1.44381 0.551 2.336543 3.86438062236 0.666863932904 2.724909
1.49298 0.559 2.359724 3.93310502943 0.657177082211 2.758572
1.54214 0.558 2.37835 4.00198050408 0.646928129998 2.786555
1.5913 0.557 2.401171 4.0682570212 0.638505892228 2.818743
1.65686 0.557 2.419572 4.13687412034 0.626786664111 2.847215
1.7388 0.562 2.441174 4.20438692563 0.614366272666 2.87997
1.82074 0.5532066 2.462341 4.27172009527 0.60282852919 2.911044
1.96823 0.561 2.481721 4.33969074364 0.584110153733 2.942898
2.32876 0.5599903 2.507674 4.40619144707 0.549507601066 2.984828
