# 1:rho_c 2:axis_ratio 3:M 4:J 5:P0 6:M0
0.1 1.0 0.0817717 0.0 inf 0.08177937
0.378595 0.754 0.3476158 0.0851556959265 1.92414955655 0.3549629
0.411371 0.656 0.4621575 0.169994687851 1.55697428756 0.4753181
0.444147 0.662 0.5720863 0.254867076747 1.43702805545 0.5926776
0.460535 0.607 0.6468456 0.339727081606 1.33498832736 0.6729009
0.493311 0.66 0.7493489 0.424790320427 1.30239839181 0.7852049
0.509699 0.644 0.8164942 0.509613094561 1.24960304589 0.8589029
0.526087 0.633 0.880867 0.595492295491 1.20819659376 0.9301121
0.542475 0.627 0.9423785 0.680380127167 1.17537932732 0.9987133
0.558863 0.624 1.001556 0.764835323719 1.14793245014 1.065231
0.558863 0.566 1.031111 0.849734854023 1.11155963284 1.097232
0.575251 0.576 1.087083 0.934285678244 1.09188703155 1.160807
0.591639 0.582 1.14192 1.02045793928 1.07346726315 1.223525
0.608027 0.588 1.194531 1.10453623328 1.05708108314 1.28417
0.624415 0.592 1.246489 1.19124895807 1.04110120955 1.34444
0.640803 0.597 1.296266 1.27464046559 1.02692972386 1.402662
0.640803 0.56 1.320273 1.35982805476 1.00824808737 1.429137
0.657191 0.571 1.36837 1.44411437046 0.995742712486 1.485915
0.673579 0.577 1.415596 1.53310352328 0.982197520017 1.542081
0.689967 0.584 1.460677 1.61496866442 0.971063127006 1.59607
0.689967 0.55 1.483126 1.69961714247 0.958180944486 1.621005
0.706355 0.562 1.527401 1.78488044054 0.947430441338 1.674425
0.722742 0.57 1.569183 1.86896960938 0.936431026829 1.725367
0.73913 0.576 1.611137 1.95348955954 0.92631976877 1.776636
0.73913 0.543 1.632218 2.03911127175 0.916316279072 1.800236
0.755518 0.555 1.673148 2.12559581921 0.906583699632 1.850624
0.771906 0.562 1.711642 2.21181458861 0.896358109709 1.898541
0.788294 0.568 1.749925 2.29526460039 0.887338743993 1.946291
0.804682 0.572 1.787934 2.38183803208 0.878140809657 1.993889
0.804682 0.547 1.80657 2.46331406916 0.870887531606 2.014937
0.82107 0.554 1.841622 2.54952949331 0.861390342428 2.059483
0.837458 0.558 1.87805 2.63894771578 0.852512879197 2.105608
0.853846 0.563 1.912019 2.72046097598 0.8444538847 2.149043
0.870234 0.566 1.945892 2.8058936378 0.836168095197 2.192469
0.870234 0.537 1.963585 2.88795826274 0.830420336144 2.212597
0.886622 0.545 1.996462 2.9738122678 0.822411297865 2.255008
0.90301 0.549 2.028574 3.05998364389 0.814490860637 2.296617
0.919398 0.551 2.057875 3.14642712646 0.805895097842 2.33518
0.935786 0.553 2.08817 3.23140509627 0.798282036323 2.374808
0.952174 0.555 2.117223 3.31363689661 0.790950736436 2.413043
0.968562 0.554 2.146955 3.40405631329 0.783181759019 2.452092
0.98495 0.554 2.174978 3.48877955069 0.775887432239 2.489189
1.00134 0.554 2.201923 3.57131378954 0.7688200016 2.525047
1.01773 0.552 2.228927 3.6583215821 0.761581510415 2.560979
1.03411 0.551 2.254304 3.73946401933 0.754782124766 2.595014
1.0505 0.547 2.279919 3.8260603585 0.747761014771 2.629322
1.06689 0.544 2.306878 3.9079833856 0.741889760202 2.66502
1.09967 0.561 2.338675 3.99303720556 0.732101281609 2.711022
1.11605 0.557 2.361622 4.07680973991 0.725497632726 2.74209
1.13244 0.55 2.384559 4.16440971591 0.718795226643 2.773108
1.14883 0.538 2.409118 4.24671675346 0.713253385831 2.805816
1.18161 0.554 2.436604 4.33520454303 0.70360677785 2.846259
1.19799 0.543 2.459814 4.41747315122 0.698227280354 2.877212
1.23077 0.553 2.484311 4.5023715205 0.688952178521 2.913746
1.26355 0.558 2.510374 4.5867601785 0.680583829812 2.951656
1.29632 0.559 2.535816 4.67637009074 0.672102730293 2.988516
1.3291 0.56 2.55905 4.75911707312 0.66403954181 3.022469
1.36187 0.558 2.58158 4.84529964728 0.65596270124 3.055253
1.39465 0.554 2.602573 4.92854949574 0.648139812846 3.085895
1.44381 0.558 2.627416 5.0168321849 0.638097048945 3.123455
1.49298 0.556 2.650651 5.10784650354 0.628165886408 3.158393
1.54214 0.554 2.6705 5.18604722005 0.61895254087 3.188652
1.60769 0.551 2.6923 5.27225534607 0.607664030327 3.222463
1.68963 0.558 2.71626 5.35060470696 0.595774356494 3.259082
1.80435 0.556 2.737246 5.43577366101 0.579898726732 3.293166
