# 1:rho_c 2:axis_ratio 3:M 4:J 5:P0 6:M0
0.1 0.666 0.0622862 0.000472697758158 7998.68382335 0.06175425
0.214716 0.843 0.3759383 0.0732522792522 3.55538427471 0.3817994
0.231104 0.693 0.4615776 0.146222926432 2.54920568687 0.4707098
0.26388 0.757 0.588468 0.219301228294 2.37382428974 0.6044922
0.280268 0.731 0.6665066 0.292325841226 2.16321936876 0.6873538
0.296656 0.72 0.7418919 0.365699594445 2.03080648959 0.7680606
0.296656 0.604 0.7710898 0.438457178212 1.86914116261 0.7987075
0.313043 0.646 0.8420364 0.511532115917 1.8088708658 0.8754752
0.329431 0.664 0.9112133 0.585209318755 1.75874850307 0.9509206
0.345819 0.678 0.9781922 0.6578832425 1.71730756287 1.024559
0.345819 0.621 1.00239 0.730811495332 1.6455318586 1.05031
0.362207 0.647 1.066909 0.805068455247 1.61491416692 1.121932
0.378595 0.664 1.12942 0.878161502963 1.58770980239 1.191871
0.378595 0.624 1.150899 0.950217366931 1.53985901924 1.214925
0.394983 0.646 1.210804 1.02303160955 1.51784149332 1.282589
0.394983 0.604 1.231682 1.0968606703 1.47912322741 1.305092
0.411371 0.631 1.28939 1.1702240249 1.45982923247 1.370876
0.411371 0.586 1.308827 1.2423686733 1.42890888915 1.391909
0.427759 0.62 1.364234 1.31507552457 1.41181596628 1.455654
0.444147 0.637 1.41891 1.39073653702 1.3940453206 1.518943
0.444147 0.61 1.436688 1.46210158452 1.36924366004 1.538325
0.460535 0.629 1.488402 1.53425910604 1.35390162495 1.598764
0.460535 0.602 1.505926 1.60742094848 1.3319249165 1.617936
0.476923 0.621 1.555995 1.68099747978 1.31701233092 1.676917
0.476923 0.594 1.572872 1.75412163001 1.29782804713 1.695443
0.493311 0.614 1.620739 1.82657546095 1.28385347117 1.752312
0.493311 0.586 1.637255 1.90065916694 1.2666688252 1.770501
0.509699 0.607 1.683285 1.97310607196 1.25321228291 1.825617
0.509699 0.577 1.699218 2.04696220956 1.23792508108 1.843218
0.526087 0.6 1.743474 2.11950366966 1.22486695237 1.896616
0.526087 0.564 1.758626 2.19190222566 1.21138948372 1.913401
0.542475 0.592 1.801766 2.26747291042 1.19816744848 1.96577
0.558863 0.606 1.842728 2.33920788935 1.18571740622 2.015853
0.558863 0.584 1.85724 2.41210961173 1.17367907692 2.032014
0.575251 0.598 1.897071 2.48655180505 1.16111535251 2.080986
0.575251 0.573 1.910856 2.55765624886 1.15043320913 2.096375
0.591639 0.589 1.949307 2.63343123259 1.13799514952 2.143928
0.608027 0.6 1.985355 2.70328880771 1.12649975441 2.188853
0.608027 0.579 1.998952 2.77655548113 1.11661747342 2.204097
0.624415 0.59 2.034281 2.85081885669 1.10479609564 2.248285
0.624415 0.557 2.047281 2.92238810337 1.09596258927 2.26289
0.640803 0.578 2.080964 2.99557275239 1.08456815458 2.305277
0.657191 0.586 2.113935 3.07158533716 1.07294886032 2.346867
0.673579 0.592 2.145277 3.14486960603 1.06176012215 2.386613
0.673579 0.57 2.157603 3.21645702528 1.05398769123 2.400531
0.689967 0.578 2.187724 3.29015856474 1.04304605406 2.438894
0.706355 0.583 2.21666 3.36323454515 1.0322836334 2.47588
0.722742 0.586 2.2447 3.43726123378 1.02153721732 2.511801
0.722742 0.556 2.256192 3.50699705992 1.01489791752 2.524831
0.73913 0.565 2.283018 3.58050881608 1.00450572313 2.559332
0.755518 0.568 2.308814 3.65346764973 0.994298233702 2.592596
0.771906 0.568 2.33393 3.72797093756 0.984094153745 2.625008
0.788294 0.567 2.357866 3.8005550568 0.974209907309 2.655989
0.804682 0.564 2.380881 3.87265100536 0.964501364919 2.685833
0.837458 0.582 2.413821 3.9461060731 0.951048022676 2.730313
0.853846 0.577 2.435094 4.02072221958 0.941435156641 2.757884
0.870234 0.571 2.455114 4.09158420342 0.93227673086 2.783925
0.90301 0.579 2.483159 4.16506895183 0.919334245936 2.821995
0.919398 0.569 2.501777 4.23841954409 0.910324101924 2.846128
0.952174 0.572 2.526855 4.31244749791 0.897770401196 2.880178
0.98495 0.572 2.549728 4.383572339 0.88569005134 2.911281
1.01773 0.566 2.571451 4.45762545774 0.873689633822 2.94067
1.06689 0.569 2.596056 4.53037866278 0.858657771106 2.974907
1.13244 0.572 2.621724 4.60444378314 0.840786216595 3.011149
1.21438 0.57 2.646028 4.67715730757 0.820744553526 3.045786
