# 1:rho_c 2:axis_ratio 3:M 4:J 5:P0 6:M0
0.198328 1.0 0.2018562 0.0 inf 0.2032869
0.280268 0.96 0.4905975 0.063425863106 5.09019193353 0.5038362
0.280268 0.874 0.514542 0.125176711321 2.91841151091 0.5287254
0.280268 0.776 0.5443073 0.187174892386 2.25378503377 0.5596875
0.280268 0.655 0.5758067 0.249443504103 1.94880869894 0.5924661
0.313043 0.755 0.695854 0.311850564822 1.97954269507 0.7215364
0.313043 0.692 0.7226063 0.374365439163 1.81385309499 0.7496677
0.329431 0.705 0.7922731 0.437003610785 1.76999362144 0.8252179
0.329431 0.65 0.8168467 0.499109634452 1.67355378432 0.8511968
0.345819 0.674 0.8824595 0.561292631101 1.64899063837 0.9230946
0.345819 0.623 0.9054913 0.623993712175 1.58258021911 0.947569
0.394983 0.738 1.047705 0.688307592345 1.64464026346 1.107604
0.394983 0.712 1.067257 0.750246529583 1.58182241997 1.128646
0.394983 0.686 1.087101 0.812195076947 1.53048674941 1.149975
0.394983 0.66 1.106043 0.872887367178 1.48777054751 1.170365
0.394983 0.63 1.125912 0.937189910904 1.44943445515 1.191758
0.394983 0.592 1.144489 0.997999798339 1.41842967494 1.211764
0.460535 0.719 1.300996 1.06163648815 1.4622342101 1.39421
0.460535 0.702 1.317653 1.12229740713 1.42843233258 1.41238
0.460535 0.684 1.334808 1.18698499467 1.39594605653 1.431109
0.460535 0.667 1.350325 1.24811145261 1.36821439833 1.4481
0.460535 0.649 1.367559 1.31150787203 1.34407017007 1.4669
0.460535 0.631 1.383272 1.37190152973 1.3227853225 1.484066
0.460535 0.61 1.399794 1.43589395964 1.3026387052 1.502127
0.460535 0.584 1.415544 1.49742687217 1.28514097419 1.519342
0.476923 0.606 1.461042 1.56045551587 1.2738952852 1.572725
0.476923 0.581 1.476427 1.6227652522 1.25811534697 1.589596
0.542475 0.671 1.598768 1.68781491183 1.25926943827 1.738827
0.542475 0.659 1.612131 1.74715019825 1.24289511588 1.753641
0.542475 0.646 1.627296 1.81086691727 1.22753826682 1.770414
0.542475 0.633 1.640044 1.87212176039 1.21243788097 1.784589
0.542475 0.619 1.655146 1.9357269633 1.19956969254 1.801285
0.542475 0.604 1.668901 1.9979082611 1.18723621849 1.816536
0.542475 0.587 1.682075 2.05783170028 1.17621280516 1.831146
0.542475 0.557 1.695655 2.11995817747 1.16559413536 1.846207
0.558863 0.58 1.732122 2.18260051166 1.15480964255 1.890407
0.591639 0.613 1.788432 2.24574805797 1.1431929909 1.96044
0.591639 0.599 1.801647 2.30981845733 1.13286948426 1.975196
0.591639 0.583 1.814262 2.37131739997 1.12360533578 1.989278
0.591639 0.557 1.826562 2.43162615081 1.11511670794 2.003014
0.608027 0.573 1.859159 2.49580277462 1.10439645225 2.043089
0.689967 0.639 1.956928 2.56287389294 1.08437030752 2.170056
0.689967 0.629 1.968816 2.62643470511 1.0750350462 2.183455
0.689967 0.619 1.980236 2.68776940709 1.06660767772 2.196343
0.689967 0.609 1.992641 2.74663619658 1.05975440451 2.210268
0.689967 0.597 2.004474 2.81025501746 1.05195889247 2.223611
0.689967 0.584 2.015469 2.86956801358 1.04509064845 2.23601
0.689967 0.565 2.026812 2.93104751676 1.03834874321 2.248795
0.706355 0.568 2.0529 2.99538914863 1.02820152797 2.281518
0.73913 0.587 2.090886 3.05903407132 1.01482579238 2.330788
0.73913 0.571 2.101744 3.12004965143 1.00864932742 2.343077
0.755518 0.571 2.124788 3.18148179018 0.999098295013 2.372219
0.771906 0.57 2.147063 3.24279900809 0.989662062689 2.40044
0.788294 0.567 2.168999 3.306378888 0.980138439447 2.428214
0.82107 0.579 2.199893 3.36863125614 0.967145916539 2.468845
0.82107 0.555 2.21011 3.42917197359 0.961822646418 2.480448
0.853846 0.569 2.238991 3.49321639596 0.948907641702 2.518516
0.870234 0.56 2.257508 3.55447915076 0.940092780692 2.542085
0.919398 0.578 2.290242 3.61610543009 0.923980310841 2.586366
0.935786 0.568 2.307389 3.68049138398 0.915215138721 2.608084
1.00134 0.583 2.340915 3.74167838551 0.896133490882 2.654281
1.00134 0.562 2.350678 3.80387634106 0.891465762748 2.665433
1.0505 0.564 2.37506 3.86594351823 0.87645431708 2.698501
1.16522 0.581 2.410823 3.92774700157 0.848797501259 2.749322
1.19799 0.565 2.426093 3.9905839206 0.838143698811 2.769131
