# 1:rho_c 2:axis_ratio 3:M 4:J 5:P0 6:M0
0.1 0.666 0.06392877 0.00048206719608 7989.72608138 0.06349553
0.329431 0.792 0.4179073 0.0946812180096 2.5475106277 0.4258951
0.362207 0.708 0.5474893 0.189124502896 1.96192525519 0.5622821
0.394983 0.729 0.6773227 0.283556774806 1.78671858809 0.701355
0.411371 0.691 0.7622632 0.377905165108 1.63059091079 0.792959
0.427759 0.675 0.8446384 0.47235934601 1.53556959256 0.8827426
0.444147 0.672 0.9250546 0.56740864346 1.4700827923 0.9712934
0.460535 0.676 1.003325 0.662074130989 1.42219797172 1.058379
0.476923 0.683 1.079429 0.755949608031 1.38544981187 1.143937
0.476923 0.625 1.109681 0.851282661733 1.3198873848 1.176596
0.493311 0.646 1.182617 0.946169070261 1.29667528213 1.259662
0.509699 0.661 1.253613 1.04087485183 1.27648875932 1.341318
0.509699 0.619 1.279849 1.13375052687 1.23524193006 1.369938
0.526087 0.64 1.348121 1.22962422344 1.21966629283 1.449423
0.526087 0.596 1.373227 1.3237346304 1.18728288173 1.47695
0.542475 0.624 1.438587 1.41932247193 1.1746926188 1.553978
0.542475 0.576 1.461954 1.51169186419 1.14895409625 1.579722
0.558863 0.612 1.524941 1.60848871685 1.13771593778 1.6548
0.575251 0.63 1.585559 1.70674726502 1.1257737441 1.727823
0.575251 0.603 1.60736 1.79669760312 1.10625283042 1.751986
0.591639 0.623 1.664136 1.88972679176 1.09633434283 1.821281
0.591639 0.596 1.686179 1.98423148459 1.07867231032 1.845807
0.608027 0.615 1.741297 2.08161472995 1.06842501948 1.913731
0.608027 0.589 1.762345 2.17477372681 1.05337100755 1.937228
0.624415 0.609 1.813915 2.26795150062 1.04415540443 2.001563
0.624415 0.583 1.834711 2.36295083745 1.03063067836 2.024856
0.640803 0.601 1.885581 2.46468847667 1.02041108007 2.088761
0.640803 0.577 1.904063 2.55078122809 1.00966591331 2.109513
0.657191 0.596 1.951837 2.64881088458 1.00016161727 2.170223
0.657191 0.569 1.971134 2.74137744373 0.989782729514 2.191954
0.673579 0.589 2.016817 2.84051960402 0.98030099442 2.250547
0.673579 0.559 2.035006 2.92933555413 0.971404823174 2.271074
0.689967 0.583 2.077927 3.02539202207 0.9623696397 2.326729
0.706355 0.595 2.121546 3.12428108767 0.953843750516 2.383137
0.706355 0.575 2.137185 3.21371675173 0.945028475183 2.401
0.722742 0.588 2.17846 3.31010834338 0.93686932157 2.454841
0.722742 0.564 2.196432 3.40344368394 0.929298118442 2.475263
0.73913 0.579 2.233749 3.49973170079 0.920386675101 2.5248
0.755518 0.589 2.27096 3.59182379567 0.912644276072 2.574054
0.755518 0.567 2.286913 3.68997157033 0.904639355299 2.592397
0.771906 0.579 2.322076 3.77991549766 0.897163161391 2.639276
0.788294 0.585 2.357535 3.88040880592 0.888838021394 2.686456
0.788294 0.565 2.371405 3.96933027314 0.882284963204 2.702456
0.804682 0.574 2.404214 4.06245557655 0.874643263424 2.746532
0.82107 0.579 2.436418 4.15986487889 0.866691914964 2.78983
0.82107 0.552 2.452991 4.25241042502 0.861401325115 2.808817
0.837458 0.562 2.480739 4.34731529249 0.852880406588 2.847066
0.853846 0.567 2.510104 4.44235315496 0.845266145672 2.886881
0.870234 0.57 2.538262 4.53667929847 0.837709788873 2.925173
0.886622 0.571 2.565762 4.63356564936 0.830037804006 2.96257
0.90301 0.571 2.59221 4.72986491222 0.822453604955 2.998606
0.919398 0.57 2.617651 4.82575907368 0.814944273642 3.033323
0.935786 0.57 2.640966 4.91255770599 0.807995473813 3.065416
0.952174 0.566 2.665013 5.01094916234 0.80047653986 3.098197
0.968562 0.561 2.687656 5.1051529226 0.793262167899 3.129185
0.98495 0.554 2.712381 5.19616615852 0.787150458712 3.162242
1.01773 0.567 2.739085 5.29335396879 0.776683195432 3.201955
1.03411 0.556 2.758753 5.38579240948 0.769757744447 3.228837
1.06689 0.563 2.785323 5.48186257898 0.760325020245 3.267237
1.09967 0.564 2.810093 5.57884546606 0.750922198864 3.302931
1.13244 0.563 2.832411 5.66988171742 0.74188581827 3.335168
1.16522 0.554 2.853346 5.76281789539 0.732857331148 3.365238
1.21438 0.556 2.877106 5.85747127546 0.721507998785 3.400427
1.27993 0.56 2.901383 5.95266965539 0.708013923132 3.437028
1.37826 0.565 2.925802 6.04600661411 0.690490502731 3.474859
