# 1:rho_c 2:axis_ratio 3:M 4:J 5:P0 6:M0
0.1 1.0 0.08240586 0.0 inf 0.0824175
0.231104 0.782 0.4325648 0.131470364191 2.50779108844 0.4421618
0.247492 0.646 0.553799 0.262596535698 1.96718326237 0.5691319
0.280268 0.701 0.7194583 0.394052439349 1.86649428384 0.7463243
0.296656 0.682 0.8271954 0.524761793448 1.74514407282 0.8626078
0.296656 0.584 0.8764335 0.655473219748 1.61639690395 0.914702
0.313043 0.608 0.9765298 0.787125228074 1.56606407268 1.024421
0.329431 0.625 1.074285 0.919472389103 1.52606692374 1.132791
0.345819 0.64 1.169382 1.0507685378 1.49367348381 1.239426
0.345819 0.593 1.207524 1.18140568966 1.44057121038 1.280546
0.362207 0.617 1.297947 1.31161624245 1.41764655212 1.383452
0.362207 0.573 1.33303 1.44206257089 1.37930530267 1.421507
0.378595 0.602 1.420681 1.57584978283 1.35974929827 1.522634
0.378595 0.561 1.452673 1.70379218162 1.33060795262 1.557543
0.394983 0.594 1.536459 1.83550435665 1.31405330662 1.655599
0.394983 0.555 1.567444 1.96771672988 1.28949149956 1.689601
0.411371 0.589 1.646885 2.09816853773 1.27387617291 1.784017
0.411371 0.555 1.676882 2.22945251859 1.25414081955 1.817056
0.427759 0.587 1.754612 2.35966363008 1.24045948502 1.91057
0.427759 0.558 1.781949 2.49004146434 1.22275953044 1.940892
0.444147 0.586 1.855917 2.62200564748 1.20876117411 2.031208
0.444147 0.56 1.883792 2.75569414922 1.193627155 2.062212
0.460535 0.584 1.95607 2.89510282701 1.17934536103 2.151473
0.460535 0.563 1.980502 3.01639848218 1.16729704803 2.178762
0.476923 0.584 2.049861 3.15709204222 1.15339378492 2.265472
0.476923 0.564 2.072792 3.28359184244 1.14122435743 2.291286
0.493311 0.585 2.138034 3.40999940126 1.12992683965 2.373874
0.493311 0.565 2.162131 3.54824658737 1.1178028212 2.401116
0.493311 0.535 2.184923 3.66936443255 1.10913164723 2.426757
0.509699 0.566 2.246771 3.80787399539 1.09601267716 2.506237
0.509699 0.541 2.269329 3.93137030356 1.08792568095 2.53171
0.526087 0.565 2.328434 4.07330434519 1.07484617771 2.608421
0.526087 0.542 2.349982 4.19405139096 1.06765470506 2.632827
0.542475 0.563 2.405651 4.33618517218 1.05482924075 2.705816
0.542475 0.539 2.426802 4.45728273501 1.04825156815 2.72984
0.558863 0.56 2.479358 4.59834877226 1.03569460902 2.79949
0.575251 0.574 2.529137 4.72024548089 1.02540412463 2.865895
0.575251 0.556 2.549486 4.85809721146 1.0174478838 2.889278
0.591639 0.568 2.598768 4.99352786234 1.00650441014 2.955212
0.591639 0.55 2.616583 5.11791704217 0.99987194556 2.975737
0.608027 0.563 2.662724 5.2476943084 0.989382490663 3.038099
0.608027 0.541 2.683285 5.37444724811 0.984086138934 3.061674
0.624415 0.555 2.725097 5.5099698636 0.972477862918 3.119209
0.640803 0.563 2.768333 5.64845715629 0.961818523864 3.178155
0.640803 0.544 2.787111 5.76604834065 0.957450891849 3.199752
0.657191 0.553 2.825322 5.90512979131 0.945972502292 3.252976
0.673579 0.56 2.863885 6.03590840359 0.935930122533 3.306323
0.689967 0.565 2.900862 6.16592151836 0.925991034994 3.357725
0.689967 0.545 2.916468 6.28990086074 0.92090076875 3.375891
0.706355 0.551 2.95216 6.42296047547 0.911036601941 3.425647
0.722742 0.555 2.985914 6.552036043 0.901427551591 3.47297
0.73913 0.557 3.01855 6.68312580034 0.891847143239 3.518792
0.755518 0.557 3.050434 6.81878888988 0.882210139709 3.563528
0.771906 0.557 3.08018 6.94665909199 0.872980717765 3.605548
0.788294 0.555 3.109206 7.078527992 0.863726021372 3.646495
0.804682 0.551 3.137085 7.21022422328 0.854603878666 3.685865
0.82107 0.544 3.167766 7.34039629754 0.846622061054 3.728099
0.853846 0.558 3.200196 7.47359127082 0.832287140156 3.77849
0.870234 0.547 3.223887 7.60218939411 0.823687697877 3.811975
0.90301 0.555 3.25698 7.73925638856 0.810286623466 3.861948
0.935786 0.557 3.28804 7.87875902683 0.797033659272 3.908891
0.968562 0.556 3.316245 8.01365757921 0.784375337957 3.951623
1.00134 0.554 3.340649 8.13314689742 0.772656193528 3.988968
1.0505 0.551 3.369737 8.27594277711 0.757014108647 4.034317
1.11605 0.561 3.399135 8.38920645283 0.740680416516 4.080076
