# 1:rho_c 2:axis_ratio 3:M 4:J 5:P0 6:M0
0.1 1.0 0.08172135 0.0 inf 0.08172849
0.247492 0.72 0.4113327 0.133594711697 2.19960437947 0.4201681
0.280268 0.702 0.5856031 0.267260318419 1.89102483637 0.60405
0.296656 0.655 0.7014058 0.401147791983 1.70679874445 0.7275661
0.313043 0.642 0.8115722 0.534950066031 1.61011369307 0.8465343
0.329431 0.645 0.9175939 0.668010722306 1.54861092666 0.9624588
0.345819 0.653 1.021298 0.802893065766 1.50340686574 1.077234
0.345819 0.593 1.06452 0.934844060639 1.43245550404 1.123587
0.362207 0.618 1.162869 1.070311658 1.40633840996 1.234203
0.362207 0.557 1.201786 1.20165153843 1.36030097361 1.276229
0.378595 0.599 1.295688 1.3363306851 1.3418398675 1.383531
0.394983 0.623 1.387487 1.46925961068 1.32635057838 1.489717
0.394983 0.589 1.42239 1.60472490948 1.29255483366 1.527898
0.411371 0.615 1.510676 1.73644851101 1.28010888187 1.631633
0.411371 0.586 1.542026 1.87052684776 1.25232380778 1.6662
0.411371 0.544 1.574354 2.00400016728 1.23062220037 1.701734
0.427759 0.587 1.659062 2.13656496853 1.21956970377 1.803122
0.427759 0.556 1.68871 2.27023202554 1.20019088397 1.835962
0.444147 0.589 1.769893 2.40504893432 1.18891503438 1.934691
0.444147 0.563 1.798612 2.54284181217 1.17134051376 1.966708
0.460535 0.592 1.877575 2.67118395314 1.16301526316 2.063868
0.460535 0.57 1.903696 2.80875330376 1.1465495055 2.093218
0.460535 0.54 1.930605 2.93901514904 1.13426465103 2.123276
0.476923 0.576 2.003676 3.07160978374 1.12380228302 2.215066
0.476923 0.552 2.029778 3.21175819341 1.11085942362 2.244483
0.493311 0.58 2.101685 3.34028058235 1.10263258835 2.335507
0.493311 0.56 2.124884 3.47829831901 1.09013014677 2.361866
0.509699 0.583 2.19345 3.60694686716 1.08195760311 2.44971
0.509699 0.565 2.215968 3.7470282421 1.07020372058 2.475412
0.509699 0.543 2.237678 3.87538471802 1.06104023579 2.500113
0.526087 0.568 2.303148 4.01276235019 1.05212976016 2.584749
0.526087 0.549 2.322322 4.14122296867 1.0427789492 2.60676
0.542475 0.569 2.383303 4.2758554458 1.0340943691 2.686362
0.542475 0.55 2.403179 4.41372184585 1.02478231678 2.709258
0.558863 0.568 2.460543 4.54520887482 1.01629046436 2.784884
0.558863 0.55 2.479188 4.68027629587 1.0077414502 2.806444
0.575251 0.566 2.533922 4.81320768662 0.999178212034 2.879147
0.575251 0.548 2.551667 4.94745772323 0.991203006552 2.899738
0.591639 0.563 2.603633 5.07955199649 0.982711375589 2.969287
0.591639 0.544 2.620598 5.21346705383 0.97523435778 2.989041
0.608027 0.559 2.669825 5.34316501675 0.966909570411 3.055409
0.608027 0.536 2.686348 5.47951066301 0.959738794266 3.074717
0.624415 0.552 2.731265 5.61311351049 0.950444373292 3.136186
0.640803 0.562 2.776143 5.74236543603 0.942196079449 3.197359
0.640803 0.543 2.791454 5.87613303551 0.935630477987 3.21532
0.657191 0.553 2.832188 6.00971004519 0.926434908061 3.271708
0.673579 0.56 2.874287 6.14416279871 0.918066186657 3.329445
0.673579 0.539 2.888301 6.2756606608 0.912041776346 3.345959
0.689967 0.548 2.925726 6.40886223462 0.902961232759 3.398309
0.706355 0.552 2.962623 6.55077787323 0.893597520241 3.449858
0.722742 0.554 2.998311 6.69522910071 0.884211818308 3.49979
0.73913 0.559 3.032292 6.81071597412 0.876784172075 3.547348
0.755518 0.56 3.063944 6.94384946609 0.867933784142 3.592108
0.771906 0.56 3.094406 7.07708932171 0.859168872938 3.635231
0.788294 0.559 3.123688 7.21035878317 0.85049401879 3.676716
0.804682 0.553 3.150739 7.36456807447 0.840403181959 3.715497
0.82107 0.551 3.176199 7.4845793181 0.832359909491 3.751988
0.837458 0.545 3.201381 7.61121926339 0.824201249131 3.787904
0.870234 0.552 3.237971 7.76248377591 0.811225976022 3.842751
0.886622 0.542 3.259858 7.87958432719 0.803393268801 3.874276
0.919398 0.55 3.291392 8.01358871372 0.790885126685 3.922388
0.952174 0.549 3.321048 8.15405975754 0.77853315535 3.967413
0.98495 0.546 3.346639 8.27814972779 0.767045637708 4.00671
1.03411 0.544 3.376796 8.4214779719 0.751771157604 4.054103
1.09967 0.556 3.408529 8.54493011433 0.735425280184 4.103537
1.29632 0.5516779 3.439019 8.67832260239 0.70085475514 4.155828
