# 1:rho_c 2:axis_ratio 3:M 4:J 5:P0 6:M0
0.1 0.666 0.06254303 0.00047613971451 7997.26767933 0.06205794
0.362207 0.788 0.3454265 0.0638979251197 2.71666073189 0.3505954
0.411371 0.688 0.4519968 0.127789688796 2.01551587318 0.4619145
0.460535 0.728 0.5624877 0.191864820165 1.79987341593 0.5792007
0.493311 0.723 0.6469248 0.255575634905 1.65021455234 0.6698866
0.509699 0.675 0.7031684 0.320047942184 1.51680855973 0.7304227
0.526087 0.632 0.7574994 0.383751659034 1.42793986766 0.7893172
0.558863 0.684 0.8376475 0.447264988663 1.39070952584 0.8777641
0.575251 0.67 0.8889629 0.510935601321 1.33543010871 0.9344107
0.591639 0.66 0.9392603 0.575396977337 1.28998339007 0.9903023
0.608027 0.654 0.9881939 0.639577260381 1.25235450995 1.04505
0.624415 0.651 1.035603 0.703161399932 1.22048578431 1.098452
0.640803 0.65 1.081715 0.766399363581 1.19276927632 1.150739
0.657191 0.649 1.127241 0.831407983387 1.16702841819 1.202664
0.657191 0.594 1.146788 0.894363406983 1.13419585524 1.223911
0.673579 0.605 1.190384 0.958773965162 1.11428493271 1.27406
0.689967 0.613 1.232634 1.02220667243 1.09625725591 1.322981
0.706355 0.619 1.273902 1.08575096607 1.07936848879 1.371052
0.722742 0.623 1.314603 1.15090135146 1.06290822045 1.418712
0.73913 0.627 1.353942 1.21474790401 1.04778553351 1.465073
0.73913 0.587 1.370794 1.27788305081 1.02843663863 1.483658
0.755518 0.598 1.408771 1.34197932368 1.01508335897 1.528743
0.771906 0.605 1.445847 1.40619152448 1.00222743897 1.572999
0.788294 0.61 1.482108 1.47084347017 0.989725198637 1.616505
0.804682 0.614 1.51739 1.5352623562 0.97768998528 1.659065
0.804682 0.58 1.532289 1.59687787255 0.964084027837 1.675658
0.82107 0.589 1.566558 1.66205393701 0.952905488483 1.717257
0.837458 0.596 1.599367 1.72459837731 0.942537411568 1.757341
0.853846 0.6 1.631905 1.78963306628 0.931935186091 1.797225
0.870234 0.603 1.663639 1.8547014258 0.921586129706 1.836304
0.870234 0.567 1.677315 1.91625489419 0.911172549671 1.851662
0.886622 0.578 1.707713 1.98001343623 0.901683946234 1.88935
0.90301 0.583 1.737588 2.04487066158 0.892210859316 1.926522
0.919398 0.587 1.766417 2.10826823021 0.883130333737 1.96258
0.935786 0.589 1.794917 2.17359162611 0.873939485221 1.998321
0.952174 0.591 1.822295 2.23695662088 0.865181526775 2.032838
0.968562 0.592 1.849133 2.3011550252 0.856456542782 2.066778
0.98495 0.593 1.874981 2.3637113916 0.848090268155 2.099623
1.00134 0.593 1.900468 2.42767794709 0.839688092026 2.132078
1.01773 0.592 1.925611 2.49327870535 0.831230993534 2.164154
1.03411 0.591 1.94984 2.55745052715 0.823084097664 2.195195
1.0505 0.59 1.973208 2.62023442939 0.815222360123 2.225254
1.06689 0.588 1.996285 2.68461081366 0.807317022384 2.254975
1.08328 0.586 2.018517 2.74741600001 0.79970814087 2.283717
1.09967 0.583 2.04039 2.81136773295 0.792104216709 2.312031
1.11605 0.579 2.061795 2.87577676221 0.784587292431 2.339784
1.13244 0.574 2.082598 2.93964032977 0.777254191139 2.366819
1.14883 0.567 2.102778 3.00283089694 0.770105693329 2.393109
1.18161 0.582 2.131151 3.06812388863 0.76127958894 2.431827
1.19799 0.576 2.149799 3.13007675136 0.754416811121 2.456234
1.21438 0.566 2.168274 3.19347979917 0.747558704136 2.480402
1.24716 0.577 2.193533 3.25788130606 0.738993179091 2.515154
1.26355 0.564 2.211009 3.32206842052 0.732285240311 2.538023
1.29632 0.572 2.234329 3.38656142937 0.723867523728 2.570212
1.3291 0.576 2.256217 3.44922209315 0.715667054485 2.600522
1.36187 0.577 2.277212 3.51308503411 0.707465847981 2.629562
1.39465 0.576 2.297208 3.57695081904 0.699376124048 2.657203
1.42742 0.572 2.316457 3.64229532114 0.69130787755 2.683728
1.4602 0.565 2.334454 3.7051280889 0.683526932721 2.708572
1.50936 0.57 2.355255 3.76862288882 0.674007475457 2.738266
1.55853 0.569 2.374561 3.83224156603 0.664637374175 2.765724
1.62408 0.571 2.392439 3.89776104654 0.652820245452 2.792618
1.68963 0.568 2.410765 3.96091709628 0.642143560504 2.819121
1.78796 0.572 2.430735 4.02442851588 0.628440825303 2.848822
1.90268 0.564 2.448578 4.08844112173 0.613614486771 2.87535
