# 1:rho_c 2:axis_ratio 3:M 4:J 5:P0 6:M0
0.1 1.0 0.0817717 0.0 inf 0.08177937
0.329431 0.626 0.2927629 0.06921888083 1.94293490701 0.29762
0.362207 0.671 0.4163918 0.138668289022 1.67404381618 0.4269239
0.378595 0.618 0.4993421 0.207684053042 1.51905576827 0.5145537
0.394983 0.627 0.5802295 0.277000087497 1.4442752844 0.6009119
0.411371 0.654 0.6616135 0.346190098279 1.4048090109 0.6888738
0.427759 0.679 0.7438067 0.415724462904 1.38386977145 0.7787908
0.427759 0.621 0.7741672 0.485108762553 1.3099799698 0.8110879
0.444147 0.659 0.8533216 0.554242079557 1.30587915252 0.8990242
0.444147 0.615 0.8807121 0.62354793717 1.2553513306 0.9283751
0.460535 0.653 0.9565751 0.69233859692 1.25625465752 1.013938
0.460535 0.619 0.9818247 0.762284043056 1.21719342173 1.041191
0.460535 0.579 1.006568 0.830967178611 1.18689936497 1.067871
0.476923 0.625 1.07823 0.901154419903 1.18831130061 1.150044
0.476923 0.597 1.100512 0.969035764775 1.16254163872 1.174265
0.476923 0.558 1.123528 1.0386468047 1.14088928038 1.199242
0.493311 0.608 1.190732 1.10794453423 1.1422841386 1.277446
0.493311 0.583 1.211241 1.17751779293 1.1219400772 1.299929
0.493311 0.546 1.232341 1.24606014267 1.10573400361 1.322958
0.509699 0.592 1.292703 1.31803342466 1.10349414412 1.39412
0.509699 0.569 1.312569 1.38587106233 1.08912052293 1.415916
0.526087 0.594 1.366031 1.45637963604 1.08572373408 1.479329
0.526087 0.575 1.383372 1.52334734886 1.07179945731 1.498551
0.526087 0.549 1.401946 1.59333344864 1.05932237859 1.519089
0.542475 0.576 1.451224 1.66456276554 1.05483685551 1.578071
0.542475 0.554 1.469338 1.73565665225 1.04339732424 1.598179
0.558863 0.576 1.514532 1.80066501432 1.03980763831 1.65264
0.558863 0.556 1.531497 1.87338469959 1.02849825304 1.671611
0.575251 0.573 1.574688 1.94196360459 1.02380830911 1.723886
0.575251 0.555 1.590167 2.01129744217 1.01390594935 1.741263
0.591639 0.57 1.630284 2.07739820167 1.00913532152 1.790132
0.591639 0.551 1.646362 2.15197733795 0.999381478122 1.808237
0.608027 0.564 1.68375 2.22060414485 0.993343279729 1.854154
0.608027 0.546 1.698994 2.2890835386 0.985721238972 1.871289
0.624415 0.559 1.733703 2.35437262398 0.979848176696 1.914213
0.624415 0.539 1.748816 2.4243021095 0.972672216527 1.931245
0.640803 0.552 1.782754 2.49255997873 0.966365877383 1.973373
0.657191 0.56 1.817519 2.56664168734 0.959313264207 2.016632
0.657191 0.544 1.831122 2.63238806487 0.953198948915 2.03203
0.673579 0.552 1.864511 2.70709522195 0.946046282655 2.073758
0.673579 0.532 1.878803 2.76981531109 0.94143840101 2.089837
0.689967 0.544 1.907981 2.83864077418 0.933978081844 2.126941
0.706355 0.549 1.939173 2.91487908101 0.926583415808 2.166179
0.706355 0.524 1.952865 2.97622618908 0.92258370841 2.181627
0.722742 0.537 1.981981 3.04796625821 0.915561212005 2.218514
0.73913 0.543 2.007549 3.11560077477 0.908008215213 2.251458
0.755518 0.546 2.034741 3.18683654634 0.900931088645 2.286089
0.771906 0.547 2.061677 3.26128358157 0.893597520241 2.320401
0.788294 0.55 2.085542 3.32317345669 0.887116618182 2.351165
0.804682 0.549 2.111185 3.39889291125 0.879685247342 2.383938
0.82107 0.55 2.134434 3.46382539416 0.872927231606 2.413999
0.837458 0.549 2.158576 3.53603869707 0.865643297032 2.445137
0.853846 0.548 2.181515 3.60503113587 0.858591124971 2.474863
0.870234 0.547 2.203299 3.67082107651 0.851771037355 2.503223
0.886622 0.545 2.22723 3.7391560757 0.845653171722 2.533891
0.90301 0.541 2.248358 3.80750556981 0.838798598579 2.561403
0.919398 0.532 2.268959 3.87606915218 0.832005113864 2.58825
0.952174 0.545 2.297435 3.94611888578 0.822188961163 2.627067
0.968562 0.533 2.316462 4.01428941352 0.815571876097 2.651893
1.00134 0.541 2.342184 4.08356266494 0.80600726542 2.687065
1.03411 0.542 2.366387 4.15327218305 0.796586014829 2.720137
1.06689 0.537 2.388671 4.22179220254 0.787543727841 2.75054
1.11605 0.541 2.41435 4.2922724841 0.776050633517 2.786422
1.18161 0.546 2.441086 4.36162940184 0.762451702867 2.824461
1.26355 0.546 2.466999 4.42959378899 0.747125181714 2.861739
1.49298 0.5436125 2.503198 4.49858713912 0.713568486436 2.916834
