# 1:rho_c 2:axis_ratio 3:M 4:J 5:P0 6:M0
0.1 1.0 0.0817717 0.0 inf 0.08177937
0.476923 0.715 0.2654286 0.0504647446394 1.84882438693 0.2696837
0.558863 0.71 0.375746 0.10105378306 1.51972483396 0.3851841
0.608027 0.68 0.4541595 0.151630437319 1.35280091444 0.4683226
0.640803 0.635 0.5146551 0.201717716508 1.24492850881 0.5329296
0.673579 0.609 0.5732247 0.252167411211 1.1760087271 0.5960186
0.706355 0.607 0.6296218 0.302727146303 1.12580964921 0.6573484
0.73913 0.615 0.6843544 0.35345588069 1.08675093835 0.717407
0.771906 0.625 0.7373288 0.403770885924 1.05533648204 0.7760685
0.788294 0.591 0.77442 0.454053229097 1.02118573788 0.8169419
0.82107 0.612 0.824938 0.504863053123 0.998429431996 0.8737024
0.837458 0.588 0.8598798 0.555189851647 0.972956133435 0.9126977
0.870234 0.61 0.9078869 0.605651800906 0.955201606841 0.9674247
0.886622 0.594 0.941095 0.656353000498 0.934586150621 1.00494
0.90301 0.576 0.9733529 0.706526383064 0.916391252839 1.041561
0.935786 0.601 1.018375 0.757349117007 0.902415121863 1.093885
0.952174 0.59 1.049145 0.807848955566 0.88669384678 1.129229
0.968562 0.579 1.079038 0.857666406645 0.872440093845 1.163732
0.98495 0.564 1.10852 0.908076290767 0.85903261359 1.197899
1.01773 0.591 1.150044 0.959461467447 0.847569505554 1.247303
1.03411 0.583 1.178093 1.00977085558 0.835528405556 1.280177
1.0505 0.575 1.205405 1.0594476984 0.824332197413 1.312333
1.06689 0.565 1.232342 1.10962650598 0.813613359386 1.344167
1.09967 0.587 1.270272 1.16036020198 0.803760164833 1.390338
1.11605 0.58 1.296213 1.21144138595 0.793651042974 1.421293
1.13244 0.573 1.321419 1.26160288152 0.784186399364 1.451508
1.14883 0.565 1.346063 1.31144007943 0.775174962202 1.481168
1.16522 0.551 1.370337 1.36161319527 0.766461112874 1.510482
1.19799 0.577 1.404356 1.41211418635 0.757722354403 1.552968
1.21438 0.57 1.427595 1.46255924209 0.749453797194 1.581286
1.23077 0.561 1.450466 1.51318349407 0.741457711155 1.609244
1.26355 0.577 1.482354 1.56433889575 0.733078959502 1.649656
1.27993 0.57 1.504147 1.61483813588 0.725510449869 1.676522
1.29632 0.562 1.525271 1.66418761915 0.718332733751 1.702675
1.3291 0.575 1.554914 1.71515406104 0.710360718423 1.74078
1.34548 0.567 1.575509 1.76629033317 0.703299703306 1.766424
1.36187 0.557 1.595348 1.815699481 0.696650621576 1.791239
1.39465 0.57 1.622758 1.86588346919 0.689105566387 1.826963
1.41104 0.56 1.642001 1.91659208317 0.682599824393 1.85116
1.44381 0.569 1.668423 1.96854346435 0.675079389829 1.885822
1.4602 0.559 1.686464 2.01767442316 0.669022103078 1.908687
1.49298 0.567 1.711331 2.06871757173 0.66179043498 1.941601
1.50936 0.554 1.728665 2.11820353865 0.655956880295 1.963676
1.54214 0.562 1.752241 2.1691514912 0.648926891363 1.99511
1.57492 0.566 1.775199 2.22074204019 0.641934146546 2.025814
1.5913 0.548 1.791175 2.26945497056 0.636512805624 2.046325
1.62408 0.555 1.812816 2.32037590727 0.629768446613 2.075466
1.65686 0.558 1.833549 2.37023062724 0.623203896341 2.103512
1.68963 0.558 1.853847 2.42125063286 0.616638775668 2.131003
1.72241 0.557 1.87334 2.47136212957 0.610239573125 2.157505
1.75518 0.553 1.892254 2.52175412272 0.603908547239 2.183268
1.80435 0.565 1.914927 2.57339665415 0.596296230545 2.215191
1.83712 0.56 1.932384 2.62331313078 0.590189902272 2.239073
1.88629 0.565 1.950638 2.6734873495 0.582239513389 2.265643
1.91906 0.557 1.969171 2.72356937913 0.57695722187 2.290463
1.96823 0.559 1.988151 2.77430045768 0.569817116789 2.317437
2.01739 0.558 2.006094 2.82430255389 0.562839978929 2.342985
2.08294 0.564 2.023405 2.87502616033 0.554072289811 2.369123
2.13211 0.558 2.04192 2.92480146734 0.547988845811 2.39472
2.19766 0.556 2.059464 2.9754526792 0.540158226289 2.420333
2.2796 0.559 2.075028 3.02619935183 0.530700880127 2.444512
2.37793 0.565 2.093246 3.07658614132 0.521008495031 2.472108
2.47625 0.562 2.109468 3.12678156356 0.511592551079 2.496581
2.60736 0.56 2.126093 3.17777342695 0.500348418504 2.522243
2.80401 0.563 2.142845 3.22839060514 0.485709395195 2.549005
