# 1:rho_c 2:axis_ratio 3:M 4:J 5:P0 6:M0
0.247492 1.0 0.1399331 0.0 inf 0.1409479
0.378595 0.784 0.3493605 0.0627059963173 2.58678113018 0.3575086
0.427759 0.725 0.4621693 0.125291110274 1.98341885085 0.4765726
0.460535 0.675 0.5472001 0.187751774334 1.72434351246 0.5673319
0.493311 0.681 0.629584 0.25032920989 1.59251989062 0.6562988
0.526087 0.699 0.7095953 0.313048544239 1.51013350868 0.7437165
0.542475 0.662 0.7618821 0.375514103238 1.41865770156 0.800896
0.558863 0.626 0.8126923 0.438244412462 1.3511561059 0.8568146
0.591639 0.675 0.8866334 0.501532937026 1.32080104803 0.9397218
0.608027 0.662 0.9339642 0.563748512343 1.27524829003 0.9926977
0.624415 0.652 0.9801759 0.626399457535 1.2367912615 1.044735
0.640803 0.645 1.025095 0.688807203024 1.20401948357 1.09563
0.657191 0.64 1.06895 0.751464527997 1.17517663736 1.145615
0.673579 0.637 1.111562 0.813680228029 1.14973725119 1.194478
0.689967 0.635 1.153216 0.87618524962 1.12660599954 1.242518
0.706355 0.633 1.19425 0.940025790171 1.10484349723 1.290091
0.722742 0.633 1.233624 1.00162149669 1.08576200812 1.336037
0.73913 0.633 1.272213 1.06375673688 1.06776937392 1.381307
0.73913 0.584 1.2899 1.12640656534 1.04487844349 1.400884
0.755518 0.592 1.327295 1.18918256569 1.02941728429 1.44506
0.771906 0.597 1.363794 1.25189149457 1.01474564715 1.488406
0.788294 0.601 1.399295 1.31411284025 1.00088190773 1.530797
0.804682 0.603 1.434421 1.37810178311 0.987126308721 1.572914
0.82107 0.606 1.468042 1.43940026182 0.97461081201 1.613485
0.837458 0.607 1.501575 1.50355960911 0.961860192728 1.654083
0.853846 0.609 1.533584 1.56470662828 0.950224309717 1.693084
0.870234 0.61 1.565164 1.62722277363 0.938660545238 1.731711
0.870234 0.571 1.579785 1.68939922669 0.926161652552 1.748185
0.886622 0.577 1.610522 1.75269700803 0.915386475637 1.785987
0.90301 0.581 1.640299 1.81492509665 0.90509401899 1.822792
0.919398 0.583 1.669532 1.87785771318 0.894927055153 1.859058
0.935786 0.584 1.698145 1.9411048923 0.884966645668 1.894694
0.952174 0.585 1.725828 2.0031562204 0.87542001048 1.929334
0.968562 0.585 1.753011 2.06592076032 0.865974730654 1.96346
0.98495 0.585 1.779345 2.12767568739 0.856880763325 1.996669
1.00134 0.584 1.805272 2.19043465558 0.847840789719 2.029454
1.01773 0.582 1.830791 2.25411041852 0.838870495083 2.061807
1.03411 0.58 1.855456 2.31659529666 0.830234785426 2.093209
1.0505 0.578 1.87932 2.37789285901 0.821912445711 2.123718
1.06689 0.574 1.902985 2.4410341802 0.813526766569 2.15401
1.08328 0.569 1.925951 2.50329225331 0.805420308194 2.183514
1.11605 0.59 1.958841 2.56708508485 0.796090050825 2.227535
1.13244 0.586 1.980372 2.62915598401 0.788214157 2.255379
1.14883 0.581 2.00147 2.69160910744 0.780451176062 2.282716
1.16522 0.575 2.021926 2.75305760644 0.772937065266 2.3093
1.18161 0.564 2.042163 2.81584411888 0.765440265281 2.335616
1.21438 0.581 2.070368 2.87978143853 0.756406884 2.37402
1.23077 0.573 2.089092 2.94080993512 0.749299266307 2.398516
1.26355 0.582 2.115466 3.00567257606 0.740325220613 2.434609
1.27993 0.573 2.132999 3.06604983105 0.733500268757 2.457623
1.31271 0.58 2.157102 3.12855420302 0.72488653803 2.490856
1.3291 0.565 2.174176 3.19199418435 0.718046070294 2.513223
1.36187 0.571 2.196681 3.25502682638 0.709577901934 2.544346
1.39465 0.574 2.217911 3.31626833821 0.701340724245 2.573809
1.42742 0.573 2.238708 3.38054789983 0.692979475396 2.602577
1.4602 0.571 2.258207 3.44239171442 0.684899592864 2.629642
1.49298 0.565 2.276928 3.50449184658 0.67691864979 2.655607
1.54214 0.574 2.298733 3.56694439715 0.66720596307 2.686901
1.5913 0.575 2.316519 3.63058846723 0.656827676225 2.713183
1.64047 0.574 2.33547 3.69312022905 0.647427482345 2.740277
1.68963 0.571 2.355833 3.75417872563 0.639024166481 2.768482
1.75518 0.568 2.372022 3.81844952755 0.627406281984 2.792972
1.83712 0.57 2.391091 3.88145107238 0.615206029407 2.821126
1.93545 0.57 2.409049 3.94291937312 0.601852661769 2.847889
2.08294 0.572 2.427197 4.0050925001 0.584421465594 2.8755
