model,EOS,Gth,Remnant,Mesc,Tesc,vr_esc,vz_esc,Mtot,q,M2,M1,mOmega0,f0,Mchirp,Mej,v,lam22,R1,R2,k2T,Lambda,k22,lam21,k21,Mg2,Mg1,C2,C1,Mb1,Mb2
APR4_130160_1.8,APR4,1.8,BH,2.0,1.5,0.24,0.08,2.9000000000000004,1.2300123001230012,1.3,1.6,0.026000000000000002,579,1.2541757561754059,0.002,0.25298221281347033,406.05280779037383,7.510520382639198,7.499606292393991,40.24406982103691,213.8479760344389,0.0952918911528655,105.25027307939327,0.06926524954399485,1.3,1.6,0.17334310516612403,0.21303502346722,1.8228617676498198,1.4398290624485153
APR4_140150_1.8,APR4,1.8,BH,0.6,0.9,0.35,0.12,2.9,1.0718113612004287,1.4,1.5,0.026000000000000002,579,1.2613975329458567,0.0006,0.37,256.8123024218556,7.512388735160021,7.510504607600771,38.64696258161945,206.1382457369769,0.08669523910542194,164.221698520472,0.07809378622653317,1.4,1.5,0.18640834157378697,0.1996726028070803,1.6924326480421956,1.5647987517807758
APR4_145145_1.8,APR4,1.8,BH,0.1,0.05,0.29,0.13,2.9,1.0,1.45,1.45,0.026000000000000002,579,1.26229831677938,0.0001,0.3178049716414141,205.18732397562238,7.5117496334284235,7.5117496334284235,38.45429426298617,205.18732397562238,0.08243829606846473,205.18732397562238,0.08243829606846473,1.45,1.45,0.19302734396611343,0.19302734396611343,1.628278956734094,1.628278956734094
APR4_130150_1.8,APR4,1.8,HMNS-BH,12.0,8.5,0.23,0.12,2.8,1.1534025374855825,1.3,1.5,0.026000000000000002,600,1.2150360414642816,0.012,0.25942243542145693,406.05280779037383,7.512388735160021,7.499606292393991,49.13085746039289,261.7327948674431,0.0952918911528655,164.221698520472,0.07809378622653317,1.3,1.5,0.17334310516612403,0.1996726028070803,1.6924326480421956,1.4398290624485153
APR4_140140_1.8,APR4,1.8,HMNS-BH,14.0,10.0,0.22,0.15,2.8,1.0,1.3,1.5,0.026000000000000002,600,1.2150360414642816,0.014,0.26627053911388693,406.05280779037383,7.512388735160021,7.499606292393991,49.13085746039289,261.7327948674431,0.0952918911528655,164.221698520472,0.07809378622653317,1.3,1.5,0.17334310516612403,0.1996726028070803,1.6924326480421956,1.4398290624485153
APR4_120150_1.6,APR4,1.6,HMNS,9.0,5.0,0.2,0.1,2.7,1.25,1.2,1.5,0.026000000000000002,622,1.166516134976123,0.009,0.223606797749979,651.8463062259921,7.512388735160021,7.472274219830373,63.18854565858268,335.9857566990081,0.10436532382763473,164.221698520472,0.07809378622653317,1.2,1.5,0.16059706233598295,0.1996726028070803,1.6924326480421956,1.3173264889894647
APR4_120150_1.8,APR4,1.8,HMNS,8.0,5.5,0.23,0.11,2.7,1.25,1.2,1.5,0.026000000000000002,622,1.166516134976123,0.008,0.25495097567963926,651.8463062259921,7.512388735160021,7.472274219830373,63.18854565858268,335.9857566990081,0.10436532382763473,164.221698520472,0.07809378622653317,1.2,1.5,0.16059706233598295,0.1996726028070803,1.6924326480421956,1.3173264889894647
APR4_120150_2.0,APR4,2.0,HMNS,7.5,5.5,0.24,0.12,2.7,1.25,1.2,1.5,0.026000000000000002,622,1.166516134976123,0.0075,0.2683281572999748,651.8463062259921,7.512388735160021,7.472274219830373,63.18854565858268,335.9857566990081,0.10436532382763473,164.221698520472,0.07809378622653317,1.2,1.5,0.16059706233598295,0.1996726028070803,1.6924326480421956,1.3173264889894647
APR4_125145_1.8,APR4,1.8,HMNS,7.0,4.5,0.22,0.11,2.7,1.160092807424594,1.25,1.45,0.026000000000000002,622,1.1713698899862308,0.007,0.24596747752497686,513.0789811103349,7.5117496334284235,7.482659515789883,61.66700521088437,328.3642424450534,0.10012034262104282,205.18732397562238,0.08243829606846473,1.25,1.45,0.1670521329919305,0.19302734396611343,1.628278956734094,1.378289859753259
APR4_130140_1.8,APR4,1.8,HMNS,8.0,5.0,0.19,0.12,2.7,1.0764262648008611,1.3,1.4,0.026000000000000002,622,1.1742757165047846,0.008,0.22472205054244232,406.05280779037383,7.510504607600771,7.499606292393991,60.746420900074256,323.907887700536,0.0952918911528655,256.8123024218556,0.08669523910542194,1.3,1.4,0.17334310516612403,0.18640834157378697,1.5647987517807758,1.4398290624485153
APR4_135135_1.6,APR4,1.6,HMNS,11.0,6.0,0.19,0.13,2.7,1.0,1.35,1.35,0.026000000000000002,622,1.1752432604497676,0.011,0.23021728866442678,322.47322887459785,7.501858374919615,7.501858374919615,60.44358769759325,322.47322887459796,0.09125705425080384,322.47322887459785,0.09125705425080384,1.35,1.35,0.17995554983922832,0.17995554983922832,1.5020123800643088,1.5020123800643088
APR4_135135_1.8,APR4,1.8,HMNS,7.0,4.0,0.19,0.12,2.7,1.0,1.35,1.35,0.026000000000000002,622,1.1752432604497676,0.007,0.22472205054244232,322.47322887459785,7.501858374919615,7.501858374919615,60.44358769759325,322.47322887459796,0.09125705425080384,322.47322887459785,0.09125705425080384,1.35,1.35,0.17995554983922832,0.17995554983922832,1.5020123800643088,1.5020123800643088
APR4_135135_2.0,APR4,2.0,HMNS,5.0,3.0,0.19,0.13,2.7,1.0,1.35,1.35,0.026000000000000002,622,1.1752432604497676,0.005,0.23021728866442678,322.47322887459785,7.501858374919615,7.501858374919615,60.44358769759325,322.47322887459796,0.09125705425080384,322.47322887459785,0.09125705425080384,1.35,1.35,0.17995554983922832,0.17995554983922832,1.5020123800643088,1.5020123800643088
APR4_120140_1.8,APR4,1.8,HMNS,3.0,2.0,0.21,0.12,2.5999999999999996,1.1668611435239207,1.2,1.4,0.026000000000000002,646,1.1276930384897605,0.003,0.24186773244895649,651.8463062259921,7.510504607600771,7.472274219830373,77.63018045052922,413.5013550170306,0.10436532382763473,256.8123024218556,0.08669523910542194,1.2,1.4,0.16059706233598295,0.18640834157378697,1.5647987517807758,1.3173264889894647
APR4_125135_1.8,APR4,1.8,HMNS,5.0,3.0,0.18,0.1,2.6,1.0799136069114472,1.25,1.35,0.026000000000000002,646,1.1307109534765831,0.005,0.20591260281974,513.0789811103349,7.501858374919615,7.482659515789883,76.4918859072651,407.83570215169993,0.10012034262104282,322.47322887459785,0.09125705425080384,1.25,1.35,0.1670521329919305,0.17995554983922832,1.5020123800643088,1.378289859753259
APR4_130130_1.8,APR4,1.8,HMNS,2.0,1.0,0.19,0.1,2.6,1.0,1.3,1.3,0.026000000000000002,646,1.1317157322849616,0.002,0.21470910553583888,406.05280779037383,7.499606292393991,7.499606292393991,76.10848885383659,406.0528077903739,0.0952918911528655,406.05280779037383,0.0952918911528655,1.3,1.3,0.17334310516612403,0.17334310516612403,1.4398290624485153,1.4398290624485153
ALF2_140140_1.8,ALF2,1.8,HMNS-BH,2.5,1.5,0.21,0.13,2.8,1.0,1.4,1.4,0.026000000000000002,600,1.2187707886145736,0.0025,0.2469817807045694,591.4815600404315,8.381620566037736,8.381620566037736,110.75199080613157,591.4815600404315,0.11520908625336929,591.4815600404315,0.11520908625336929,1.4,1.4,0.1670355997304582,0.1670355997304582,1.5487500842318058,1.5487500842318058
ALF2_120150_1.8,ALF2,1.8,HMNS,5.5,3.0,0.21,0.1,2.7,1.25,1.2,1.5,0.026000000000000002,622,1.166516134976123,0.0055,0.23259406699226012,1413.2449058178615,8.401180884181525,8.28184549407604,140.32416732442948,747.1429408065288,0.13509069088594167,383.1337604928002,0.10418673292093361,1.2,1.5,0.14489302104332447,0.17855045277330145,1.6723435303841556,1.307658913633952
ALF2_125145_1.8,ALF2,1.8,HMNS,3.0,1.5,0.2,0.1,2.5,1.160092807424594,1.25,1.25,0.026000000000000002,622,1.0881882041201552,0.003,0.223606797749979,1134.084417246175,8.314577651918956,8.314577651918956,212.23279034806865,1134.084417246175,0.13040014777656656,1134.084417246175,0.13040014777656656,1.25,1.25,0.1503401996015487,0.1503401996015487,1.3672088278389656,1.3672088278389656
ALF2_130140_1.8,ALF2,1.8,HMNS-BH,1.5,0.8,0.16,0.11,2.7,1.0764262648008611,1.3,1.4,0.026000000000000002,622,1.1742757165047846,0.0015,0.194164878389476,911.8522119586479,8.381620566037736,8.343546995968547,137.79288930252227,735.6578855752707,0.12541193745659204,591.4815600404315,0.11520908625336929,1.3,1.4,0.15580909192511874,0.1670355997304582,1.5487500842318058,1.4272267356404422
