model,EOS,Gth,Remnant,Mesc,Tesc,vr_esc,vz_esc,Mtot,q,M2,M1,mOmega0,f0,Mchirp,Mej,v,lam22,R1,R2,k2T,Lambda,k22,lam21,k21,Mg2,Mg1,C2,C1,Mb1,Mb2
ALF2_135135_1.8,ALF2,1.8,HMNS-BH,2.5,1.5,0.22,0.12,2.7,1.0,1.35,1.35,0.026000000000000002,622,1.1752432604497676,0.0025,0.25059928172283336,734.2312200762389,8.364551936467599,8.364551936467599,137.48002208896276,734.231220076239,0.12044594536213468,734.2312200762389,0.12044594536213468,1.35,1.35,0.1613959085133418,0.1613959085133418,1.4877406950444727,1.4877406950444727
ALF2_130130_1.8,ALF2,1.8,HMNS,2.0,1.0,0.19,0.1,2.6,1.0,1.3,1.3,0.026000000000000002,646,1.1317157322849616,0.002,0.21470910553583888,911.8522119586479,8.343546995968547,8.343546995968547,170.72019885243282,911.8522119586482,0.12541193745659204,911.8522119586479,0.12541193745659204,1.3,1.3,0.15580909192511874,0.15580909192511874,1.4272267356404422,1.4272267356404422
H4_130150_1.8,H4,1.8,HMNS-BH,3.0,2.0,0.19,0.1,2.8,1.1534025374855825,1.3,1.5,0.025,577,1.2150360414642816,0.003,0.21470910553583888,1393.329555386024,9.153682611468517,9.171100915471468,168.88170728322973,901.486271907251,0.11937204574305767,568.964191120004,0.10047340773415733,1.3,1.5,0.14174663106499846,0.16387270857605998,1.6494374537510765,1.4094550848336893
H4_140140_1.8,H4,1.8,HMNS-BH,0.3,0.2,0.17,0.13,2.8,1.0,1.4,1.4,0.025,577,1.2187707886145736,0.0003,0.21400934559032697,889.0169430511291,9.171762175086233,9.171762175086233,166.45869531270083,889.016943051129,0.11035459869012794,889.0169430511291,0.11035459869012794,1.4,1.4,0.15264366764179363,0.15264366764179363,1.5284847829105357,1.5284847829105357
H4_120150_1.6,H4,1.6,HMNS,4.5,2.0,0.19,0.1,2.7,1.25,1.2,1.5,0.025,598,1.166516134976123,0.0045,0.21470910553583888,2204.523101686575,9.153682611468517,9.152542926659924,215.05729421020777,1145.663282595976,0.12784528401169942,568.964191120004,0.10047340773415733,1.2,1.5,0.13110965694448243,0.16387270857605998,1.6494374537510765,1.2921936568898122
H4_120150_1.8,H4,1.8,HMNS,3.5,2.0,0.21,0.09,2.7,1.25,1.2,1.5,0.025,598,1.166516134976123,0.0035,0.22847319317591724,2204.523101686575,9.153682611468517,9.152542926659924,215.05729421020777,1145.663282595976,0.12784528401169942,568.964191120004,0.10047340773415733,1.2,1.5,0.13110965694448243,0.16387270857605998,1.6494374537510765,1.2921936568898122
H4_120150_2.0,H4,2.0,HMNS,4.0,2.0,0.21,0.09,2.7,1.25,1.2,1.5,0.025,598,1.166516134976123,0.004,0.22847319317591724,2204.523101686575,9.153682611468517,9.152542926659924,215.05729421020777,1145.663282595976,0.12784528401169942,568.964191120004,0.10047340773415733,1.2,1.5,0.13110965694448243,0.16387270857605998,1.6494374537510765,1.2921936568898122
H4_125145_1.8,H4,1.8,HMNS,2.0,1.5,0.19,0.1,2.5,1.160092807424594,1.25,1.25,0.025,598,1.0881882041201552,0.002,0.21470910553583888,1749.1393577256054,9.162065058712459,9.162065058712459,327.28849458768565,1749.1393577256054,0.12376647468737755,1749.1393577256054,0.12376647468737755,1.25,1.25,0.1364320670490577,0.1364320670490577,1.350610262567245,1.350610262567245
H4_130140_1.8,H4,1.8,HMNS,0.7,0.4,0.18,0.1,2.7,1.0764262648008611,1.3,1.4,0.025,598,1.1742757165047846,0.0007,0.20591260281974,1393.329555386024,9.171762175086233,9.171100915471468,208.9621366143803,1115.821895511961,0.11937204574305767,889.0169430511291,0.11035459869012794,1.3,1.4,0.14174663106499846,0.15264366764179363,1.5284847829105357,1.4094550848336893
H4_135135_1.6,H4,1.6,HMNS-BH,0.7,0.4,0.21,0.11,2.7,1.0,1.35,1.35,0.025,598,1.1752432604497676,0.0007,0.23706539182259395,1112.330505919817,9.172434688291009,9.172434688291009,208.23921332895145,1112.3305059198171,0.11503926108434719,1112.330505919817,0.11503926108434719,1.35,1.35,0.1471765832448763,0.1471765832448763,1.468743177716992,1.468743177716992
H4_135135_1.8,H4,1.8,HMNS-BH,0.5,0.2,0.19,0.11,2.7,1.0,1.35,1.35,0.025,598,1.1752432604497676,0.0005,0.21954498400100148,1112.330505919817,9.172434688291009,9.172434688291009,208.23921332895145,1112.3305059198171,0.11503926108434719,1112.330505919817,0.11503926108434719,1.35,1.35,0.1471765832448763,0.1471765832448763,1.468743177716992,1.468743177716992
H4_135135_2.0,H4,2.0,HMNS,0.4,0.2,0.2,0.1,2.7,1.0,1.35,1.35,0.025,598,1.1752432604497676,0.0004,0.223606797749979,1112.330505919817,9.172434688291009,9.172434688291009,208.23921332895145,1112.3305059198171,0.11503926108434719,1112.330505919817,0.11503926108434719,1.35,1.35,0.1471765832448763,0.1471765832448763,1.468743177716992,1.468743177716992
H4_120140_1.8,H4,1.8,HMNS,2.5,1.0,0.19,0.1,2.6,1.0,1.3,1.3,0.025,621,1.1317157322849616,0.0025,0.21470910553583888,1393.329555386024,9.171100915471468,9.171100915471468,260.7647727454011,1393.3295553860241,0.11937204574305767,1393.329555386024,0.11937204574305767,1.3,1.3,0.14174663106499846,0.14174663106499846,1.4094550848336893,1.4094550848336893
H4_125135_1.8,H4,1.8,HMNS,0.6,0.3,0.18,0.1,2.6,1.0,1.3,1.3,0.025,621,1.1317157322849616,0.0006,0.20591260281974,1393.329555386024,9.171100915471468,9.171100915471468,260.7647727454011,1393.3295553860241,0.11937204574305767,1393.329555386024,0.11937204574305767,1.3,1.3,0.14174663106499846,0.14174663106499846,1.4094550848336893,1.4094550848336893
H4_130130_1.8,H4,1.8,HMNS,0.3,0.1,0.16,0.1,2.6,1.0,1.3,1.3,0.025,621,1.1317157322849616,0.0003,0.18867962264113208,1393.329555386024,9.171100915471468,9.171100915471468,260.7647727454011,1393.3295553860241,0.11937204574305767,1393.329555386024,0.11937204574305767,1.3,1.3,0.14174663106499846,0.14174663106499846,1.4094550848336893,1.4094550848336893
MS1_140140_1.8,MS1,1.8,MNS,0.6,0.2,0.13,0.09,2.8,1.0,1.4,1.4,0.025,577,1.2187707886145736,0.0006,0.15811388300841897,1430.502361277241,9.770878736168617,9.770878736168617,266.5833631503368,1430.5023612772409,0.12877775005196884,1430.502361277241,0.12877775005196884,1.4,1.4,0.14327933616180205,0.14327933616180205,1.5219875768031488,1.5219875768031488
MS1_120150_1.8,MS1,1.8,MNS,3.5,1.5,0.19,0.1,2.7,1.25,1.2,1.5,0.025,598,1.166516134976123,0.0035,0.21470910553583888,3248.52931993856,9.820669172944996,9.658858414478248,333.70701482479234,1777.285037978631,0.1439910979189377,967.4099710430739,0.12055308764102114,1.2,1.5,0.12423842879793875,0.15273720378980613,1.6411059692253707,1.2882496669804775
MS1_125145_1.8,MS1,1.8,MNS,1.5,0.8,0.19,0.11,2.5,1.160092807424594,1.25,1.25,0.025,598,1.0881882041201552,0.0015,0.21954498400100148,2635.3640420239135,9.691796282641503,9.691796282641503,490.8769860508439,2635.364042023914,0.14014679020215925,2635.3640420239135,0.14014679020215925,1.25,1.25,0.12897457321016934,0.12897457321016934,1.346142108957031,1.346142108957031
MS1_130140_1.8,MS1,1.8,MNS,0.6,0.2,0.17,0.09,2.7,1.0764262648008611,1.3,1.4,0.025,598,1.1742757165047846,0.0006,0.19235384061671346,2143.295086076795,9.770878736168617,9.719513321335558,326.12387738317534,1751.690619279644,0.13645770502838064,1430.502361277241,0.12877775005196884,1.3,1.4,0.13375160667779634,0.14327933616180205,1.5219875768031488,1.404392836327212
MS1_135135_1.8,MS1,1.8,MNS,1.5,0.6,0.14,0.08,2.7,1.0,1.35,1.35,0.025,598,1.1752432604497676,0.0015,0.161245154965971,1748.2123486522898,9.74537084097035,9.74537084097035,325.18494303026216,1748.21234865229,0.13269808103099728,1748.2123486522898,0.13269808103099728,1.35,1.35,0.13852521900269543,0.13852521900269543,1.463005403908356,1.463005403908356
MS1_130130_1.8,MS1,1.8,MNS,1.5,0.5,0.15,0.08,2.6,1.0,1.3,1.3,0.025,621,1.1317157322849616,0.0015,0.16999999999999998,2143.295086076795,9.719513321335558,9.719513321335558,398.48597229608384,2143.2950860767955,0.13645770502838064,2143.295086076795,0.13645770502838064,1.3,1.3,0.13375160667779634,0.13375160667779634,1.404392836327212,1.404392836327212
