name,q,group,tend,neutrinos,comment,viscosity,resolution,dyn_phase,bern_phase,EOS,M1,M2,Mb1,Mb2,Mb,Mg1,Mg2,R1,R2,C1,C2,k21,k22,lam21,lam22,Lambda,k2T,fate,MADM,EGW,JADM,JGW,f0,fpeak,tmerg_r,tcoll_gw,tcoll,Mdisk,tdisk3D,Mdisk3D,tdisk3Dmax,Mdisk3Dmax,Munb_tot,Munb_bern_tot,tend-geo,t98mass-geo,Mej_tot-geo,Ye_ave-geo,s_ave-geo,vel_inf_ave-geo,E_kin_ave-geo,theta_rms-geo,Mej_tot-bern_geoend,Ye_ave-bern_geoend,s_ave-bern_geoend,vel_inf_ave-bern_geoend,E_kin_ave-bern_geoend,theta_rms-bern_geoend
BLh_M13641364_M0_LK_SR,1.0,BLh_M13641364_M0_LK,,M0,,LK,SR,,not passed,BLh,1.364,1.364,1.493,1.493,2.986,1.3521594778893316,1.3521594778893316,8.419387784561065,8.419387784561065,0.16060260572642243,0.16060260572642243,0.08664494556930284,0.08664494556930284,540.6480986441761,540.6480986441761,540.6480986441761,101.36553334134487,,2.7032,4.8,7.40018,9.6,282.5398127238872,nan,0.012157459539239855,inf,inf,nan,0.09074042708222266,0.14750740653835237,0.1353499469991125,0.14750740653835237,0.0033042788770829465,0.016186068021629703,0.09175710679882243,0.01460733937018588,0.001360180631957079,0.26276236646004214,22.83752927831698,0.18047272331750353,0.039595739220815926,39.48996652018779,0.014920026297187992,0.3375011486997776,19.11738796016301,0.1188169686963969,0.18825878449264288,31.078113740367115
BLh_M13641364_M0_LK_LR,1.0,BLh_M13641364_M0_LK,,M0,,LK,LR,,not passed,BLh,1.364,1.364,1.493,1.493,2.986,1.3521594778893316,1.3521594778893316,8.419387784561065,8.419387784561065,0.16060260572642243,0.16060260572642243,0.08664494556930284,0.08664494556930284,540.6480986441761,540.6480986441761,540.6480986441761,101.36553334134487,,2.7032,6.4,7.40018,12.8,282.5398127238872,nan,0.011534839054934128,inf,inf,nan,0.0347870905604679,0.15865671579484586,0.14712187673991173,0.15865671579484586,0.0033493331378004173,0.01793739818190306,0.04331881261766757,0.012613377416141883,0.0013124678630391147,0.26849849378712715,24.146868080882133,0.16096716294317281,0.030394288576597487,40.04594481494353,0.008950371066429522,0.32006523185919333,18.214900847121047,0.11648563870141,0.10854617807068423,32.061998322228405
BLh_M13641364_M0_LR,1.0,BLh_M13641364_M0,,M0,,,LR,,not passed,BLh,1.364,1.364,1.493,1.493,2.986,1.3521594778893316,1.3521594778893316,8.419387784561065,8.419387784561065,0.16060260572642243,0.16060260572642243,0.08664494556930284,0.08664494556930284,540.6480986441761,540.6480986441761,540.6480986441761,101.36553334134487,,2.7032,3.22750644388e-05,7.40018,3.92522650817e-05,282.5398127238872,nan,0.01095162493039459,inf,inf,nan,0.03663857374510726,0.1818709376233595,0.17091931269296493,0.1818709376233595,0.0032563092202946083,0.016182861590517097,0.03690345796893746,0.010548483833180964,0.002362421977101612,0.2577431955569612,21.007928120255173,0.18373474632531242,0.07128017994738932,36.119547005732805,0.007419342698824464,0.3136972629567267,18.028043478526033,0.11300566992131039,0.08468268608517379,32.969960446353404
BLh_M12591482_M0_LK_LR,1.1771247021445592,BLh_M12591482_M0_LK,,M0,,LK,LR,,not passed,BLh,1.259,1.482,1.638,1.366,3.004,1.469130137666893,1.247570467267147,8.361055106234629,8.45647552770007,0.17571507086618676,0.1475268210088436,0.07809723407027032,0.093936772582856,310.84789123567515,896.1298688659369,538.8245028501941,101.27798176626939,,2.7156,6.4,7.4088,12.8,283.0825310798306,nan,0.011377213615869389,inf,inf,nan,nan,nan,nan,nan,0.0034219843785414463,0.021247016656591466,0.06935853688051809,0.010375095438266887,0.0030100885767026563,0.1790076227977691,15.399563414928972,0.1893684255300298,0.09647685492833599,33.64987403944254,0.012787978703690344,0.32743548016876445,17.628494610271897,0.1071751088798969,0.13128602409914136,36.250754444819634
BLh_M12591482_M0_LR,1.1771247021445592,BLh_M12591482_M0,,M0,,,LR,,not passed,BLh,1.259,1.482,1.638,1.366,3.004,1.469130137666893,1.247570467267147,8.361055106234629,8.45647552770007,0.17571507086618676,0.1475268210088436,0.07809723407027032,0.093936772582856,310.84789123567515,896.1298688659369,538.8245028501941,101.27798176626939,,2.7156,6.4,7.4088,12.8,283.0825310798306,nan,0.011203825632898175,inf,inf,nan,0.015907134161865823,0.22853514634900624,0.21733132071610806,0.22853514634900624,0.0029858031920289288,0.01190898670212604,0.016380626549156344,0.012061690752537883,0.0025450300316316623,0.163422111619107,15.220806261596133,0.1976758955110137,0.08888512067331726,30.857972432762196,0.002282978448291852,0.2776949926153317,16.559122812652497,0.11984079236969811,0.02930487549139167,36.47684697615644
BLh_M11841581_M0_LK_SR,1.3353040540540542,BLh_M11841581_M0_LK,,M0,,LK,SR,,not passed,BLh,1.184,1.581,1.762,1.277,3.0389999999999997,1.5670289733545706,1.1731065987366227,8.307554925745736,8.47807848313123,0.18862799558106233,0.1383671957811774,0.07021096814727557,0.09869978116131302,196.01447005568426,1297.255681019288,538.3722167393255,101.7005046644407,,2.7391,4.8,7.41048,9.6,283.9817565082998,nan,0.011590007958606787,inf,inf,nan,0.009745672736455682,0.1935876925708726,0.18199768461226581,0.1935876925708726,0.0030334638718471437,0.007028806766768868,0.009736712755962305,0.008696386324568681,0.002903729766838754,0.11168688657543933,10.466980327882741,0.1747031026380684,0.07921112064977812,25.255350176460233,0.000130427717867036,0.31050549921126636,21.876169294139522,0.1604731763759106,0.003001950443320371,44.839409651788515
BLh_M11841581_M0_LK_LR,1.3353040540540542,BLh_M11841581_M0_LK,,M0,,LK,LR,,not passed,BLh,1.184,1.581,1.762,1.277,3.0389999999999997,1.5670289733545706,1.1731065987366227,8.307554925745736,8.47807848313123,0.18862799558106233,0.1383671957811774,0.07021096814727557,0.09869978116131302,196.01447005568426,1297.255681019288,538.3722167393255,101.7005046644407,,2.7391,6.4,7.41048,12.8,283.9817565082998,nan,0.01107772528164638,inf,inf,nan,nan,nan,nan,nan,0.003770378987487844,0.030062629262062122,0.06338453204400288,0.012345415586898199,0.002183067990569456,0.1675856961349299,15.425967719724301,0.1722993184845009,0.05792460836953748,32.3259183891909,0.017239063131160276,0.28184508456386453,16.54430740163361,0.10781783865156001,0.17911156491450836,31.459354375678036
BLh_M11841581_M0_LR,1.3353040540540542,BLh_M11841581_M0,,M0,,,LR,,not passed,BLh,1.184,1.581,1.762,1.277,3.0389999999999997,1.5670289733545706,1.1731065987366227,8.307554925745736,8.47807848313123,0.18862799558106233,0.1383671957811774,0.07021096814727557,0.09869978116131302,196.01447005568426,1297.255681019288,538.3722167393255,101.7005046644407,,2.7391,6.4,7.41048,12.8,283.9817565082998,nan,0.010667899140078057,inf,inf,nan,0.017984588190789394,0.2061735333667861,0.19550563422670802,0.21146312866497924,0.00215411597536396,0.007827863207194372,0.017956881336015237,0.010296283773225319,0.0018559300649824834,0.17360898955251575,17.737370818934465,0.16882815041696034,0.04728028192240584,33.38716600188706,0.001277905530673913,0.28725594709334573,18.424259363808925,0.10493066829513358,0.012575705330086175,39.189019685080076
BLh_M11461635_M0_LK_SR,1.4267015706806283,BLh_M11461635_M0_LK,,M0,,LK,SR,,not passed,BLh,1.146,1.635,1.832,1.232,3.064,1.6213951804100923,1.1350795429302611,8.263605612256866,8.484681881672556,0.1962083145206785,0.13378136934240306,0.06605372635936863,0.10114984054770902,151.43054105747132,1573.7025329018147,539.4094045585828,102.23881374237175,,2.75552,4.8,7.40518,9.6,284.60564388522,nan,0.011365391707939532,inf,inf,nan,0.052567486376719166,0.27696372102946043,0.2655983293215209,0.27696372102946043,0.002900132829870522,0.04781302868624579,0.05956605782456932,0.01424086054511604,0.0031887023396182466,0.16911902365133452,13.742636384676713,0.1579764055414668,0.0711257995715232,31.957140309693386,0.021834658406621774,0.28707865814453226,15.390119217500844,0.10018181574348933,0.19586323560750218,32.09373053253455
BLh_M16351146_M0_LK_LR,1.4267015706806283,BLh_M11461635_M0_LK,,M0,,LK,LR,,not passed,BLh,1.635,1.146,1.832,1.232,3.064,1.6213951804100923,1.1350795429302611,8.263605612256866,8.484681881672556,0.1962083145206785,0.13378136934240306,0.06605372635936863,0.10114984054770902,151.43054105747132,1573.7025329018147,539.4094045585828,102.23881374237175,,2.75552,6.4,7.40518,12.8,284.60564388522,nan,0.014088371167782922,inf,inf,nan,0.03382976230789815,0.26587595487082444,0.2517875837030415,0.2696114193510126,0.002220533710974936,0.022529105404725882,0.03505923845350347,0.011856778194304328,0.002126876809978846,0.21444737231282754,17.45176727944464,0.15349710768651117,0.044789009094298275,37.0276950560371,0.0069098521187450305,0.26921410624561287,15.276294520207692,0.08783620349830981,0.04764799060637867,34.03462825732377
BLh_M11041699_M0_LK_LR,1.5389492753623188,BLh_M11041699_M0_LK,,M0,,LK,LR,,not passed,BLh,1.104,1.699,1.915,1.184,3.099,1.6849871411119064,1.094279433896932,8.208971200099505,8.495731997435483,0.20526186312718964,0.12879977380853674,0.06093468175802161,0.1033527819091449,111.48883572341252,1943.4656308655144,539.6709445946757,102.75571839993503,,2.77836,6.4,7.39834,12.8,285.41574254555775,nan,0.010589086420545688,inf,inf,nan,0.025747641064727857,nan,nan,nan,0.002029016541912388,0.018927087847026014,0.04574624358891476,0.01415810830174912,0.00197487142713787,0.17191386568964648,15.912840461432483,0.1328173316843825,0.03113702055950442,31.20784134195677,0.006302365985701956,0.32337941710723395,18.534650554209914,0.103339264444199,0.060153801255928535,37.62106265116977
BLh_M11041699_M0_LR,1.5389492753623188,Blh_M11041699_M0,,M0,,,LR,,not passed,BLh,1.104,1.699,1.915,1.184,3.099,1.6849871411119064,1.094279433896932,8.208971200099505,8.495731997435483,0.20526186312718964,0.12879977380853674,0.06093468175802161,0.1033527819091449,111.48883572341252,1943.4656308655144,539.6709445946757,102.75571839993503,,2.77836,6.4,7.39834,12.8,285.41574254555775,nan,0.010226547910696784,inf,inf,nan,0.030096502299549188,0.2832375458545155,0.2730109979438187,0.28657697223954726,0.0025206118367688416,0.00806609377652129,0.01738942767786332,0.012566091300123414,0.0021562178969935166,0.20788962155423032,19.39113321115778,0.1561471412423773,0.04698826902875092,35.045413167314216,0.0007063952975805981,0.30069876808924134,20.549802974036556,0.12088385226569932,0.009225992717951414,42.50375660879138
