model,EOS,q,nu,Mb2,Mg2,Mb1,Mg1,R2,R1,C2,C1,JADM,Omega0,f0,Mej,MADM,Resolution,v,Ekin,Mtot,Mchirp,Lambda
NL3_1.47_1.47,NL3,1.0,0.25,0.9744051447488585,1.36,0.9744051447488585,1.36,6.64026399086758,6.64026399086758,0.136,0.136,7.4,1778,566,1.4999999999999999e-05,2.7,230,0.45,0.01,2.72,1.1839487660827288,1657.590470319634
NL3_1.34_1.60,NL3,0.8503401360544218,0.248,0.8872768327014218,1.25,1.0619273333333332,1.47,6.625301075829384,6.647577,0.125,0.147,7.35,1777,566,0.0023,2.7,230,0.25,1.22,2.7199999999999998,1.1792954633448671,1688.4109744559714
DD2_1.49_1.49,DD2,1.0,0.25,1.496482070967742,1.36,1.496482070967742,1.36,8.946320615053763,8.946320615053763,0.152,0.152,7.39,1776,565,0.00043,2.7,230,0.3,0.31,2.72,1.1839487660827288,827.3475331182794
DD2_1.36_1.62,DD2,0.8775510204081632,0.248,1.4073791136363638,1.29,1.6308201591695501,1.47,8.929374136363638,8.962392474048443,0.14400000000000002,0.16399999999999998,7.34,1775,565,0.00041999999999999996,2.7,230,0.3,0.29,2.76,1.1982913121724228,775.0769376230669
DD2_1.27_1.71,DD2,0.7662337662337662,0.245,1.2751237831325302,1.18,1.7215192701421798,1.54,8.896600317269076,8.971224734597158,0.132,0.172,7.26,1775,565,0.0013,2.7,230,0.3,0.76,2.7199999999999998,1.171461057544189,863.6756590585842
SFHo_1.50_1.50,SFHo,1.0,0.25,1.5128759357142856,1.36,1.5128759357142856,1.36,8.061692935714285,8.061692935714285,0.16899999999999998,0.16899999999999998,7.38,1775,565,0.0034,2.7,230,0.25,1.8,2.72,1.1839487660827288,398.1669075000004
SFHo_1.37_1.63,SFHo,0.8503401360544218,0.248,1.3699931114982578,1.25,1.646536,1.47,8.09091993728223,8.027212,0.154,0.183,7.31,1773,564,0.0022,2.7,230,0.25,1.8,2.7199999999999998,1.1792954633448671,418.3498600251038
