name,q,group,Mbi_Mb,nprofs,nnuprofs,tend,neutrinos,comment,viscosity,resolution,AHfix,dyn_phase,outcome,disk_phase,diskmaxtime,bern_phase,EOS,M1,M2,Mb1,Mb2,Mb,Mg1,Mg2,R1,R2,C1,C2,k21,k22,lam21,lam22,Lambda,k2T,fate,MADM,EGW,JADM,JGW,f0,fpeak,tmerg_r,tcoll_gw,tcoll,Mdisk,tdisk3D,Mdisk3D,tdisk3Dmax,Mdisk3Dmax,Munb_tot,Munb_bern_tot,tend-geo,t98mass-geo,Mej_tot-geo,Ye_ave-geo,s_ave-geo,vel_inf_ave-geo,E_kin_ave-geo,theta_rms-geo,Mej_tot-bern_geoend,Ye_ave-bern_geoend,s_ave-bern_geoend,vel_inf_ave-bern_geoend,E_kin_ave-bern_geoend,theta_rms-bern_geoend
BLh_M11841581_M0_LR,1.3,BLh_M11841581_M0,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M11461635_M0_LK_SR,1.4,BLh_M11461635_M0_LK,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M16351146_M0_LK_LR,1.4,BLh_M11461635_M0_LK,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M11041699_M0_LK_LR,1.5,BLh_M11041699_M0_LK,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M11041699_M0_LR,1.5,Blh_M11041699_M0,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M10651772_M0_LK_SR,1.7,BLh_M10651772_M0_LK,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M10651772_M0_LK_LR,1.7,BLh_M10651772_M0_LK,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M10651772_M0_LK_HR,1.7,BLh_M10651772_M0_LK,,,,,,,,,,not passed,unclear,not_formed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M10201856_M0_LK_HR,1.8,BLh_M10201856_M0_LK,,,,,,,,,,passed,PC,unclear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M10201856_M0_LK_LR,1.8,BLh_M10201856_M0_LK,,,,,,,,,,passed,PC,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
