model EOS M2 M1 Gth R1.35 Mej v Ekin
ENG_1.35_1.35 ENG 1.35 1.35 2 12.05 5.29 0.29 5.01
ENG_1.35_1.35 ENG 1.35 1.35 1.5 12.05 6.32 0.26 5.30
APR3_1.35_1.35 APR3 1.35 1.35 2 12.04 4.65 0.30 4.69
APR3_1.35_1.35 APR3 1.35 1.35 1.5 12.04 6.15 0.27 5.50
Heb3_1.35_1.35 Heb3 1.35 1.35 2 12.03 2.99 0.41 6.43
Heb3_1.35_1.35 Heb3 1.35 1.35 1.5 12.03 3.70 0.37 6.93
BurgioNN_1.35_1.35 BurgioNN 1.35 1.35 2 11.99 2.47 0.39 4.73
BurgioNN_1.35_1.35 BurgioNN 1.35 1.35 1.5 11.99 2.44 0.37 4.67
SLy4_1.35_1.35 SLy4 1.35 1.35 2 11.79 3.99 0.29 3.75
SLy4_1.35_1.35 SLy4 1.35 1.35 1.5 11.79 6.40 0.27 5.53
BSk20_1.35_1.35 BSk20 1.35 1.35 2 11.74 4.68 0.31 4.90
BSk20_1.35_1.35 BSk20 1.35 1.35 1.5 11.74 7.83 0.26 6.80
ALF4_1.35_1.35_x ALF4 1.35 1.35 2 11.60 5.70 0.30 6.07
ALF4_1.35_1.35_x ALF4 1.35 1.35 1.5 11.60 7.40 0.29 7.65
Heb2_1.35_1.35 Heb2 1.35 1.35 2 11.42 4.95 0.34 7.90
Heb2_1.35_1.35 Heb2 1.35 1.35 1.5 11.42 5.01 0.37 9.07
APR_1.35_1.35 APR 1.35 1.35 2 11.33 5.96 0.31 6.37
APR_1.35_1.35 APR 1.35 1.35 1.5 11.33 7.38 0.30 7.90
BB2_1.35_1.35_x BB2 1.35 1.35 2 11.30 4.95 0.28 4.17
eosUU_1.35_1.35 eosUU 1.35 1.35 2 11.18 7.02 0.32 7.80
eosUU_1.35_1.35 eosUU 1.35 1.35 1.5 11.18 9.42 0.31 10.0
Heb1_1.35_1.35 Heb1 1.35 1.35 2 10.81 6.85 0.31 8.54
Heb1_1.35_1.35 Heb1 1.35 1.35 1.5 10.81 10.88 0.32 12.54
eosAU_1.35_1.35 eosAU 1.35 1.35 2 10.44 4.05 0.36 5.64
eosAU_1.35_1.35 eosAU 1.35 1.35 1.5 10.44 1.51 0.29 1.69
NL3_1.2_1.5 NL3 1.2 1.5 full 14.75 7.95 0.19 4.50
GS1_1.2_1.5 GS1 1.2 1.5 full 14.72 6.43 0.22 6.55
Shen_1.2_1.5 Shen 1.2 1.5 full 14.56 5.66 0.30 8.33
TM1_1.2_1.5 TM1 1.2 1.5 full 14.49 8.66 0.17 3.94
TMA_1.2_1.5 TMA 1.2 1.5 full 13.86 10.21 0.20 6.40
LS375_1.2_1.5 LS375 1.2 1.5 full 13.56 6.66 0.27 7.60
GS2_1.2_1.5 GS2 1.2 1.5 full 13.38 10.69 0.18 6.14
DD2_1.2_1.5 DD2 1.2 1.5 full 13.21 8.79 0.20 4.97
LS220_1.2_1.5 LS220 1.2 1.5 full 12.64 13.22 0.18 7.34
LS180_1.2_1.5_x LS180 1.2 1.5 full 12.14 18.58 0.20 12.13
SFHX_1.2_1.5 SFHX 1.2 1.5 full 11.98 14.67 0.19 7.91
SFHO_1.2_1.5 SFHO 1.2 1.5 full 11.92 13.39 0.22 8.94
NL3_1.2_1.2 NL3 1.2 1.2 full 14.75 2.15 0.17 0.91
NL3_1.2_1.35 NL3 1.2 1.35 full 14.75 4.25 0.21 2.74
NL3_1.2_1.6 NL3 1.2 1.6 full 14.75 9.96 0.19 5.57
NL3_1.2_1.8 NL3 1.2 1.8 full 14.75 15.68 0.15 5.75
NL3_1.35_1.5 NL3 1.35 1.5 full 14.75 2.72 0.24 2.25
NL3_1.35_1.8 NL3 1.35 1.8 full 14.75 18.81 0.21 11.31
NL3_1.5_1.5 NL3 1.5 1.5 full 14.75 1.70 0.20 1.04
NL3_1.5_1.8 NL3 1.5 1.8 full 14.75 8.10 0.21 4.94
NL3_1.6_1.6 NL3 1.6 1.6 full 14.75 3.74 0.22 2.59
NL3_1.8_1.8 NL3 1.8 1.8 full 14.75 9.08 0.24 7.25
NL3_1.35_2.0 NL3 1.35 2.0 full 14.75 12.85 0.20 7.62
NL3_2.0_2.0 NL3 2.0 2.0 full 14.75 1.91 0.29 2.18
DD2_1.2_1.2 DD2 1.2 1.2 full 13.21 3.09 0.17 1.37
DD2_1.2_1.35 DD2 1.2 1.35 full 13.21 3.17 0.20 2.06
DD2_1.2_1.6 DD2 1.2 1.6 full 13.21 10.90 0.20 6.39
DD2_1.2_1.8 DD2 1.2 1.8 full 13.21 17.08 0.17 6.72
