name,EOS,publish,export,comment,resolution,M1,M2,Mb1,Mb2,Mb,Mg1,Mg2,R1,R2,C1,C2,k21,k31,k41,k22,k32,k42,lam21,lam31,lam41,lam22,lam32,lam42,Lambda,k2T,tend,finished,MADM,EGW,JADM,JGW,f0,fpeak,tcoll,Mdisk,Mej,Yeej,Sej,vej,Ekej,Mej_shocked,Mej_tidal,Mej_tot-geo,Ye_ave-geo,s_ave-geo,vel_inf_ave-geo,E_kin_ave-geo,theta_rms-geo,tend-geo,t98mass-geo,Mej_tot-bern_geoend,Ye_ave-bern_geoend,s_ave-bern_geoend,vel_inf_ave-bern_geoend,E_kin_ave-bern_geoend,theta_rms-bern_geoend,Mej_tot-geo_entropy_above_10,Ye_ave-geo_entropy_above_10,s_ave-geo_entropy_above_10,vel_inf_ave-geo_entropy_above_10,E_kin_ave-geo_entropy_above_10,theta_rms-geo_entropy_above_10,Mej_tot-geo_entropy_below_10,Ye_ave-geo_entropy_below_10,s_ave-geo_entropy_below_10,vel_inf_ave-geo_entropy_below_10,E_kin_ave-geo_entropy_below_10,theta_rms-geo_entropy_below_10
BHBlp_M125125_LK,BHBlp,yes,yes,leakage,0.125,1.25,1.25,1.35299,1.35299,2.70598,1.24023940375994,1.24023940375994,8.91710657725781,8.91710657725781,0.14018,0.14018,0.10517,0.02864,0.01061,0.10517,0.02864,0.01061,1295.29991380455,3590.1232699913,9669.00043270956,1295.29991380455,3590.1232699913,9669.00043270956,1295.29991380455,242.868733838352,21.9414611178119,yes,2.47564,0.0285657475438,6.16715,1.14736585108,644.684,2390.37082067,inf,nan,0.00126821,0.125242271236,14.6854556615,0.178573418684,0.459251644503,,,0.0012133633172699233,0.12431013041339657,14.019646822438906,0.17616939885069643,0.033657397430663705,22.02227321314635,0.032628465443849564,0.017709217965602875,0.0007793065503082568,0.12692100575162693,13.6674168516884,0.14879890305152033,0.015421851287972146,31.85456113725202,0.00066137359041782,0.14497157767893099,19.485718732081388,0.1891213583318297,0.02114251906877074,26.57898704573239,0.000551989726852106,0.0995543516434479,7.4704024642538815,0.16065084202204968,0.0127328532152927,14.82129733882661
BHBlp_M1251365_LK,BHBlp,yes,yes,leakage,0.125,1.365,1.25,1.49103,1.35241,2.84344,1.35534628660443,1.23975141216878,8.94143849076379,8.91710657725781,0.15266,0.14018,0.09914,0.02663,0.00972,0.10517,0.02864,0.01061,797.134058520788,1837.52432406198,4111.30445754929,1295.29991380455,3590.1232699913,9669.00043270956,1016.97535763328,190.768609561901,21.8823515781626,yes,2.58906,0.0422719702279,6.63885,1.49161603034,656,2539.76899696,inf,nan,0.000580161,0.136846798679,17.3662278473,0.213024813478,0.351464347476,,,0.0005243086181891581,0.1351807665969405,16.289583400891466,0.22253991226375958,0.023207670323726476,25.572993982986038,0.0314699187874794,0.017259985208511353,0.0005669159397394949,0.1410001118525801,17.36009906447313,0.15366937604729392,0.011965257488339796,32.87177305504548,0.00026817087197276204,0.16445660133814272,24.982916511917335,0.19966563352886277,0.009555358160534648,33.757159216302846,0.00025613774621639584,0.1045295789205804,7.187845155861768,0.24648880446999832,0.013909025575572298,12.07434768253732
BHBlp_M130130_LK,BHBlp,yes,yes,leakage,0.125,1.3,1.3,1.41572,1.41572,2.83144,1.29280247452936,1.29280247452936,8.92795824462606,8.92795824462606,0.14561,0.14561,0.10267,0.02781,0.01024,0.10267,0.02781,0.01024,1045.67396125715,2671.78380087502,6628.56983908347,1045.67396125715,2671.78380087502,6628.56983908347,1045.67396125715,196.063867735717,26.9303062642109,yes,2.5796,0.0385810240349,6.60881,1.42656704097,654.862,2440.17021277,inf,nan,0.000658751,0.163376437187,22.3327238035,0.119725908155,0.113784924758,,,0.0004317587994264141,0.16878938807162402,23.33011984986009,0.11202536210245,0.004842868038546351,33.587518620377296,0.036553338170051575,0.01801658794283867,0.0013694212532492345,0.14954833702581935,15.581232948380284,0.1583957825473461,0.030708104979134225,27.176365144249417,0.0004175465336584906,0.16927862511280106,23.84049483233634,0.11131896345865118,0.004624575939265672,33.977995883964816,1.4212265767923375e-05,0.15441594234407244,8.335656033968016,0.1327788654435551,0.00022394942519188274,18.79263903217944
BHBlp_M135135_LK,BHBlp,yes,yes,leakage,0.125,1.35,1.35,1.47277,1.47277,2.94554,1.34023468977113,1.34023468977113,8.93862146593392,8.93862146593392,0.15103,0.15103,0.09996,0.0269,0.00984,0.09996,0.0269,0.00984,848.044957999892,2001.00631782103,4584.23416460744,848.044957999892,2001.00631782103,4584.23416460744,848.044957999892,159.00842962498,21.5868038799162,yes,2.67288,0.0558950347318,7.01514,1.85579331814,663.58,2589.56838906,inf,nan,0.000672403,0.149520482908,20.3491359781,0.166318356069,0.263299267472,,,0.0005157058897279081,0.15067305431413444,19.54336742889606,0.18347237397882893,0.015515728705767517,28.676298864284135,0.03078424744307995,0.017330914735794067,0.0011350128036968024,0.1422850285655657,15.785508730651635,0.15638342156133672,0.024809094177212703,29.14654056211658,0.00034186154669173404,0.1699900112997016,25.90905999438807,0.1532993251518798,0.007180578995346936,34.62387288934162,0.00017384434303617494,0.11268663107406557,7.025355808866785,0.24280709238401393,0.009160349099258227,9.065371494992759
BHBlp_M135135_LK_HR,BHBlp,yes,yes,leakage,0.083333,1.35,1.35,1.47277,1.47277,2.94554,1.34023468977113,1.34023468977113,8.93862146593392,8.93862146593392,0.15103,0.15103,0.09996,0.0269,0.00984,0.09996,0.0269,0.00984,848.044957999892,2001.00631782103,4584.23416460744,848.044957999892,2001.00631782103,4584.23416460744,848.044957999892,159.00842962498,21.216384098114,yes,2.67288,0.0602691490848,7.01514,1.9083086357,663.58,2788.76595745,inf,nan,0.000497278,0.157571758906,20.4932298421,0.17903775196,0.187880286973,,,0.0004734638661286687,0.15616155963217201,18.893604081015006,0.17498725789684946,0.012957714789977263,23.87985742183383,0.030453233048319817,0.014470015652477741,0.0006054066801361721,0.14026488444811266,17.30582833403332,0.15488245690561372,0.012980170355722073,30.103117790983234,0.00033725312632542997,0.16522089820306238,23.38124974674743,0.17803371262236303,0.00955408732272772,26.65458632931618,0.00013621073980323866,0.13373094762693094,7.782347121429548,0.16744434034223882,0.0034133515725772493,14.938024950615574
BHBlp_M135135_M0,BHBlp,yes,no,M0,0.125,1.35,1.35,1.47277,1.47277,2.94554,1.34023468977113,1.34023468977113,8.93862146593392,8.93862146593392,0.15103,0.15103,0.09996,0.0269,0.00984,0.09996,0.0269,0.00984,848.044957999892,2001.00631782103,4584.23416460744,848.044957999892,2001.00631782103,4584.23416460744,848.044957999892,159.00842962498,34.8628064851439,yes,2.67288,0.056052070356,7.01514,1.83333242535,663.58,2689.16717325,inf,nan,0.00138836,0.262248129383,23.7373162877,0.144859225911,0.395116287729,,,0.0008567884254875403,0.2526360941655141,24.42580134824325,0.15912198480802256,0.01938932501765852,38.251562459376466,0.0440957136452198,0.01908055879175663,0.006285732604025126,0.2889759079797599,17.36619070537206,0.16730141921196734,0.15724754629591492,31.18469069947137,0.0007094356953957327,0.2764661388985143,27.939616798054228,0.1418627198081099,0.012760812436426988,41.82683898720155,0.00014735273009180755,0.13790537729359573,7.508394350926254,0.24221741615567086,0.00772676396612454,9.253164602831713
BHBlp_M140120_LK,BHBlp,yes,yes,leakage,0.125,1.4,1.2,1.53253,1.29693,2.82946,1.38955200310838,1.19291678382275,8.94797392304742,8.90405876678786,0.15646,0.13477,0.09713,0.02596,0.00942,0.10752,0.02943,0.01096,690.630096309075,1508.06528698578,3193.46136378171,1612.24802950828,4859.33007687365,14233.5160506694,1057.59523096822,198.567152823735,21.6459134195655,yes,2.57644,0.0332728682462,6.53749,1.24058381219,652.714,2489.96960486,inf,nan,0.00108822,0.106069387727,13.2279342741,0.160935823725,0.358130437927,,,0.0010368170887257355,0.10419564165461395,12.27571047465815,0.1616093513708916,0.0242027015873067,21.793653079406745,0.03078424744307995,0.015108397230505943,0.0011102109701188522,0.12075911115314358,13.499806619614752,0.14847511064997782,0.021874672248811716,28.04216862204349,0.0004160602924554573,0.14393185580237047,21.03139880362117,0.1828085478938297,0.0124273346375704,31.0698042030895,0.0006207567962702778,0.07756256896218112,6.407237880101114,0.14740065650335465,0.01205449562888259,12.097774311826438
BHBlp_M140120_M0,BHBlp,yes,no,M0,0.125,1.4,1.2,1.53253,1.29693,2.82946,1.38955200310838,1.19291678382275,8.94797392304742,8.90405876678786,0.15646,0.13477,0.09713,0.02596,0.00942,0.10752,0.02943,0.01096,690.630096309075,1508.06528698578,3193.46136378171,1612.24802950828,4859.33007687365,14233.5160506694,1057.59523096822,198.567152823735,26.1382384329106,yes,2.57644,0.0317644511663,6.53749,1.20228661318,652.714,2539.76899696,inf,nan,0.00160956,0.193198426805,16.8886133003,0.16773689762,0.603079040492,,,0.0013054103923048278,0.17828606779239944,15.676791349900634,0.1815410446394277,0.03845257706491495,30.51931976242537,0.03527657315135002,0.016668889671564102,0.005450447696498308,0.2317906683283945,14.872186915163889,0.15884261605108885,0.12291219192533244,31.291680572861022,0.0007707820741488328,0.22530438516977433,21.421369702872767,0.18200146660215552,0.02281970922442248,36.72122069733486,0.0005346267954083859,0.11049876947163847,7.3947373499778655,0.18087732626450695,0.015633193597134356,18.175802251776833
BHBlp_M140140_LK,BHBlp,yes,yes,leakage,0.125,1.4,1.4,1.53254,1.53254,3.06508,1.38956022047584,1.38956022047584,8.94797392304742,8.94797392304742,0.15646,0.15646,0.09713,0.02596,0.00942,0.09713,0.02596,0.00942,690.630096309075,1508.06528698578,3193.46136378171,690.630096309075,1508.06528698578,3193.46136378171,690.630096309075,129.493143057952,14.2926866871953,yes,2.77062,0.0628403817956,7.44301,1.91152878322,671.364,2888.36474164,11.9611618271984,0.115094965239,0.000918827,0.146825547278,17.550995482,0.173337811733,0.340296109781,,,0.0008288629561309847,0.14718451511364541,16.80530439038083,0.17322025681220796,0.02222843114422938,27.759680637183116,0.022508913651108742,0.014115358702838421,0.0007414357844664834,0.13743262601002956,13.706907432200973,0.14116555792016985,0.013205649488614775,31.645353760753256,0.0005016055582009525,0.17032422517520707,22.90661679782302,0.17651071519259942,0.013967967458659487,33.06220905811524,0.00032725739793003236,0.11171699854884207,7.453484583551728,0.1681767888170669,0.008272757796479025,16.624770838358447
BHBlp_M140140_LK_HR,BHBlp,yes,yes,leakage,0.083333,1.4,1.4,1.53254,1.53254,3.06508,1.38956022047584,1.38956022047584,8.94797392304742,8.94797392304742,0.15646,0.15646,0.09713,0.02596,0.00942,0.09713,0.02596,0.00942,690.630096309075,1508.06528698578,3193.46136378171,690.630096309075,1508.06528698578,3193.46136378171,690.630096309075,129.493143057952,12.8937609154958,yes,2.77062,0.0663730937489,7.44301,1.98151364623,671.364,2888.36474164,10.3297385329686,0.077683846366,0.00099084,0.138034911368,16.674950128,0.201674687891,0.49768044241,,,0.0009312439391227251,0.1391284736025757,15.707355933881301,0.1998323649692691,0.03323715486860359,25.896318457103646,0.021121809259057045,0.013965613208711147,0.000658772060133672,0.12757115667017194,12.512761270413995,0.13770523109218258,0.011165155434755708,27.33299098921343,0.0005009824330272232,0.16666091566131333,22.762723145744033,0.18999406981982858,0.016163347655899312,31.634683695559914,0.0004302615060955025,0.10707059806791007,7.492316982860375,0.2112877542406312,0.01716761132617784,16.920930472133517
