model,EOS,M2,M1,Gth,R1.35,Mej,v,Ekin,q,Mtot,Mchirp,lam22,R1,R2,k2T,Lambda,k22,lam21,k21,Mg2,Mg1,C2,C1,Mb1,Mb2
NL3_1.35_1.35,NL3,1.35,1.35,full,14.75,0.00209,0.18,0.98,1.0,2.7,1.1752432604497676,1691.160946903235,9.987064326435236,9.987064326435236,314.4448400752675,1691.1609469032355,0.11351434122460358,1691.160946903235,0.11351434122460358,1.35,1.35,0.13517091533706113,0.13517091533706113,1.4699479183542956,1.4699479183542956
NL3_1.35_1.35,NL3,1.35,1.35,2,14.75,0.00157,0.34,2.03,1.0,2.7,1.1752432604497676,1691.160946903235,9.987064326435236,9.987064326435236,314.4448400752675,1691.1609469032355,0.11351434122460358,1691.160946903235,0.11351434122460358,1.35,1.35,0.13517091533706113,0.13517091533706113,1.4699479183542956,1.4699479183542956
NL3_1.35_1.35,NL3,1.35,1.35,1.8,14.75,0.0016,0.32,2.99,1.0,2.7,1.1752432604497676,1691.160946903235,9.987064326435236,9.987064326435236,314.4448400752675,1691.1609469032355,0.11351434122460358,1691.160946903235,0.11351434122460358,1.35,1.35,0.13517091533706113,0.13517091533706113,1.4699479183542956,1.4699479183542956
NL3_1.35_1.35,NL3,1.35,1.35,1.5,14.75,0.00186,0.3,1.98,1.0,2.7,1.1752432604497676,1691.160946903235,9.987064326435236,9.987064326435236,314.4448400752675,1691.1609469032355,0.11351434122460358,1691.160946903235,0.11351434122460358,1.35,1.35,0.13517091533706113,0.13517091533706113,1.4699479183542956,1.4699479183542956
GS1_1.35_1.35,GS1,1.35,1.35,full,14.72,0.00219,0.32,3.43,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
Shen_1.35_1.35,Shen,1.35,1.35,full,14.56,0.00233,0.23,4.8,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
TM1_1.35_1.35,TM1,1.35,1.35,full,14.49,0.0016699999999999998,0.16,0.74,1.0,2.7,1.1752432604497676,1437.162043231312,9.809263353678634,9.809263353678634,268.90007547460374,1437.1620432313125,0.10621292486756916,1437.162043231312,0.10621292486756916,1.35,1.35,0.13762562095350206,0.13762562095350206,1.4706818044437906,1.4706818044437906
TM1_1.35_1.35,TM1,1.35,1.35,2,14.49,0.0013700000000000001,0.36,2.02,1.0,2.7,1.1752432604497676,1437.162043231312,9.809263353678634,9.809263353678634,268.90007547460374,1437.1620432313125,0.10621292486756916,1437.162043231312,0.10621292486756916,1.35,1.35,0.13762562095350206,0.13762562095350206,1.4706818044437906,1.4706818044437906
TM1_1.35_1.35,TM1,1.35,1.35,1.8,14.49,0.00133,0.34,1.77,1.0,2.7,1.1752432604497676,1437.162043231312,9.809263353678634,9.809263353678634,268.90007547460374,1437.1620432313125,0.10621292486756916,1437.162043231312,0.10621292486756916,1.35,1.35,0.13762562095350206,0.13762562095350206,1.4706818044437906,1.4706818044437906
TM1_1.35_1.35,TM1,1.35,1.35,1.5,14.49,0.0015300000000000001,0.32,1.86,1.0,2.7,1.1752432604497676,1437.162043231312,9.809263353678634,9.809263353678634,268.90007547460374,1437.1620432313125,0.10621292486756916,1437.162043231312,0.10621292486756916,1.35,1.35,0.13762562095350206,0.13762562095350206,1.4706818044437906,1.4706818044437906
TMA_1.35_1.35,TMA,1.35,1.35,full,13.86,0.0020499999999999997,0.18,1.19,1.0,2.7,1.1752432604497676,1205.1438719086864,9.696660436532508,9.696660436532508,225.4951728974506,1205.1438719086866,0.09436600792495056,1205.1438719086864,0.09436600792495056,1.35,1.35,0.13922514192994892,0.13922514192994892,1.4788913185870418,1.4788913185870418
LS375_1.35_1.35,LS375,1.35,1.35,full,13.56,0.0025800000000000003,0.3,3.39,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
GS2_1.35_1.35,GS2,1.35,1.35,full,13.38,0.0027400000000000002,0.19,2.16,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
DD2_1.35_1.35,DD2,1.35,1.35,full,13.21,0.00307,0.22,2.18,1.0,2.7,1.1752432604497676,861.6418564732923,8.944044699630894,8.944044699630894,160.86448877575026,861.6418564732925,0.10082195779650394,861.6418564732923,0.10082195779650394,1.35,1.35,0.15093883418065324,0.15093883418065324,1.4845915368061842,1.4845915368061842
DD2_1.35_1.35,DD2,1.35,1.35,2,13.21,0.00257,0.34,3.31,1.0,2.7,1.1752432604497676,861.6418564732923,8.944044699630894,8.944044699630894,160.86448877575026,861.6418564732925,0.10082195779650394,861.6418564732923,0.10082195779650394,1.35,1.35,0.15093883418065324,0.15093883418065324,1.4845915368061842,1.4845915368061842
DD2_1.35_1.35,DD2,1.35,1.35,1.8,13.21,0.00226,0.32,2.61,1.0,2.7,1.1752432604497676,861.6418564732923,8.944044699630894,8.944044699630894,160.86448877575026,861.6418564732925,0.10082195779650394,861.6418564732923,0.10082195779650394,1.35,1.35,0.15093883418065324,0.15093883418065324,1.4845915368061842,1.4845915368061842
DD2_1.35_1.35,DD2,1.35,1.35,1.5,13.21,0.00272,0.3,2.9,1.0,2.7,1.1752432604497676,861.6418564732923,8.944044699630894,8.944044699630894,160.86448877575026,861.6418564732925,0.10082195779650394,861.6418564732923,0.10082195779650394,1.35,1.35,0.15093883418065324,0.15093883418065324,1.4845915368061842,1.4845915368061842
LS220_1.35_1.35,LS220,1.35,1.35,full,12.64,0.00199,0.28,2.08,1.0,2.7,1.1752432604497676,684.5118403705409,8.609166527816162,8.609166527816162,128.2140191451551,684.511840370541,0.09725168746046368,684.5118403705409,0.09725168746046368,1.35,1.35,0.1568102072777522,0.1568102072777522,1.502383755668151,1.502383755668151
LS180_1.35_1.35_x,LS180,1.35,1.35,full,12.14,0.00226,0.29,3.02,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
SFHX_1.35_1.35,SFHX,1.35,1.35,full,11.98,0.0061600000000000005,0.22,4.36,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
SFHO_1.35_1.35,SFHO,1.35,1.35,full,11.92,0.00483,0.23,3.61,1.0,2.7,1.1752432604497676,422.5574155729537,8.066924803985765,8.066924803985765,79.12861132778238,422.5574155729538,0.08309233827330961,422.5574155729537,0.08309233827330961,1.35,1.35,0.16735068327402136,0.16735068327402136,1.497491344911032,1.497491344911032
SFHO_1.35_1.35,SFHO,1.35,1.35,2,11.92,0.00296,0.32,3.37,1.0,2.7,1.1752432604497676,422.5574155729537,8.066924803985765,8.066924803985765,79.12861132778238,422.5574155729538,0.08309233827330961,422.5574155729537,0.08309233827330961,1.35,1.35,0.16735068327402136,0.16735068327402136,1.497491344911032,1.497491344911032
SFHO_1.35_1.35,SFHO,1.35,1.35,1.8,11.92,0.00326,0.34,4.18,1.0,2.7,1.1752432604497676,422.5574155729537,8.066924803985765,8.066924803985765,79.12861132778238,422.5574155729538,0.08309233827330961,422.5574155729537,0.08309233827330961,1.35,1.35,0.16735068327402136,0.16735068327402136,1.497491344911032,1.497491344911032
SFHO_1.35_1.35,SFHO,1.35,1.35,1.5,11.92,0.00382,0.3,4.14,1.0,2.7,1.1752432604497676,422.5574155729537,8.066924803985765,8.066924803985765,79.12861132778238,422.5574155729538,0.08309233827330961,422.5574155729537,0.08309233827330961,1.35,1.35,0.16735068327402136,0.16735068327402136,1.497491344911032,1.497491344911032
eosL_1.35_1.35,eosL,1.35,1.35,2,15.74,0.00149,0.22,0.77,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
eosL_1.35_1.35,eosL,1.35,1.35,1.5,15.74,0.0034500000000000004,0.2,1.49,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
MS1_1.35_1.35,MS1,1.35,1.35,2,14.99,0.00117,0.27,0.98,1.0,2.7,1.1752432604497676,1748.2123486522898,9.74537084097035,9.74537084097035,325.18494303026216,1748.21234865229,0.13269808103099728,1748.2123486522898,0.13269808103099728,1.35,1.35,0.13852521900269543,0.13852521900269543,1.463005403908356,1.463005403908356
