model,EOS,M2,M1,Gth,R1.35,Mej,v,Ekin,q,Mtot,Mchirp,lam22,R1,R2,k2T,Lambda,k22,lam21,k21,Mg2,Mg1,C2,C1,Mb1,Mb2
MS1_1.35_1.35,MS1,1.35,1.35,1.5,14.99,0.0023799999999999997,0.21,1.19,1.0,2.7,1.1752432604497676,1748.2123486522898,9.74537084097035,9.74537084097035,325.18494303026216,1748.21234865229,0.13269808103099728,1748.2123486522898,0.13269808103099728,1.35,1.35,0.13852521900269543,0.13852521900269543,1.463005403908356,1.463005403908356
MS1b_1.35_1.35,MS1b,1.35,1.35,2,14.59,0.0016699999999999998,0.25,1.26,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
MS1b_1.35_1.35,MS1b,1.35,1.35,1.5,14.59,0.00364,0.21,1.85,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
Glenh3_1.35_1.35_x,Glenh3,1.35,1.35,2,14.52,0.00108,0.23,0.62,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
Glenh3_1.35_1.35_x,Glenh3,1.35,1.35,1.5,14.52,0.0016899999999999999,0.22,0.9,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
MS2_1.35_1.35_x,MS2,1.35,1.35,2,14.25,0.0008100000000000001,0.26,0.65,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
H3_1.35_1.35_x,H3,1.35,1.35,2,13.95,0.0014299999999999998,0.27,1.15,1.0,2.7,1.1752432604497676,856.3768483198139,8.88607951729846,8.88607951729846,160.4649598649313,856.376848319814,0.10390782031120674,856.3768483198139,0.10390782031120674,1.35,1.35,0.15192722562489658,0.15192722562489658,1.4710898190696906,1.4710898190696906
H4_1.35_1.35,H4,1.35,1.35,2,13.95,0.00128,0.27,1.09,1.0,2.7,1.1752432604497676,1112.330505919817,9.172434688291009,9.172434688291009,208.23921332895145,1112.3305059198171,0.11503926108434719,1112.330505919817,0.11503926108434719,1.35,1.35,0.1471765832448763,0.1471765832448763,1.468743177716992,1.468743177716992
H4_1.35_1.35,H4,1.35,1.35,1.5,13.95,0.0019299999999999999,0.27,1.64,1.0,2.7,1.1752432604497676,1112.330505919817,9.172434688291009,9.172434688291009,208.23921332895145,1112.3305059198171,0.11503926108434719,1112.330505919817,0.11503926108434719,1.35,1.35,0.1471765832448763,0.1471765832448763,1.468743177716992,1.468743177716992
Heb6_1.35_1.35,Heb6,1.35,1.35,2,13.33,0.00155,0.45,3.86,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
Heb6_1.35_1.35,Heb6,1.35,1.35,1.5,13.33,0.0034300000000000003,0.24,2.58,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
eosO_1.35_1.35,eosO,1.35,1.35,2,12.85,0.00352,0.28,3.04,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
eosO_1.35_1.35,eosO,1.35,1.35,1.5,12.85,0.00462,0.25,3.27,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
ALF2_1.35_1.35,ALF2,1.35,1.35,2,12.78,0.0038,0.28,3.36,1.0,2.7,1.1752432604497676,734.2312200762389,8.364551936467599,8.364551936467599,137.48002208896276,734.231220076239,0.12044594536213468,734.2312200762389,0.12044594536213468,1.35,1.35,0.1613959085133418,0.1613959085133418,1.4877406950444727,1.4877406950444727
ALF2_1.35_1.35,ALF2,1.35,1.35,1.5,12.78,0.00449,0.27,3.8,1.0,2.7,1.1752432604497676,734.2312200762389,8.364551936467599,8.364551936467599,137.48002208896276,734.231220076239,0.12044594536213468,734.2312200762389,0.12044594536213468,1.35,1.35,0.1613959085133418,0.1613959085133418,1.4877406950444727,1.4877406950444727
BSk21_1.35_1.35,BSk21,1.35,1.35,2,12.54,0.0033599999999999997,0.32,3.89,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
BSk21_1.35_1.35,BSk21,1.35,1.35,1.5,12.54,0.00437,0.27,3.81,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
Heb4_1.35_1.35,Heb4,1.35,1.35,2,12.51,0.00189,0.43,4.33,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
Heb4_1.35_1.35,Heb4,1.35,1.35,1.5,12.51,0.0024100000000000002,0.39,5.13,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
MPA1_1.35_1.35,MPA1,1.35,1.35,2,12.49,0.00364,0.3,3.6,1.0,2.7,1.1752432604497676,610.7469904182369,8.188688415833818,8.188688415833818,114.111654881817,610.746990418237,0.11116922395567136,610.7469904182369,0.11116922395567136,1.35,1.35,0.16485909698150447,0.16485909698150447,1.489517944108494,1.489517944108494
MPA1_1.35_1.35,MPA1,1.35,1.35,1.5,12.49,0.0044800000000000005,0.29,4.35,1.0,2.7,1.1752432604497676,610.7469904182369,8.188688415833818,8.188688415833818,114.111654881817,610.746990418237,0.11116922395567136,610.7469904182369,0.11116922395567136,1.35,1.35,0.16485909698150447,0.16485909698150447,1.489517944108494,1.489517944108494
Heb5_1.35_1.35,Heb5,1.35,1.35,2,12.38,0.00263,0.43,5.93,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
Heb5_1.35_1.35,Heb5,1.35,1.35,1.5,12.38,0.0029,0.38,5.89,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
eosC_1.35_1.35_x,eosC,1.35,1.35,1.5,12.06,0.00309,0.27,2.49,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
ENG_1.35_1.35,ENG,1.35,1.35,2,12.05,0.00529,0.29,5.01,1.0,2.7,1.1752432604497676,479.6732475967039,7.910751268101015,7.910751268101015,89.76430396823677,479.67324759670396,0.10394452130922407,479.6732475967039,0.10394452130922407,1.35,1.35,0.17065601091020066,0.17065601091020066,1.4946218742656596,1.4946218742656596
ENG_1.35_1.35,ENG,1.35,1.35,1.5,12.05,0.00632,0.26,5.3,1.0,2.7,1.1752432604497676,479.6732475967039,7.910751268101015,7.910751268101015,89.76430396823677,479.67324759670396,0.10394452130922407,479.6732475967039,0.10394452130922407,1.35,1.35,0.17065601091020066,0.17065601091020066,1.4946218742656596,1.4946218742656596
APR3_1.35_1.35,APR3,1.35,1.35,2,12.04,0.0046500000000000005,0.3,4.69,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
APR3_1.35_1.35,APR3,1.35,1.35,1.5,12.04,0.00615,0.27,5.5,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
Heb3_1.35_1.35,Heb3,1.35,1.35,2,12.03,0.00299,0.41,6.43,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
Heb3_1.35_1.35,Heb3,1.35,1.35,1.5,12.03,0.0037,0.37,6.93,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
BurgioNN_1.35_1.35,BurgioNN,1.35,1.35,2,11.99,0.0024700000000000004,0.39,4.73,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
BurgioNN_1.35_1.35,BurgioNN,1.35,1.35,1.5,11.99,0.00244,0.37,4.67,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
SLy4_1.35_1.35,SLy4,1.35,1.35,2,11.79,0.0039900000000000005,0.29,3.75,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
SLy4_1.35_1.35,SLy4,1.35,1.35,1.5,11.79,0.0064,0.27,5.53,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
BSk20_1.35_1.35,BSk20,1.35,1.35,2,11.74,0.00468,0.31,4.9,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
BSk20_1.35_1.35,BSk20,1.35,1.35,1.5,11.74,0.00783,0.26,6.8,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
ALF4_1.35_1.35_x,ALF4,1.35,1.35,2,11.6,0.0057,0.3,6.07,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
ALF4_1.35_1.35_x,ALF4,1.35,1.35,1.5,11.6,0.0074,0.29,7.65,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
Heb2_1.35_1.35,Heb2,1.35,1.35,2,11.42,0.00495,0.34,7.9,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
Heb2_1.35_1.35,Heb2,1.35,1.35,1.5,11.42,0.00501,0.37,9.07,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
APR_1.35_1.35,APR,1.35,1.35,2,11.33,0.00596,0.31,6.37,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
APR_1.35_1.35,APR,1.35,1.35,1.5,11.33,0.00738,0.3,7.9,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
BB2_1.35_1.35_x,BB2,1.35,1.35,2,11.3,0.00495,0.28,4.17,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
eosUU_1.35_1.35,eosUU,1.35,1.35,2,11.18,0.007019999999999999,0.32,7.8,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
eosUU_1.35_1.35,eosUU,1.35,1.35,1.5,11.18,0.00942,0.31,10.0,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
Heb1_1.35_1.35,Heb1,1.35,1.35,2,10.81,0.006849999999999999,0.31,8.54,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
Heb1_1.35_1.35,Heb1,1.35,1.35,1.5,10.81,0.01088,0.32,12.54,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
eosAU_1.35_1.35,eosAU,1.35,1.35,2,10.44,0.00405,0.36,5.64,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
eosAU_1.35_1.35,eosAU,1.35,1.35,1.5,10.44,0.00151,0.29,1.69,1.0,2.7,1.1752432604497676,,,,,,,,,,,,,,
NL3_1.2_1.5,NL3,1.2,1.5,full,14.75,0.00795,0.19,4.5,1.25,2.7,1.166516134976123,3196.452619203136,10.01164175247411,9.954754436969301,324.5479630502456,1732.6585575497568,0.12144848432397126,928.5319655347856,0.10491077432997982,1.2,1.5,0.12054209666884388,0.14982573993533668,1.6490548963253515,1.2943256864794253
GS1_1.2_1.5,GS1,1.2,1.5,full,14.72,0.00643,0.22,6.55,1.25,2.7,1.166516134976123,,,,,,,,,,,,,,
Shen_1.2_1.5,Shen,1.2,1.5,full,14.56,0.00566,0.3,8.33,1.25,2.7,1.166516134976123,,,,,,,,,,,,,,
TM1_1.2_1.5,TM1,1.2,1.5,full,14.49,0.00866,0.17,3.94,1.25,2.7,1.166516134976123,2846.2587155541114,9.763853058031055,9.83284302208868,279.85316738251333,1488.1401887450754,0.1155392392128201,747.5883496933715,0.09584981032848382,1.2,1.5,0.12204084348438092,0.15363227753131523,1.6506378466205638,1.2945953709057443
TMA_1.2_1.5,TMA,1.2,1.5,full,13.86,0.01021,0.2,6.4,1.25,2.7,1.166516134976123,2410.53524376261,9.61258747375131,9.75750709573071,234.1339874039325,1246.643640148619,0.10141785895333567,613.3253453808679,0.08504564464599554,1.2,1.5,0.12297997213592544,0.1560459276965806,1.6604971319947184,1.3013479554174807
LS375_1.2_1.5,LS375,1.2,1.5,full,13.56,0.00666,0.27,7.6,1.25,2.7,1.166516134976123,,,,,,,,,,,,,,
GS2_1.2_1.5,GS2,1.2,1.5,full,13.38,0.01069,0.18,6.14,1.25,2.7,1.166516134976123,,,,,,,,,,,,,,
DD2_1.2_1.5,DD2,1.2,1.5,full,13.21,0.00879,0.2,4.97,1.25,2.7,1.166516134976123,1630.6572700919949,8.966196383708926,8.903154519755565,165.49915411760918,884.696999549822,0.10874603741313509,474.82854949515286,0.0920713972111293,1.2,1.5,0.1347788080478281,0.1672953533929246,1.6681899227495909,1.3053174013104192
LS220_1.2_1.5,LS220,1.2,1.5,full,12.64,0.01322,0.18,7.34,1.25,2.7,1.166516134976123,1441.4009860796746,8.534142192218924,8.658664558397465,135.46471494984112,720.6279642561165,0.11032930423268447,330.8039028354764,0.083059619950544,1.2,1.5,0.13859290855590764,0.17576910649521924,1.689386358391032,1.3203316559529197
LS180_1.2_1.5_x,LS180,1.2,1.5,full,12.14,0.01858,0.2,12.13,1.25,2.7,1.166516134976123,,,,,,,,,,,,,,
SFHX_1.2_1.5,SFHX,1.2,1.5,full,11.98,0.01467,0.19,7.91,1.25,2.7,1.166516134976123,,,,,,,,,,,,,,
SFHO_1.2_1.5,SFHO,1.2,1.5,full,11.92,0.01339,0.22,8.94,1.25,2.7,1.166516134976123,872.0148034875672,8.011786872510182,8.100604490525653,83.06193125661892,442.43272791458907,0.0928914799490085,209.49864775986168,0.0722878611103052,1.2,1.5,0.1481355184135977,0.18722665569380126,1.6860505081738548,1.314401087566887
NL3_1.2_1.2,NL3,1.2,1.2,full,14.75,0.00215,0.17,0.91,1.0,2.4,1.044660675955349,3196.452619203136,9.954754436969301,9.954754436969301,596.4971957943609,3196.452619203136,0.12144848432397126,3196.452619203136,0.12144848432397126,1.2,1.2,0.12054209666884388,0.12054209666884388,1.2943256864794253,1.2943256864794253
NL3_1.2_1.35,NL3,1.2,1.35,full,14.75,0.00425,0.21,2.74,1.1250000000000002,2.55,1.10764597233269,3196.452619203136,9.987064326435236,9.954754436969301,433.7772425435404,2326.3872077293818,0.12144848432397126,1691.160946903235,0.11351434122460358,1.2,1.35,0.12054209666884388,0.13517091533706113,1.4699479183542956,1.2943256864794253
NL3_1.2_1.6,NL3,1.2,1.6,full,14.75,0.00996,0.19,5.57,1.3333333333333335,2.8,1.2037855641844286,3196.452619203136,10.027509684586983,9.954754436969301,271.2204825053492,1446.798790852278,0.12144848432397126,639.8912493484772,0.09871973635395796,1.2,1.6,0.12054209666884388,0.15955951106843058,1.7706005930095867,1.2943256864794253
NL3_1.2_1.8,NL3,1.2,1.8,full,14.75,0.01568,0.15,5.75,1.5,3.0,1.2742305105539213,3196.452619203136,10.040175937924866,9.954754436969301,194.96707987023285,1034.0036353812743,0.12144848432397126,311.82289116815747,0.08640836764740609,1.2,1.8,0.12054209666884388,0.17927984847942754,2.018978514919499,1.2943256864794253
NL3_1.35_1.5,NL3,1.35,1.5,full,14.75,0.00272,0.24,2.25,1.111111111111111,2.85,1.2384715786481404,1691.160946903235,10.01164175247411,9.987064326435236,234.3276819415092,1256.0769892420874,0.11351434122460358,928.5319655347856,0.10491077432997982,1.35,1.5,0.13517091533706113,0.14982573993533668,1.6490548963253515,1.4699479183542956
NL3_1.35_1.8,NL3,1.35,1.8,full,14.75,0.01881,0.21,11.31,1.3333333333333333,3.1500000000000004,1.3542587597074824,1691.160946903235,10.040175937924866,9.987064326435236,139.62653785873908,745.4221749889338,0.11351434122460358,311.82289116815747,0.08640836764740609,1.35,1.8,0.13517091533706113,0.17927984847942754,2.018978514919499,1.4699479183542956
NL3_1.5_1.5,NL3,1.5,1.5,full,14.75,0.0017,0.2,1.04,1.0,3.0,1.3058258449441862,928.5319655347856,10.01164175247411,10.01164175247411,173.69925250713626,928.5319655347856,0.10491077432997982,928.5319655347856,0.10491077432997982,1.5,1.5,0.14982573993533668,0.14982573993533668,1.6490548963253515,1.6490548963253515
NL3_1.5_1.8,NL3,1.5,1.8,full,14.75,0.0081,0.21,4.94,1.2,3.3,1.4292739243441488,928.5319655347856,10.040175937924866,10.01164175247411,102.25609452536486,545.3231673698859,0.10491077432997982,311.82289116815747,0.08640836764740609,1.5,1.8,0.14982573993533668,0.17927984847942754,2.018978514919499,1.6490548963253515
NL3_1.6_1.6,NL3,1.6,1.6,full,14.75,0.0037400000000000003,0.22,2.59,1.0,3.2,1.3928809012737988,639.8912493484772,10.027509684586983,10.027509684586983,119.31650280512977,639.8912493484773,0.09871973635395796,639.8912493484772,0.09871973635395796,1.6,1.6,0.15955951106843058,0.15955951106843058,1.7706005930095867,1.7706005930095867
NL3_1.8_1.8,NL3,1.8,1.8,full,14.75,0.00908,0.24,7.25,1.0,3.6,1.5669910139330236,311.82289116815747,10.040175937924866,10.040175937924866,58.31878017917006,311.8228911681575,0.08640836764740609,311.82289116815747,0.08640836764740609,1.8,1.8,0.17927984847942754,0.17927984847942754,2.018978514919499,2.018978514919499
NL3_1.35_2.0,NL3,1.35,2.0,full,14.75,0.01285,0.2,7.62,1.4814814814814814,3.35,1.4249817329254635,1691.160946903235,10.030840994902999,9.987064326435236,103.26786827038366,548.6174455036645,0.11351434122460358,156.84358789758596,0.07403225808210519,1.35,2.0,0.13517091533706113,0.1993891358805168,2.2751917583863444,1.4699479183542956
NL3_2.0_2.0,NL3,2.0,2.0,full,14.75,0.00191,0.29,2.18,1.0,4.0,1.7411011265922482,156.84358789758596,10.030840994902999,10.030840994902999,29.364563743645032,156.843587897586,0.07403225808210519,156.84358789758596,0.07403225808210519,2.0,2.0,0.1993891358805168,0.1993891358805168,2.2751917583863444,2.2751917583863444
DD2_1.2_1.2,DD2,1.2,1.2,full,13.21,0.00309,0.17,1.37,1.0,2.4,1.044660675955349,1630.6572700919949,8.903154519755565,8.903154519755565,305.643664106259,1630.6572700919949,0.10874603741313509,1630.6572700919949,0.10874603741313509,1.2,1.2,0.1347788080478281,0.1347788080478281,1.3053174013104192,1.3053174013104192
DD2_1.2_1.35,DD2,1.2,1.35,full,13.21,0.00317,0.2,2.06,1.1250000000000002,2.55,1.10764597233269,1630.6572700919949,8.944044699630894,8.903154519755565,222.11479967883776,1186.1418597386719,0.10874603741313509,861.6418564732923,0.10082195779650394,1.2,1.35,0.1347788080478281,0.15093883418065324,1.4845915368061842,1.3053174013104192
DD2_1.2_1.6,DD2,1.2,1.6,full,13.21,0.0109,0.2,6.39,1.3333333333333335,2.8,1.2037855641844286,1630.6572700919949,8.973161535601458,8.903154519755565,137.783361354806,731.9377620422281,0.10874603741313509,318.2488442527337,0.08581858585527204,1.2,1.6,0.1347788080478281,0.17831142729850144,1.7929109761846904,1.3053174013104192
DD2_1.2_1.8,DD2,1.2,1.8,full,13.21,0.017079999999999998,0.17,6.72,1.5,3.0,1.2742305105539213,1630.6572700919949,8.964845812930339,8.903154519755565,98.11170612854241,518.4796878207015,0.10874603741313509,148.61120811217066,0.07238208854679166,1.2,1.8,0.1347788080478281,0.20078535978664944,2.049267478988201,1.3053174013104192
DD2_1.35_1.5,DD2,1.35,1.5,full,13.21,0.00357,0.25,3.13,1.111111111111111,2.85,1.2384715786481404,861.6418564732923,8.966196383708926,8.944044699630894,119.27483065848116,640.9907220750677,0.10082195779650394,474.82854949515286,0.0920713972111293,1.35,1.5,0.15093883418065324,0.1672953533929246,1.6681899227495909,1.4845915368061842
DD2_1.35_1.8,DD2,1.35,1.8,full,13.21,0.01485,0.21,9.48,1.3333333333333333,3.1500000000000004,1.3542587597074824,861.6418564732923,8.964845812930339,8.944044699630894,69.88835881892135,372.0956034003998,0.10082195779650394,148.61120811217066,0.07238208854679166,1.35,1.8,0.15093883418065324,0.20078535978664944,2.049267478988201,1.4845915368061842
DD2_1.5_1.5,DD2,1.5,1.5,full,13.21,0.00538,0.26,4.66,1.0,3.0,1.3058258449441862,474.82854949515286,8.966196383708926,8.966196383708926,87.82443276486315,474.82854949515286,0.0920713972111293,474.82854949515286,0.0920713972111293,1.5,1.5,0.1672953533929246,0.1672953533929246,1.6681899227495909,1.6681899227495909
DD2_1.5_1.8,DD2,1.5,1.8,full,13.21,0.01884,0.25,15.52,1.2,3.3,1.4292739243441488,474.82854949515286,8.964845812930339,8.966196383708926,50.568179462501455,271.7742616001668,0.0920713972111293,148.61120811217066,0.07238208854679166,1.5,1.8,0.1672953533929246,0.20078535978664944,2.049267478988201,1.6681899227495909
DD2_1.6_1.6,DD2,1.6,1.6,full,13.21,0.0078,0.27,7.4,1.0,3.2,1.3928809012737988,318.2488442527337,8.973161535601458,8.973161535601458,59.510758428009154,318.2488442527337,0.08581858585527204,318.2488442527337,0.08581858585527204,1.6,1.6,0.17831142729850144,0.17831142729850144,1.7929109761846904,1.7929109761846904
