name,Tullio_Data,Satus,comment,resolution,dyn_phase,EOS,M1,M2,Mb1,Mb2,Mb,Mg1,Mg2,R1,R2,C1,C2,k21,k22,lam21,lam22,Lambda,k2T,tend,fate,MADM,EGW,JADM,JGW,f0,fpeak,tmerg_r,tcoll,tend,Mdisk,Mdisk3D,Mej,dMej,Munb,Munb_bern,ThetaRMS,Yeej,Sej,vej,Ekej
BHBlp_M13641364_M0_LK_SR,,,R04,,passed,BHBlp,1.364,1.364,1.4873e+00,1.4873e+00,2.9746,1.35225890291,1.35225890291,8.94038740121,8.94038740121,0.151252793847,0.151252793847,0.10081970336,0.10081970336,849.055826418,849.055826418,849.055826417571,159.19829098442793,0.019813517690437862,,2.70358,0.000114115671542,7.40525,-0.00149979311834,282.6480380851897,398.39513677799999,1.7104693787887615e-05,-1.7104693787887615e-05,0.019813517690437862,8.6719184771898595e-05,nan,0.0,0.0,0.0,8.5628423780237695e-05,nan,nan,nan,nan,nan
BHBlp_M14931248_M0_LK_SR,,,R04,,passed,BHBlp,1.493,1.248,1.6436e+00,1.3493e+00,2.9928999999999997,1.48017676869,1.23712723256,8.95229350175,8.91203955182,0.165340511369,0.138815506331,0.0929542088968,0.107100688536,501.512148074,1385.21335752,838.6561901170217,157.56380922548894,0.022343405987426943,,2.71648,0.000115463390907,7.40566,-0.00150716473166,283.16688319966926,398.39513677799999,1.6620539129940612e-05,-1.6620539129940612e-05,0.022343405987426943,8.6723106798701721e-05,nan,0.0,0.0,0.0,8.577921400485303e-05,nan,nan,nan,nan,nan
DD2_M13641364_M0_HR,,,R01,,not passed,DD2,1.364,1.364,1.4906e+00,1.4906e+00,2.9812,1.35501818315,1.35501818315,8.94107914676,8.94107914676,0.151549928553,0.151549928553,0.100775833724,0.100775833724,840.410237324,840.410237324,840.4102373236123,157.57515136964088,0.01929335374152422,,2.70514,0.037340837435899998,7.4276,1.4881682376100001,283.3276296921921,2639.36778116,0.012702011902522868,inf,0.01929335374152422,nan,nan,0.00057504599999999996,0.19578058074320981,0.00069943431681359974,0.0036934526940918229,29.10431584347157,0.2163516937504554,22.7808290745436,0.21804054341016199,0.02443461976172509
DD2_M13641364_M0_HR_R04,,,R04,,not passed,DD2,1.364,1.364,1.4873e+00,1.4873e+00,2.9746,1.35229088177,1.35229088177,8.94091043164,8.94091043164,0.151247857097,0.151247857097,0.100905720279,0.100905720279,849.935135478,849.935135478,849.9351354777668,159.36012022924925,0.017654049175250919,,2.70356,0.047765462475199999,7.4056,1.7715168266400001,282.6591789312061,2689.1671732499999,0.009525859305368348,inf,0.017654049175250919,nan,nan,0.00055948,0.064583483861500326,0.00066912928174903282,0.0063034716938185726,35.13563440639291,0.23913897433230139,30.314155291645815,0.21157638334524917,0.022384524170492668
DD2_M13641364_M0_LK_HR_R04,,,R04,,not passed,DD2,1.364,1.364,1.4873e+00,1.4873e+00,2.9746,1.35229088177,1.35229088177,8.94091043164,8.94091043164,0.151247857097,0.151247857097,0.100905720279,0.100905720279,849.935135478,849.935135478,849.9351354777668,159.36012022924925,0.023517715508459259,,2.70356,0.051448574220299997,7.4056,1.79696381499,282.6591789312061,2589.5683890599998,0.008217568161131004,inf,0.023517715508459259,nan,nan,0.0011919700000000001,0.0025376614484014974,0.0018362171726185601,0.019761412979155721,39.76735214559578,0.26015835422821232,25.519887892648303,0.15858953464089698,0.026794258389066478
DD2_M13641364_M0_LK_LR_R04,,,R04,,passed,DD2,1.364,1.364,1.4873e+00,1.4873e+00,2.9746,1.35229088177,1.35229088177,8.94091043164,8.94091043164,0.151247857097,0.151247857097,0.100905720279,0.100905720279,849.935135478,849.935135478,849.9351354777668,159.36012022924925,0.13048233845779206,,2.70356,0.0463131470979,7.4056,1.62018380833,282.6591789312061,2589.5683890599998,0.007484609869479961,inf,0.13048233845779206,nan,nan,0.0009234,0.0,3.2670156988420965e-05,0.017054845639985862,38.33748272322319,0.26722850068548026,27.953776769005852,0.15721353673976607,0.020398511209855277
DD2_M13641364_M0_LK_SR_R04,,,R04,,passed,DD2,1.364,1.364,1.4873e+00,1.4873e+00,2.9746,1.35229088177,1.35229088177,8.94091043164,8.94091043164,0.151247857097,0.151247857097,0.100905720279,0.100905720279,849.935135478,849.935135478,849.9351354777668,159.36012022924925,0.058825813858961094,,2.70356,0.049181120296399997,7.4056,1.7430104878299999,282.6591789312061,2489.9696048599999,0.0077722762957731124,inf,0.058825813858961094,nan,nan,0.0014590600000000001,0.0,0.0018631254538395826,0.025817677585338563,39.10483596757658,0.27956244049051204,25.994179239051167,0.15358199686270613,0.030759625088874476
DD2_M13641364_M0_LR,,,R01,,passed,DD2,1.364,1.364,1.4906e+00,1.4906e+00,2.9812,1.35501818315,1.35501818315,8.94107914676,8.94107914676,0.151549928553,0.151549928553,0.100775833724,0.100775833724,840.410237324,840.410237324,840.4102373236123,157.57515136964088,0.050093364534774483,,2.70514,0.045105535127099999,7.4276,1.7365820949599999,283.3276296921921,2639.36778116,0.012181847953609222,inf,0.050093364534774483,nan,nan,0.00076971699999999995,0.0,0.0012298437496043187,0.022516925656494734,32.84142858501321,0.2065052696294099,22.11798858125778,0.17345057645082546,0.02069718031080179
DD2_M13641364_M0_LR_R04,,,R04,,passed,DD2,1.364,1.364,1.4873e+00,1.4873e+00,2.9746,1.35229088177,1.35229088177,8.94091043164,8.94091043164,0.151247857097,0.151247857097,0.100905720279,0.100905720279,849.935135478,849.935135478,849.9351354777668,159.36012022924925,0.10110095661612445,,2.70356,0.0523472143449,7.4056,1.89410162765,282.6591789312061,2489.9696048599999,0.009139676979659735,inf,0.10110095661612445,nan,nan,0.0011964499999999999,0.0,0.0017530378407728394,0.026757738071676192,37.56288409470248,0.24802886515156383,25.205600927911735,0.17210754467299094,0.031675406240879014
DD2_M13641364_M0_SR,,,R01,,passed,DD2,1.364,1.364,1.4906e+00,1.4906e+00,2.9812,1.35501818315,1.35501818315,8.94107914676,8.94107914676,0.151549928553,0.151549928553,0.100775833724,0.100775833724,840.410237324,840.410237324,840.4102373236123,157.57515136964088,0.10951815506218159,,2.70514,0.0422045610488,7.4276,1.7400962070099999,283.3276296921921,2390.3708206699998,0.01240646420427648,inf,0.10951815506218159,nan,nan,0.0026335500000000001,0.0,0.00046021052132079162,0.017556100138146076,32.700278484096586,0.22638506493647623,18.455296805338797,0.14169050111738907,0.04725541514582203
DD2_M13641364_M0_SR_R04,,,R04,,passed,DD2,1.364,1.364,1.4873e+00,1.4873e+00,2.9746,1.35229088177,1.35229088177,8.94091043164,8.94091043164,0.151247857097,0.151247857097,0.100905720279,0.100905720279,849.935135478,849.935135478,849.9351354777668,159.36012022924925,0.087174749074754643,,2.70356,0.047931755717900003,7.4056,1.7874287852499999,282.6591789312061,2539.7689969600001,0.009320946234584187,inf,0.087174749074754643,nan,nan,0.00102604,0.0,0.0012190687818710185,0.018455372634401446,36.81575205910952,0.24381166099236384,26.098977142119214,0.18772360350668593,0.03231690970280169
DD2_M14321300_M0_LR,,,R04,,passed,DD2,1.432,1.3,1.5689e+00,1.4109e+00,2.9798,1.41942345634,1.28880146176,8.95409813313,8.93021914394,0.158522014867,0.144319142181,0.0970220421932,0.104133353214,646.137716773,1108.86633759,847.6635642501841,159.02814694469785,0.050944541905724075,,2.70722,0.045180777377399998,7.4062,1.72807371425,282.8469817640546,2440.17021277,0.009265628294598687,inf,0.050944541905724075,nan,nan,0.00124406,0.0,0.0015868644635563436,0.018191733968893509,35.313538573938125,0.25194762725510267,24.760454167765221,0.15981402220632443,0.028398670293588633
