model,EOS,resolution,M1,M2,R1.35,deltax,N,Mej,Yeej,q,Mtot,Mchirp,Lambda,C1,C2,vej,lam22,R1,R2,k2T,k22,lam21,k21,Mg2,Mg1,Mb1,Mb2
1,SFHo,high,1.35,1.35,11.9,150,285,0.011,0.31,1,2.7,1.17524326044977,422.557415572954,0.167350683274021,0.167350683274021,,422.557415572954,8.06692480398577,8.06692480398577,79.1286113277824,0.08309233827331,422.557415572954,0.08309233827331,1.35,1.35,1.49749134491103,1.49749134491103
2,SFHo,low,1.35,1.35,11.9,250,160,0.013,0.32,1,2.7,1.17524326044977,422.557415572954,0.167350683274021,0.167350683274021,,422.557415572954,8.06692480398577,8.06692480398577,79.1286113277824,0.08309233827331,422.557415572954,0.08309233827331,1.35,1.35,1.49749134491103,1.49749134491103
3,SFHo,no-heat,1.35,1.35,11.9,250,160,0.01,0.29,1,2.7,1.17524326044977,422.557415572954,0.167350683274021,0.167350683274021,,422.557415572954,8.06692480398577,8.06692480398577,79.1286113277824,0.08309233827331,422.557415572954,0.08309233827331,1.35,1.35,1.49749134491103,1.49749134491103
4,DD2,high,1.35,1.35,13.2,160,285,0.0021,0.29,1,2.7,1.17524326044977,861.641856473293,0.150938834180653,0.150938834180653,,861.641856473292,8.94404469963089,8.94404469963089,160.86448877575,0.100821957796504,861.641856473292,0.100821957796504,1.35,1.35,1.48459153680618,1.48459153680618
5,DD2,low,1.35,1.35,13.2,270,160,0.0019,0.29,1,2.7,1.17524326044977,861.641856473293,0.150938834180653,0.150938834180653,,861.641856473292,8.94404469963089,8.94404469963089,160.86448877575,0.100821957796504,861.641856473292,0.100821957796504,1.35,1.35,1.48459153680618,1.48459153680618
6,DD2,no-heat,1.35,1.35,13.2,270,160,0.0009,0.26,1,2.7,1.17524326044977,861.641856473293,0.150938834180653,0.150938834180653,,861.641856473292,8.94404469963089,8.94404469963089,160.86448877575,0.100821957796504,861.641856473292,0.100821957796504,1.35,1.35,1.48459153680618,1.48459153680618
7,TM1,high,1.35,1.35,14.5,200,285,0.0012,0.26,1,2.7,1.17524326044977,1437.16204323131,0.137625620953502,0.137625620953502,,1437.16204323131,9.80926335367863,9.80926335367863,268.900075474604,0.106212924867569,1437.16204323131,0.106212924867569,1.35,1.35,1.47068180444379,1.47068180444379
8,TM1,low,1.35,1.35,14.5,300,160,0.0008,0.25,1,2.7,1.17524326044977,1437.16204323131,0.137625620953502,0.137625620953502,,1437.16204323131,9.80926335367863,9.80926335367863,268.900075474604,0.106212924867569,1437.16204323131,0.106212924867569,1.35,1.35,1.47068180444379,1.47068180444379
