,dset_name,EOS,M1,M2,q,C1,C2,Lambda,Mej_tot-geo,vel_inf_ave-geo,Ye_ave-geo,Mdisk3D
BLh_M13641364_M0_LK,Reference set,,1.364,1.364,1.0,0.162007028884121,0.162007028884121,540.648098644176,0.001426721875296,0.165895788727698,0.270696222952374,0.16648681794412198
BLh_M13641364_M0,Reference set,,1.364,1.364,1.0,0.162007028884121,0.162007028884121,540.648098644176,0.002362421977102,0.183734746325312,0.257743195556961,0.18187093762335896
BLh_M12591482_M0_LK,Reference set,,1.2590000000000001,1.482,1.17712470214456,0.15057908170718698,0.17525031499772598,538.824502850194,0.003010088576703,0.18936842553002997,0.17900762279776897,0.18350431709377804
BLh_M12591482_M0,Reference set,,1.2590000000000001,1.482,1.17712470214456,0.15057908170718698,0.17525031499772598,538.824502850194,0.0025450300316319997,0.19767589551101397,0.163422111619107,0.22853514634900599
BLh_M11841581_M0_LK,Reference set,,1.1840000000000002,1.581,1.33530405405405,0.142520875345728,0.186480934700676,538.3722167393261,0.0025433988787040003,0.173501210561285,0.13963629135518502,0.19211098845199
BLh_M11841581_M0,Reference set,,1.1840000000000002,1.581,1.33530405405405,0.142520875345728,0.186480934700676,538.3722167393261,0.001855930064982,0.16882815041696,0.173608989552516,0.206173533366786
BLh_M11461635_M0_LK,Reference set,,1.146,1.635,1.4267015706806299,0.13868038405659303,0.192700212312226,539.409404558583,0.002657789574799,0.155736756613989,0.19178319798208102,0.265352063844384
BLh_M11041699_M0_LK,Reference set,,1.104,1.699,1.53894927536232,0.134487010989467,0.19998276787837196,539.670944594676,0.001974871427138,0.132817331684383,0.171913865689647,0.307516857429787
Blh_M11041699_M0,Reference set,,1.104,1.699,1.53894927536232,0.134487010989467,0.19998276787837196,539.670944594676,0.0021562178969939997,0.15614714124237697,0.20788962155423,0.28323754585451505
BLh_M10651772_M0_LK,Reference set,,1.065,1.7719999999999998,1.6638497652582198,0.130752602056933,0.208388932720595,534.6950583526869,0.004182660475845,0.12064045032906501,0.10979671279200301,0.28853011701080294
BLh_M10201856_M0,Reference set,,1.02,1.8559999999999999,1.81960784313725,0.126898342883565,0.218060646274975,532.01554720715,0.010705631866259,0.11792383529636,0.028135364220352996,0.097585980780423
BLh_M10201856_M0_LK,Reference set,,1.02,1.8559999999999999,1.81960784313725,0.126898342883565,0.218060646274975,532.01554720715,0.008106402246154,0.11370644847777499,0.032542795049124995,0.170260149445822
DD2_M13641364_M0_R04,Reference set,,1.364,1.364,1.0,0.15248242622617802,0.15248242622617802,850.062970413224,0.0009362630703680001,0.190339974759067,0.243762498998053,0.153505985154693
DD2_M13641364_M0_LK_R04,Reference set,,1.364,1.364,1.0,0.15248242622617802,0.15248242622617802,850.062970413224,0.00120814554297,0.15641314945711,0.268831953893527,0.111221484737975
DD2_M14971245_M0,Reference set,,1.4969999999999999,1.246,1.20144462279294,0.16696988427337803,0.139742279473106,841.302937496367,0.002126483543856,0.16830798121953,0.175882357896414,0.261330405801655
DD2_M15091235_M0_LK,Reference set,,1.5090000000000001,1.235,1.2218623481781399,0.168277465527789,0.13856622406310098,839.669207813744,0.002532166756917,0.17397382322424804,0.190964564452647,0.20910262510383104
DD2_M11461635_M0_LK,Reference set,,1.146,1.635,1.4267015706806299,0.12768938715769002,0.183966271267518,815.976596466721,0.006969548707114999,0.13798751263152698,0.136129543195659,0.303654981801864
LS220_M13641364_M0_LK,Reference set,,1.364,1.364,1.0,0.15836049834677599,0.15836049834677599,714.906256852722,0.00158931558884,0.161178241709346,0.245188482612554,0.07266462637019701
LS220_M13641364_M0,Reference set,,1.364,1.364,1.0,0.15836049834677599,0.15836049834677599,714.906256852722,0.0016352224063870002,0.162531087748819,0.219403905929663,0.072006555584974
LS220_M14001330_M0,Reference set,,1.4,1.33,1.0526315789473701,0.162769379109709,0.154129180624548,714.579081873245,0.00156341668007,0.15606519307284197,0.21065951015319,0.072717887349427
LS220_M14351298_M0,Reference set,,1.435,1.298,1.1055469953775001,0.167093972575091,0.15031249006975198,714.22625110537,0.002202567881318,0.17677456667012698,0.18807830487138397,0.094729167642072
LS220_M14691268_M0_LK,Reference set,,1.469,1.268,1.15851735015773,0.171473987485504,0.146714295210655,713.8431199676421,0.0034118613902279996,0.16447773246453198,0.218832220686442,0.127629934344441
LS220_M14691268_M0,Reference set,,1.469,1.268,1.15851735015773,0.171473987485504,0.146714295210655,713.8431199676421,0.0033491300764530003,0.172338913707176,0.17073700149703902,
LS220_M11461635_M0_LK,Reference set,,1.635,1.146,1.4267015706806299,0.19344887221205498,0.132177651498807,710.6439840617289,0.007293558579775999,0.17183884406645902,0.158115716630331,0.177803266909905
LS220_M10651772_M0_LK,Reference set,,1.065,1.7719999999999998,1.6638497652582198,0.12834142357766098,0.20435676530250502,705.769148780686,0.011122785037680001,0.14236083096085,0.06505274357486,0.068401402801278
SFHo_M13641364_M0_LK_p2019,Reference set,,1.364,1.364,1.0,0.16912996456136997,0.16912996456136997,413.12637196120596,0.004026821168242,0.192096590732316,0.20991388813066103,3.00952566368862e-05
SFHo_M13641364_M0,Reference set,,1.364,1.364,1.0,0.16912996456136997,0.16912996456136997,413.12637196120596,0.0028436908739090006,0.210953877837191,0.22959634523294398,0.018550733311038996
SFHo_M14521283_M0_LK_p2019,Reference set,,1.452,1.2830000000000001,1.13172252533125,0.18074196972173798,0.158730812339697,412.305792697835,0.004356937630760001,0.22511559275645002,0.1772026019896,
SFHo_M14521283_M0,Reference set,,1.452,1.2830000000000001,1.13172252533125,0.18074196972173798,0.158730812339697,412.305792697835,0.004198903637485999,0.22221711362485996,0.171751881664091,0.04587369962309
SFHo_M16351146_M0_LK_p2019,Reference set,,1.635,1.146,1.4267015706806299,0.205715964403957,0.141299290238338,414.31510183858103,0.003782660851939,0.203696529997762,0.144907736166862,0.13372722061144
SFHo_M11461635_M0_LK,Reference set,,1.146,1.635,1.4267015706806299,0.14418990532534198,0.201591919319094,414.31510183858103,0.0023532264454820006,0.14014139448512802,0.188821358589811,0.236334092449397
SFHo_M10651772_M0_LK,Reference set,,1.065,1.7719999999999998,1.6638497652582198,0.13581806162805402,0.21819868609204102,407.98872218748,0.0014516550845979999,0.11964022088274699,0.069638639794979,0.17728817277372402
SLy4_M13641364_M0_LK,Reference set,,1.364,1.364,1.0,0.17108808555037,0.17108808555037,401.94021372120903,0.0008685654265560001,0.267186369534498,0.225115020270287,
SLy4_M13641364_M0,Reference set,,1.364,1.364,1.0,0.17108808555037,0.17108808555037,401.94021372120903,0.0035675292144140003,0.262017879871167,0.227722110978316,0.071042259248417
SLy4_M14521283_M0,Reference set,,1.452,1.2830000000000001,1.13172252533125,0.18285030227382898,0.160382090938138,402.27858991210604,0.005910771338012,0.24083990738036104,0.163446452265988,0.16385814154569697
SLy4_M11461635_M0_LK,Reference set,,1.146,1.635,1.4267015706806299,0.14625973479362397,0.20354269730088898,399.534784783973,0.001966385617167,0.153340918930974,0.20938497173423898,0.188731688540429
SLy4_M10651772_M0_LK,Reference set,,1.065,1.7719999999999998,1.6638497652582198,0.13801654375512198,0.22006548632585,395.039205420884,0.0028318813232140003,0.12429857165003899,0.049073800459925,0.137975506135664
D144144,Vincent:2019kor,,1.44,1.44,1.0,0.161,0.161,591.9406337078652,0.0036,0.267,0.21600000000000005,0.1
D12132,Vincent:2019kor,,1.32,1.2,1.0989010989010988,0.147,0.134,1301.8175109904635,0.0046,0.273,0.21,0.12
D12144,Vincent:2019kor,,1.44,1.2,1.2048192771084338,0.161,0.134,1003.2666659829747,0.00335,0.204,0.16399999999999998,0.16999999999999998
D12156,Vincent:2019kor,,1.56,1.2,1.2987012987012987,0.17300000000000001,0.134,813.4502120294586,0.00473,0.165,0.182,0.221
L144144,Vincent:2019kor,,1.44,1.44,1.0,0.175,0.175,340.802464896074,0.00012,0.258,0.217,0.043
L12132,Vincent:2019kor,,1.32,1.2,1.0989010989010988,0.161,0.146,787.2792225149145,0.00094,0.22399999999999998,0.205,0.121
L12144,Vincent:2019kor,,1.44,1.2,1.2048192771084338,0.175,0.146,616.6359544104284,0.00384,0.196,0.19399999999999998,0.16399999999999998
L12156,Vincent:2019kor,,1.56,1.2,1.2987012987012987,0.191,0.146,480.49407774300346,0.00234,0.135,0.192,0.193
S144144,Vincent:2019kor,,1.44,1.44,1.0,0.179,0.179,279.31161915708833,0.0,0.0,0.0,0.086
S12132,Vincent:2019kor,,1.32,1.2,1.0989010989010988,0.163,0.14800000000000002,662.4914338518139,0.01574,0.23,0.22399999999999998,0.121
S12144,Vincent:2019kor,,1.44,1.2,1.2048192771084338,0.179,0.14800000000000002,505.2351066620316,0.008390000000000002,0.22,0.20600000000000002,0.16399999999999998
S12156,Vincent:2019kor,,1.56,1.2,1.2987012987012987,0.195,0.14800000000000002,395.1884685967274,0.018019999999999998,0.18100000000000002,0.204,0.179
BHBlp_M135135_M0,Radice:2018pdn[M0],,1.35,1.35,1.0,0.15103000000000003,0.15103000000000003,848.044957999892,0.00138836,0.144859225911,0.26224812938299996,0.1275
BHBlp_M140120_M0,Radice:2018pdn[M0],,1.4,1.2,1.1666666666666667,0.15646000000000007,0.13477000000000003,1057.59523096822,0.00160956,0.16773689762,0.19319842680500002,0.2256
DD2_M135135_M0,Radice:2018pdn[M0],,1.35,1.35,1.0,0.15103000000000003,0.15103000000000003,848.044957999892,0.0014195,0.166251706985,0.225551296204,0.1616
DD2_M140120_M0,Radice:2018pdn[M0],,1.4,1.2,1.1666666666666667,0.15646000000000007,0.13477000000000003,1057.59523096822,0.00164611,0.159595757173,0.211572203284,0.1948
LS220_M135135_M0,Radice:2018pdn[M0],,1.35,1.35,1.0,0.15686000000000003,0.15686000000000003,683.764650054587,0.00185523,0.147051125522,0.246561703806,0.0906
LS220_M140120_M0,Radice:2018pdn[M0],,1.4,1.2,1.1666666666666667,0.16308000000000006,0.13871999999999995,893.4361626421969,0.00242864,0.149788172768,0.18483941726599998,0.23379999999999998
SFHo_M135135_M0,Radice:2018pdn[M0],,1.35,1.35,1.0,0.16750000000000007,0.16750000000000007,416.18582635048597,0.00415131,0.219647104556,0.22419246258,0.0123
SFHo_M140120_M0_v4,Radice:2018pdn[M0],,1.4,1.2,1.1666666666666667,0.17405000000000007,0.14823999999999996,538.206929183586,0.00302384,0.160097161085901,0.218538548707291,
BHBlp_M125125_LK,Radice:2018pdn,,1.25,1.25,1.0,0.14018000000000003,0.14018000000000003,1295.29991380455,0.00126821,0.178573418684,0.125242271236,
BHBlp_M1251365_LK,Radice:2018pdn,,1.365,1.25,1.092,0.15265999999999996,0.14018000000000003,1016.97535763328,0.0005801609999999999,0.213024813478,0.13684679867900001,
BHBlp_M130130_LK,Radice:2018pdn,,1.3,1.3,1.0,0.14560999999999993,0.14560999999999993,1045.67396125715,0.0006587510000000001,0.119725908155,0.16337643718699998,
BHBlp_M135135_LK,Radice:2018pdn,,1.35,1.35,1.0,0.15103000000000003,0.15103000000000003,848.044957999892,0.000672403,0.166318356069,0.149520482908,0.1445
BHBlp_M140120_LK,Radice:2018pdn,,1.4,1.2,1.1666666666666667,0.15646000000000007,0.13477000000000003,1057.59523096822,0.00108822,0.160935823725,0.106069387727,0.20739999999999997
BHBlp_M140140_LK,Radice:2018pdn,,1.4,1.4,1.0,0.15646000000000007,0.15646000000000007,690.630096309075,0.000918827,0.17333781173300003,0.146825547278,0.0705
BHBlp_M144139_LK,Radice:2018pdn,,1.44,1.39,1.0359712230215827,0.16083000000000006,0.15537999999999988,650.209372648612,0.0005931619999999999,0.203279926562,0.175112251662,0.0828
BHBlp_M150150_LK,Radice:2018pdn,,1.5,1.5,1.0,0.1673900000000001,0.1673900000000001,462.552233111546,0.0005015530000000001,0.234765225914,0.172081440429,0.019299999999999998
BHBlp_M160160_LK,Radice:2018pdn,,1.6,1.6,1.0,0.17840999999999999,0.17840999999999999,313.05319876178396,1.2926800000000001e-05,0.139630525652,0.197374706127,0.0009
DD2_M120120_LK,Radice:2018pdn,,1.2,1.2,1.0,0.13477000000000003,0.13477000000000003,1612.24802950828,0.0007553439999999999,0.135433815231,0.150490086402,
DD2_M125125_LK,Radice:2018pdn,,1.25,1.25,1.0,0.14018000000000003,0.14018000000000003,1295.29991380455,0.00038238300000000003,0.149095565986,0.176457572296,
DD2_M1251365_LK,Radice:2018pdn,,1.365,1.25,1.092,0.15265999999999996,0.14018000000000003,1016.97535763328,0.000382209,0.20203442440400002,0.150393460087,
DD2_M130130_LK,Radice:2018pdn,,1.3,1.3,1.0,0.14560999999999993,0.14560999999999993,1045.67396125715,0.00120958,0.178713598481,0.127007038172,
DD2_M135135_LK,Radice:2018pdn,,1.35,1.35,1.0,0.15103000000000003,0.15103000000000003,848.044957999892,0.000293877,0.180606491386,0.182207846677,0.15689999999999998
DD2_M140120_LK,Radice:2018pdn,,1.4,1.2,1.1666666666666667,0.15646000000000007,0.13477000000000003,1057.59523096822,0.000889373,0.17865609194200002,0.12170320703299999,0.19260000000000002
DD2_M140140_LK,Radice:2018pdn,,1.4,1.4,1.0,0.15646000000000007,0.15646000000000007,690.630096309075,0.00041999,0.223043086864,0.170901852867,0.12359999999999999
DD2_M144139_LK,Radice:2018pdn,,1.44,1.39,1.0359712230215827,0.16083000000000006,0.15537999999999988,650.209372648612,0.000531682,0.197831552819,0.170668056164,0.14400000000000002
DD2_M150150_LK,Radice:2018pdn,,1.5,1.5,1.0,0.1673900000000001,0.1673900000000001,462.552233111546,0.000690053,0.167387468145,0.197331003488,0.16699999999999998
DD2_M160160_LK,Radice:2018pdn,,1.6,1.6,1.0,0.17840999999999999,0.17840999999999999,313.05319876178396,0.00123068,0.236486818059,0.141130844832,0.0196
