model,EOS,resolution,M1,M2,q,deltax,N,Mej,Yeej,vej,MBH,aBH,Mtorus,Mtot,Mchirp,lam22,R1,R2,k2T,Lambda,k22,lam21,k21,Mg2,Mg1,C2,C1,Mb1,Mb2
SFHo-135-135h,SFHo,high,1.35,1.35,1.0,150,285,0.011000000000000001,0.31,0.22,2.59,0.69,0.05,2.7,1.1752432604497676,422.5574155729537,8.066924803985765,8.066924803985765,79.12861132778238,422.5574155729538,0.08309233827330961,422.5574155729537,0.08309233827330961,1.35,1.35,0.16735068327402136,0.16735068327402136,1.497491344911032,1.497491344911032
SFHo-135-135l,SFHo,low,1.35,1.35,1.0,250,160,0.013000000000000001,0.32,0.21,2.6,0.7,0.03,2.7,1.1752432604497676,422.5574155729537,8.066924803985765,8.066924803985765,79.12861132778238,422.5574155729538,0.08309233827330961,422.5574155729537,0.08309233827330961,1.35,1.35,0.16735068327402136,0.16735068327402136,1.497491344911032,1.497491344911032
SFHo-133-137h,SFHo,high,1.37,1.33,1.0309278350515465,150,285,0.009000000000000001,0.3,0.21,2.59,0.67,0.06,2.7,1.1750884891109803,464.4953220384005,8.060907926240999,8.07132600838848,79.20354299294179,422.8988205730128,0.08452986887174946,384.55009884479676,0.08170492779496351,1.33,1.37,0.16477906049026006,0.16995601575716565,1.5223046676978105,1.4727813598191817
SFHo-130-140h,SFHo,high,1.4,1.3,1.075268817204301,150,285,0.006,0.27,0.2,2.58,0.67,0.09,2.7,1.1742757165047846,535.1008840598959,8.052435197438424,8.080017933327229,79.57145442505733,424.377260799728,0.08650846948026378,334.01689129556667,0.07952541861133006,1.3,1.4,0.16088837576701162,0.17386100344827585,1.559699584778325,1.43587070116311
SFHo-130-140l,SFHo,low,1.4,1.3,1.075268817204301,250,160,0.006,0.27,0.21,2.58,0.67,0.08,2.7,1.1742757165047846,535.1008840598959,8.052435197438424,8.080017933327229,79.57145442505733,424.377260799728,0.08650846948026378,334.01689129556667,0.07952541861133006,1.3,1.4,0.16088837576701162,0.17386100344827585,1.559699584778325,1.43587070116311
SFHo-125-145h,SFHo,high,1.45,1.25,1.1627906976744187,150,285,0.011000000000000001,0.18,0.24,2.58,0.66,0.12,2.7,1.1713698899862308,680.8540226153643,8.032135013915045,8.090638991285024,80.87650827036941,430.92444587368465,0.08981213243583598,264.56514833124095,0.07601714492780917,1.25,1.45,0.1545005059043967,0.18052371887424146,1.622557950408035,1.3748469724170989
SFHo-125-145l,SFHo,low,1.45,1.25,1.1627906976744187,250,160,0.012,0.19,0.23,2.58,0.66,0.11,2.7,1.1713698899862308,680.8540226153643,8.032135013915045,8.090638991285024,80.87650827036941,430.92444587368465,0.08981213243583598,264.56514833124095,0.07601714492780917,1.25,1.45,0.1545005059043967,0.18052371887424146,1.622557950408035,1.3748469724170989
DD2-135-135h,DD2,high,1.35,1.35,1.0,160,285,0.002,0.3,0.16,,,,2.7,1.1752432604497676,861.6418564732923,8.944044699630894,8.944044699630894,160.86448877575026,861.6418564732925,0.10082195779650394,861.6418564732923,0.10082195779650394,1.35,1.35,0.15093883418065324,0.15093883418065324,1.4845915368061842,1.4845915368061842
DD2-135-135l,DD2,low,1.35,1.35,1.0,270,160,0.002,0.3,0.15,,,,2.7,1.1752432604497676,861.6418564732923,8.944044699630894,8.944044699630894,160.86448877575026,861.6418564732925,0.10082195779650394,861.6418564732923,0.10082195779650394,1.35,1.35,0.15093883418065324,0.15093883418065324,1.4845915368061842,1.4845915368061842
DD2-130-140h,DD2,high,1.4,1.3,1.075268817204301,160,285,0.003,0.26,0.18,,,,2.7,1.1742757165047846,1061.2632855965016,8.951466393608952,8.932592050015943,161.3738457229062,863.7231243433866,0.10355589878376532,701.8308388796704,0.09810726684430116,1.3,1.4,0.145533673757573,0.15640276242177129,1.5452731098994879,1.4243801138341001
DD2-125-145h,DD2,high,1.45,1.25,1.1627906976744187,160,285,0.005,0.2,0.19,,,,2.7,1.1713698899862308,1312.3761566502462,8.95914735820823,8.92132745320197,162.9114028253203,869.9696296229514,0.10606012315270935,573.0393069095144,0.09518934798923194,1.25,1.45,0.1401170541871921,0.1618491196371838,1.6064134974171174,1.3646209807881773
