name,Tullio_Data,Satus,comment,resolution,dyn_phase,bern_phase,EOS,M1,M2,Mb1,Mb2,Mb,Mg1,Mg2,R1,R2,C1,C2,k21,k22,lam21,lam22,Lambda,k2T,tend,fate,MADM,EGW,JADM,JGW,f0,fpeak,tmerg_r,tcoll,tend,Mdisk,Mdisk3D,Mej,Munb,ThetaRMS,Yeej,Sej,vej,Ekej,Mej_bern,Munb_bern,ThetaRMS_bern,Yeej_bern,Sej_bern,vej_bern,Ekej_bern
DD2_M13641364_M0_LK_HR_R04,,,R04,,passed,not passed,DD2,1.364,1.364,1.4873e+00,1.4873e+00,2.9746,1.35229088177,1.35229088177,8.94091043164,8.94091043164,0.151247857097,0.151247857097,0.100905720279,0.100905720279,849.935135478,849.935135478,849.9351354777668,159.36012022924925,0.042164804949818044,,2.70356,0.051447766917800002,7.4056,1.79687189794,282.6591789312061,2589.5683890599998,0.008217568161131004,inf,0.042164804949818044,nan,0.22545999999999999,0.0011931800000000001,0.0024513831473915357,39.82021671138284,0.2602782045704774,25.534661963324893,0.15847702492994351,0.026783529594277284,0.0049989800000000001,0.023264131537058422,31.139896391439915,0.28068916941720812,17.114466421882867,0.16620186898813361,0.12341891377067007
DD2_M13641364_M0_LK_LR_R04,,,R04,,passed,not passed,DD2,1.364,1.364,1.4873e+00,1.4873e+00,2.9746,1.35229088177,1.35229088177,8.94091043164,8.94091043164,0.151247857097,0.151247857097,0.100905720279,0.100905720279,849.935135478,849.935135478,849.9351354777668,159.36012022924925,0.13048233845779206,,2.70356,0.0463131470979,7.4056,1.62018380833,282.6591789312061,2589.5683890599998,0.007484609869479961,inf,0.13048233845779206,nan,nan,0.0009234,3.2670156988420965e-05,38.33748272322319,0.26722850068548026,27.953776769005852,0.15721353673976607,0.020398511209855277,0.015076300000000001,0.017054845639985862,31.217329772869537,0.31323303074957021,18.525332557815247,0.16691648445149007,0.37542271998345245
DD2_M13641364_M0_LK_SR_R04,,,R04,,passed,not passed,DD2,1.364,1.364,1.4873e+00,1.4873e+00,2.9746,1.35229088177,1.35229088177,8.94091043164,8.94091043164,0.151247857097,0.151247857097,0.100905720279,0.100905720279,849.935135478,849.935135478,849.9351354777668,159.36012022924925,0.083982833933693643,,2.70356,0.049181129024,7.4056,1.74302408737,282.6591789312061,2489.9696048599999,0.0077722762957731124,inf,0.083982833933693643,nan,0.26345000000000002,0.0014591700000000001,0.002205210200702809,39.108800731214096,0.27957092727172739,25.995478279110731,0.15357259767025089,0.03075820214652307,0.0122659,0.025643455378831313,31.0020514603637,0.29088806332748784,17.319985709413089,0.16636448897751491,0.3034234140465199
DD2_M13641364_M0_LR,,,R01,,passed,not passed,DD2,1.364,1.364,1.4906e+00,1.4906e+00,2.9812,1.35501818315,1.35501818315,8.94107914676,8.94107914676,0.151549928553,0.151549928553,0.100775833724,0.100775833724,840.410237324,840.410237324,840.4102373236123,157.57515136964088,0.050093364534774483,,2.70514,0.045105535127099999,7.4276,1.7365820949599999,283.3276296921921,2639.36778116,0.012181847953609222,inf,0.050093364534774483,nan,nan,0.00076971699999999995,0.0012298437496043187,32.84142858501321,0.2065052696294099,22.11798858125778,0.17345057645082546,0.02069718031080179,0.0056177900000000001,0.022516925656494734,30.77589023907603,0.276219575670416,16.891886710328791,0.15837609977622871,0.12594287924466591
DD2_M13641364_M0_LR_R04,,,R04,,passed,not passed,DD2,1.364,1.364,1.4873e+00,1.4873e+00,2.9746,1.35229088177,1.35229088177,8.94091043164,8.94091043164,0.151247857097,0.151247857097,0.100905720279,0.100905720279,849.935135478,849.935135478,849.9351354777668,159.36012022924925,0.10110095661612445,,2.70356,0.0523472143449,7.4056,1.89410162765,282.6591789312061,2489.9696048599999,0.009139676979659735,inf,0.10110095661612445,nan,nan,0.0011964499999999999,0.0017530378407728394,37.56288409470248,0.24802886515156383,25.205600927911735,0.17210754467299094,0.031675406240879014,0.0145635,0.026757738071676192,29.033107352242876,0.29761749704255608,17.372114654102173,0.16540948819699933,0.35613578802291612
DD2_M13641364_M0_SR,,,R01,,passed,not passed,DD2,1.364,1.364,1.4906e+00,1.4906e+00,2.9812,1.35501818315,1.35501818315,8.94107914676,8.94107914676,0.151549928553,0.151549928553,0.100775833724,0.100775833724,840.410237324,840.410237324,840.4102373236123,157.57515136964088,0.10951815506218159,,2.70514,0.0422045610488,7.4276,1.7400962070099999,283.3276296921921,2390.3708206699998,0.01240646420427648,inf,0.10951815506218159,nan,0.19596,0.0026335500000000001,0.00046021052132079162,32.700278484096586,0.22638506493647623,18.455296805338797,0.14169050111738907,0.04725541514582203,0.010218,0.017556100138146076,29.491283654047674,0.28776660978590679,16.684786969755599,0.16079387288628891,0.23612005460714167
DD2_M13641364_M0_SR_R04,,,R04,,passed,not passed,DD2,1.364,1.364,1.4873e+00,1.4873e+00,2.9746,1.35229088177,1.35229088177,8.94091043164,8.94091043164,0.151247857097,0.151247857097,0.100905720279,0.100905720279,849.935135478,849.935135478,849.9351354777668,159.36012022924925,0.11949584535497966,,2.70356,0.047931655899600002,7.4056,1.7874111456699999,282.6591789312061,2539.7689969600001,0.009320946234584187,inf,0.11949584535497966,nan,0.21374000000000001,0.0010261300000000001,0.0013177729195267063,36.821304247922356,0.24382443697641135,26.100963003615522,0.18771129305448628,0.032315729253449124,0.0128624,0.017264926672476307,28.395627620998482,0.3088788285846551,18.079942970797365,0.16656882475765025,0.31896186042996094
DD2_M14321300_M0_LR,,,R04,,passed,not passed,DD2,1.432,1.3,1.5689e+00,1.4109e+00,2.9798,1.41942345634,1.28880146176,8.95409813313,8.93021914394,0.158522014867,0.144319142181,0.0970220421932,0.104133353214,646.137716773,1108.86633759,847.6635642501841,159.02814694469785,0.050944541905724075,,2.70722,0.045180777377399998,7.4062,1.72807371425,282.8469817640546,2440.17021277,0.009265628294598687,inf,0.050944541905724075,nan,nan,0.00124406,0.0015868644635563436,35.313538573938125,0.25194762725510267,24.760454167765221,0.15981402220632443,0.028398670293588633,0.0051398399999999997,0.018191733968893509,31.476146313960037,0.26776366584451594,17.250684871960996,0.16149363888331156,0.11980904839105003
DD2_M14351298_M0_LR,,,R01,,passed,not passed,DD2,1.435,1.298,1.5743e+00,1.4105e+00,2.9848,1.42384261414,1.28846736986,8.95543757845,8.93012979813,0.158991692697,0.144283168519,0.0967289918761,0.104151310814,634.723987019,1110.44044957,840.8444014427438,157.75574966764577,0.038145356253667162,,2.7073,0.0410429378759,7.40569,1.6525338997600001,282.8422071157618,2440.17021277,0.011771835525776535,inf,0.038145356253667162,nan,nan,0.0010121500000000001,0.0016390624218635382,35.44737642386594,0.23381684828673566,21.046976423158625,0.18236004251889543,0.030083793383161739,0.0013842100000000001,0.022872682333191115,32.7001040363246,0.25101625255162363,15.728793996098858,0.15659999333814956,0.03033985543216508
DD2_M14861254_M0_LR,,,R01,,passed,not passed,DD2,1.486,1.254,1.6359e+00,1.3583e+00,2.9942,1.4740133838,1.24471363159,8.96166461003,8.91309676871,0.16447984299,0.139649874543,0.0937810452991,0.106731976282,519.349649344,1339.67094521,837.8555014749273,157.37069379166357,0.04028906222494763,,2.71388,0.033996947724100002,7.40895,1.4594574148599999,283.32444659333026,2440.17021277,0.011881912685532382,inf,0.04028906222494763,nan,nan,0.0016582000000000001,0.0018889359018157339,31.114676933432186,0.19859269857813278,16.63100442630563,0.16517801801471474,0.040436187453157198,0.0050414099999999996,0.03276322503770366,31.883385004683507,0.26589918614928065,15.657629088667656,0.15685199965406504,0.11085636153337894
