model,bibkey,dataset,EOS,nus,q,M1,M2,Mb1,Mb2,C1,C2,Lambda,Mej,vej,Yeej,theta_rms,Mdisk,arxiv
DD2_M13641364_M0_LK,Vsevolod:2020pak,M0RefSet & M0/M1Set,DD2,leakM0,1,1.364,1.364,1.4873,1.4873,0.152494871185453,0.152494871185453,853.830187855059,0.00120814554297,0.15641314945711,0.268831953893527,40.0342741281548,0.111221484737975,https://arxiv.org/abs/2008.04333
DD2_M14971245_M0,Vsevolod:2020pak,M0RefSet & M0/M1Set,DD2,leakM0,1.20144462279294,1.497,1.246,1.3455,1.6485,0.166997759439391,0.13974729004164,847.176049212022,0.002126483543856,0.16830798121953,0.175882357896414,29.0748394824024,0.261330405801655,https://arxiv.org/abs/2008.04333
DD2_M15091235_M0_LK,Vsevolod:2020pak,M0RefSet & M0/M1Set,DD2,leakM0,1.22186234817814,1.509,1.235,1.3343,1.6632,0.168308324313538,0.138569618653502,846.955753642944,0.002532166756917,0.173973823224248,0.190964564452647,30.7395357204988,0.209102625103831,https://arxiv.org/abs/2008.04333
DD2_M11461635_M0_LK,Vsevolod:2020pak,M0RefSet & M0/M1Set,DD2,leakM0,1.42670157068063,1.635,1.146,1.821,1.228,0.182170201441424,0.128955061289992,820.144589858081,0.006969548707115,0.137987512631527,0.136129543195659,25.5113973159029,0.303654981801864,https://arxiv.org/abs/2008.04333
LS220_M13641364_M0_LK,Vsevolod:2020pak,M0RefSet & M0/M1Set,LS220,leakM0,1,1.364,1.364,1.4912,1.4912,0.158360903159239,0.158360903159239,715.420099128656,0.00158931558884,0.161178241709346,0.245188482612554,35.7028794134007,0.072664626370197,https://arxiv.org/abs/2008.04333
LS220_M13641364_M0,Vsevolod:2020pak,M0RefSet & M0/M1Set,LS220,leakM0,1,1.364,1.364,1.4912,1.4912,0.158360903159239,0.158360903159239,715.420099128656,0.001635222406388,0.162531087748819,0.219403905929663,34.9942034399252,0.072006555584974,https://arxiv.org/abs/2008.04333
LS220_M14001330_M0,Vsevolod:2020pak,M0RefSet & M0/M1Set,LS220,leakM0,1.05263157894737,1.4,1.33,1.4499,1.5343,0.162768220207877,0.154137988012499,715.204228371003,0.00156341668007,0.156065193072842,0.21065951015319,33.2834030323338,0.072717887349427,https://arxiv.org/abs/2008.04333
LS220_M14351298_M0,Vsevolod:2020pak,M0RefSet & M0/M1Set,LS220,leakM0,1.1055469953775,1.435,1.298,1.4119,1.5771,0.16714516828347,0.150308741312372,717.637109012536,0.002202567881318,0.176774566670127,0.188078304871384,30.2475477493269,0.094729167642072,https://arxiv.org/abs/2008.04333
LS220_M14691268_M0_LK,Vsevolod:2020pak,M0RefSet & M0/M1Set,LS220,leakM0,1.15851735015773,1.469,1.268,1.3769,1.6195,0.171472438649583,0.146714477966245,714.644445434978,0.003411861390228,0.164477732464532,0.218832220686442,34.0830049891005,0.127629934344441,https://arxiv.org/abs/2008.04333
LS220_M14691268_M0,Vsevolod:2020pak,M0RefSet & M0/M1Set,LS220,leakM0,1.15851735015773,1.469,1.268,1.3769,1.6195,0.171472438649583,0.146714477966245,714.644445434978,0.003349130076453,0.172338913707176,0.170737001497039,30.0128351055923,,https://arxiv.org/abs/2008.04333
