model,bibkey,dataset,EOS,nus,q,M1,M2,Mb1,Mb2,C1,C2,Lambda,Mej,vej,Yeej,theta_rms,Mdisk,arxiv
SFHo_1.37_1.63,Lehner:2016lxy,LeakSet,SFHo,leak,1.176,1.47,1.25,1.646536,1.36999311149826,0.183,0.154,418.349860025104,0.0022,0.25,,,,https://arxiv.org/abs/1603.00501
G3.765_P34.1_1.000,Kiuchi:2019lls,NoNusSet,Polytrop,none,1,1.375,1.375,1.551,1.551,0.195,0.195,208,0.001,,,,0.001,https://arxiv.org/abs/1903.01466
G3.765_P34.1_0.774,Kiuchi:2019lls,NoNusSet,Polytrop,none,1.29198966408269,1.55,1.2,1.779,1.331,0.219,0.172,218,0.001,,,,0.023,https://arxiv.org/abs/1903.01466
G3.887_P34.1_1.000,Kiuchi:2019lls,NoNusSet,Polytrop,none,1,1.375,1.375,1.55,1.55,0.194,0.194,221,0.001,,,,0.001,https://arxiv.org/abs/1903.01466
G3.887_P34.1_0.774,Kiuchi:2019lls,NoNusSet,Polytrop,none,1.29198966408269,1.55,1.2,1.778,1.331,0.171,0.171,230,0.0052,,,,0.029,https://arxiv.org/abs/1903.01466
G4.007_P34.1_1.000,Kiuchi:2019lls,NoNusSet,Polytrop,none,1,1.375,1.375,1.55,1.55,0.193,0.193,232,0.0019,,,,0.0027,https://arxiv.org/abs/1903.01466
G3.446_P34.2_1.000,Kiuchi:2019lls,NoNusSet,Polytrop,none,1,1.375,1.375,1.544,1.544,0.191,0.191,232,0.001,,,,0.001,https://arxiv.org/abs/1903.01466
G3.446_P34.2_0.774,Kiuchi:2019lls,NoNusSet,Polytrop,none,1.29198966408269,1.55,1.2,1.771,1.325,0.215,0.168,245,0.0023,,,,0.036,https://arxiv.org/abs/1903.01466
G3.568_P34.2_1.000,Kiuchi:2019lls,NoNusSet,Polytrop,none,1,1.375,1.375,1.543,1.543,0.19,0.19,247,0.001,,,,0.001,https://arxiv.org/abs/1903.01466
G3.568_P34.2_0.774,Kiuchi:2019lls,NoNusSet,Polytrop,none,1.29198966408269,1.55,1.2,1.77,1.325,0.213,0.167,259,0.014,,,,0.038,https://arxiv.org/abs/1903.01466
G3.687_P34.2_1.000,Kiuchi:2019lls,NoNusSet,Polytrop,none,1,1.375,1.375,1.543,1.543,0.189,0.189,260,0.0014,,,,0.0078,https://arxiv.org/abs/1903.01466
G3.132_P34.3_1.000,Kiuchi:2019lls,NoNusSet,Polytrop,none,1,1.375,1.375,1.534,1.534,0.185,0.185,272,0.001,,,,0.001,https://arxiv.org/abs/1903.01466
G3.252_P34.3_1.000,Kiuchi:2019lls,NoNusSet,Polytrop,none,1,1.375,1.375,1.535,1.535,0.184,0.184,288,0.0012,,,,0.0019,https://arxiv.org/abs/1903.01466
G3.132_P34.3_0.774,Kiuchi:2019lls,NoNusSet,Polytrop,none,1.29198966408269,1.55,1.2,1.759,1.318,0.209,0.161,290,0.012,,,,0.063,https://arxiv.org/abs/1903.01466
G3.370_P34.3_1.000,Kiuchi:2019lls,NoNusSet,Polytrop,none,1,1.375,1.375,1.535,1.535,0.183,0.183,303,0.002,,,,0.031,https://arxiv.org/abs/1903.01466
G3.252_P34.3_0.774,Kiuchi:2019lls,NoNusSet,Polytrop,none,1.29198966408269,1.55,1.2,1.759,1.319,0.207,0.161,305,0.015,,,,0.12,https://arxiv.org/abs/1903.01466
G2.825_P34.4_1.000,Kiuchi:2019lls,NoNusSet,Polytrop,none,1,1.375,1.375,1.522,1.522,0.176,0.176,345,0.0065,,,,0.018,https://arxiv.org/abs/1903.01466
G2.942_P34.4_1.000,Kiuchi:2019lls,NoNusSet,Polytrop,none,1,1.375,1.375,1.523,1.523,0.176,0.176,362,0.0025,,,,0.016,https://arxiv.org/abs/1903.01466
G2.825_P34.4_0.774,Kiuchi:2019lls,NoNusSet,Polytrop,none,1.29198966408269,1.55,1.2,1.744,1.309,0.2,0.153,373,0.011,,,,0.087,https://arxiv.org/abs/1903.01466
G2.942_P34.4_0.774,Kiuchi:2019lls,NoNusSet,Polytrop,none,1.29198966408269,1.55,1.2,1.745,1.31,0.199,0.153,387,0.011,,,,0.12,https://arxiv.org/abs/1903.01466
G2.528_P34.5_1.000,Kiuchi:2019lls,NoNusSet,Polytrop,none,1,1.375,1.375,1.505,1.505,0.163,0.163,508,0.0094,,,,0.053,https://arxiv.org/abs/1903.01466
G2.640_P34.5_1.000,Kiuchi:2019lls,NoNusSet,Polytrop,none,1,1.375,1.375,1.508,1.508,0.164,0.164,516,0.012,,,,0.12,https://arxiv.org/abs/1903.01466
G2.528_P34.5_0.774,Kiuchi:2019lls,NoNusSet,Polytrop,none,1.29198966408269,1.55,1.2,1.722,1.296,0.188,0.14,558,0.0056,,,,0.16,https://arxiv.org/abs/1903.01466
ALF2-137137-R2s,Dietrich:2016lyp,NoNusSet,ALF2,none,1,1.375,1.375,1.518,1.518,0.164,0.164,659.430878098405,0.0034,0.19723082923316,,,0.2,https://arxiv.org/abs/1611.07367
H4-137137-R2s,Dietrich:2016lyp,NoNusSet,H4,none,1,1.375,1.375,1.499,1.499,0.15,0.15,992.71744110475,0.0034,0.214709105535839,,,0.23,https://arxiv.org/abs/1611.07367
MS1b-137137-R2s,Dietrich:2016lyp,NoNusSet,MS1b,none,1,1.375,1.375,1.497,1.497,0.145,0.145,1396.59272750785,0.0023,0.143178210632764,,,,https://arxiv.org/abs/1611.07367
SLy-137137-R2s,Dietrich:2016lyp,NoNusSet,SLy,none,1,1.375,1.375,1.526,1.526,0.177,0.177,366.204284720571,0.016,0.19723082923316,,,0.23,https://arxiv.org/abs/1611.07367
ALF2-122153-R2s,Dietrich:2016lyp,NoNusSet,ALF2,none,1.24959083469722,1.527,1.222,1.707,1.334,0.182,0.147,671.778950521599,0.0075,0.208086520466848,,,0.23,https://arxiv.org/abs/1611.07367
H4-122153-R2s,Dietrich:2016lyp,NoNusSet,H4,none,1.24959083469722,1.527,1.222,1.683,1.318,0.167,0.133,1025.80612581569,0.0066,0.21095023109729,,,,https://arxiv.org/abs/1611.07367
MS1b-122153-R2s,Dietrich:2016lyp,NoNusSet,MS1b,none,1.24959083469722,1.527,1.222,1.68,1.318,0.159,0.13,1427.09791140977,0.0048,0.186010752377383,,,,https://arxiv.org/abs/1611.07367
SLy-122153-R2s,Dietrich:2016lyp,NoNusSet,SLy,none,1.24959083469722,1.527,1.222,1.719,1.338,0.198,0.157,385.496639846453,0.018,0.194164878389476,,,0.2,https://arxiv.org/abs/1611.07367
ALF2-100150-R2s,Dietrich:2016lyp,NoNusSet,ALF2,none,1.5,1.5,1,1.672,1.073,0.178,0.123,1179.32905377555,0.021,0.165529453572468,,,,https://arxiv.org/abs/1611.07367
H4-100150-R2s,Dietrich:2016lyp,NoNusSet,H4,none,1.5,1.5,1,1.649,1.063,0.164,0.11,1909.13703089363,0.027,0.172626765016321,,,,https://arxiv.org/abs/1611.07367
MS1b-100150-R2s,Dietrich:2016lyp,NoNusSet,MS1b,none,1.5,1.5,1,1.647,1.063,0.156,0.109,2450.56386315395,0.032,0.162788205960997,,,,https://arxiv.org/abs/1611.07367
SLy-100150-R2b,Dietrich:2016lyp,NoNusSet,SLy,none,1.5,1.5,1,1.672,1.074,0.193,0.129,774.372730729184,0.018,0.224722050542442,,,,https://arxiv.org/abs/1611.07367
ALF2-110165-R2b,Dietrich:2016lyp,NoNusSet,ALF2,none,1.5,1.65,1.1,1.862,1.19,0.197,0.134,698.931755694347,0.024,0.183847763108502,,,0.2,https://arxiv.org/abs/1611.07367
H4-110165-R2s,Dietrich:2016lyp,NoNusSet,H4,none,1.5,1.65,1.1,1.835,1.177,0.182,0.121,1099.36516243231,0.017,0.17464249196573,,,0.26,https://arxiv.org/abs/1611.07367
MS1b-110165-R2s,Dietrich:2016lyp,NoNusSet,MS1b,none,1.5,1.65,1.1,1.83,1.177,0.171,0.118,1487.46165214883,0.026,0.17464249196573,,,,https://arxiv.org/abs/1611.07367
SLy-110165-R2b,Dietrich:2016lyp,NoNusSet,SLy,none,1.50273224043716,1.65,1.098,1.878,1.19,0.215,0.142,429.846041268757,0.016,0.219544984001001,,,0.14,https://arxiv.org/abs/1611.07367
ALF2-117175-R2b,Dietrich:2016lyp,NoNusSet,ALF2,none,1.49957155098543,1.75,1.167,1.992,1.127,0.21,0.141,1726.2753113169,0.025,0.199248588451713,,,0.2,https://arxiv.org/abs/1611.07367
H4-117175-R2s,Dietrich:2016lyp,NoNusSet,H4,none,1.49957155098543,1.75,1.167,1.961,1.253,0.195,0.128,769.460636617073,0.014,0.186815416922694,,,0.26,https://arxiv.org/abs/1611.07367
MS1b-117175-R2s,Dietrich:2016lyp,NoNusSet,MS1b,none,1.49957155098543,1.75,1.167,1.954,1.253,0.18,0.125,1089.67010186764,0.024,0.186815416922694,,,,https://arxiv.org/abs/1611.07367
SLy-117175-R2b,Dietrich:2016lyp,NoNusSet,SLy,none,1.49957155098543,1.75,1.167,2.012,1.272,0.23,0.15,294.472973944534,0.0065,0.273130005674953,,,0.14,https://arxiv.org/abs/1611.07367
ALF2-100175-R2,Dietrich:2016lyp,NoNusSet,ALF2,none,1.75,1.75,1,1.992,1.074,0.21,0.123,731.946718443106,0.036,0.182482875908947,,,0.26,https://arxiv.org/abs/1611.07367
H4-100175-R2,Dietrich:2016lyp,NoNusSet,H4,none,1.75,1.75,1,1.961,1.063,0.195,0.11,1195.36678440443,0.04,0.171172427686237,,,,https://arxiv.org/abs/1611.07367
MS1b-100175-R2,Dietrich:2016lyp,NoNusSet,MS1b,none,1.75,1.75,1,1.954,1.063,0.18,0.109,1583.98063695676,0.049,0.172626765016321,,,,https://arxiv.org/abs/1611.07367
SLy-100175-R2b,Dietrich:2016lyp,NoNusSet,SLy,none,1.75,1.75,1,2.012,1.075,0.23,0.129,480.556405929933,0.024,0.192353840616713,,,0.18,https://arxiv.org/abs/1611.07367
MS1b-094194-R2,Dietrich:2016lyp,NoNusSet,MS1b,none,2.0593220338983,1.944,0.944,2.2,1,0.199,0.103,1325.99273215049,0.068,0.181107702762748,,,,https://arxiv.org/abs/1611.07367
MS1-135135-R2n,Dietrich:2015iva,NoNusSet,MS1,none,1,1.35,1.35,1.46,1.46,0.139,0.139,1765,0.0012,0.18,,,,https://arxiv.org/abs/1504.01266
MS1-125145-R2n,Dietrich:2015iva,NoNusSet,MS1,none,1.16,1.45,1.25,1.61,1.38,0.148,0.129,1585,0.0032,0.15,,,,https://arxiv.org/abs/1504.01266
H4-135135-R2n,Dietrich:2015iva,NoNusSet,H4,none,1,1.35,1.35,1.47,1.47,0.147,0.147,1107,0.0006,0.3,,,0.085,https://arxiv.org/abs/1504.01266
H4-125145-R2n,Dietrich:2015iva,NoNusSet,H4,none,1.16,1.45,1.25,1.59,1.35,0.158,0.136,1124,0.004,0.23,,,,https://arxiv.org/abs/1504.01266
ALF2-135135-R2n,Dietrich:2015iva,NoNusSet,ALF2,none,1,1.35,1.35,1.49,1.49,0.161,0.161,728,0.002,0.15,,,0.211,https://arxiv.org/abs/1504.01266
ALF2-125145-R2n,Dietrich:2015iva,NoNusSet,ALF2,none,1.16,1.45,1.25,1.64,1.37,0.172,0.15,700,0.0106,0.15,,,,https://arxiv.org/abs/1504.01266
SLy-135135-R2n,Dietrich:2015iva,NoNusSet,SLy,none,1,1.35,1.35,1.49,1.49,0.174,0.174,420,0.0142,0.26,,,0.096,https://arxiv.org/abs/1504.01266
SLy-125145-R2n2,Dietrich:2015iva,NoNusSet,SLy,none,1.16,1.45,1.25,1.62,1.37,0.187,0.161,424,0.0054,0.3,,,0.111,https://arxiv.org/abs/1504.01266
1,Sekiguchi:2015dma,M0/M1Set,SFHo,leakM1,1,1.35,1.35,1.49749134491103,1.49749134491103,0.167350683274021,0.167350683274021,422.557415572954,0.011,,0.31,,,https://arxiv.org/abs/1502.06660
4,Sekiguchi:2015dma,M0/M1Set,DD2,leakM1,1,1.35,1.35,1.48459153680618,1.48459153680618,0.150938834180653,0.150938834180653,861.641856473293,0.0021,,0.29,,,https://arxiv.org/abs/1502.06660
7,Sekiguchi:2015dma,M0/M1Set,TM1,leakM1,1,1.35,1.35,1.47068180444379,1.47068180444379,0.137625620953502,0.137625620953502,1437.16204323131,0.0012,,0.26,,,https://arxiv.org/abs/1502.06660
SFHo-135-135h,Sekiguchi:2016bjd,M0/M1Set,SFHo,leakM1,1,1.35,1.35,1.49749134491103,1.49749134491103,0.167350683274021,0.167350683274021,422.557415572954,0.011,0.22,0.31,,0.05,https://arxiv.org/abs/1603.01918
SFHo-133-137h,Sekiguchi:2016bjd,M0/M1Set,SFHo,leakM1,1.03092783505155,1.37,1.33,1.52230466769781,1.47278135981918,0.169956015757166,0.16477906049026,422.898820573013,0.009,0.21,0.3,,0.06,https://arxiv.org/abs/1603.01918
SFHo-130-140h,Sekiguchi:2016bjd,M0/M1Set,SFHo,leakM1,1.0752688172043,1.4,1.3,1.55969958477833,1.43587070116311,0.173861003448276,0.160888375767012,424.377260799728,0.006,0.2,0.27,,0.09,https://arxiv.org/abs/1603.01918
SFHo-125-145h,Sekiguchi:2016bjd,M0/M1Set,SFHo,leakM1,1.16279069767442,1.45,1.25,1.62255795040804,1.3748469724171,0.180523718874241,0.154500505904397,430.924445873685,0.011,0.24,0.18,,0.12,https://arxiv.org/abs/1603.01918
DD2-135-135h,Sekiguchi:2016bjd,M0/M1Set,DD2,leakM1,1,1.35,1.35,1.48459153680618,1.48459153680618,0.150938834180653,0.150938834180653,861.641856473293,0.002,0.16,0.3,,,https://arxiv.org/abs/1603.01918
DD2-130-140h,Sekiguchi:2016bjd,M0/M1Set,DD2,leakM1,1.0752688172043,1.4,1.3,1.54527310989949,1.4243801138341,0.156402762421771,0.145533673757573,863.723124343387,0.003,0.18,0.26,,,https://arxiv.org/abs/1603.01918
DD2-125-145h,Sekiguchi:2016bjd,M0/M1Set,DD2,leakM1,1.16279069767442,1.45,1.25,1.60641349741712,1.36462098078818,0.161849119637184,0.140117054187192,869.969629622951,0.005,0.19,0.2,,,https://arxiv.org/abs/1603.01918
APR4_130160_1.8,Hotokezaka:2012ze,NoNusSet,APR4,none,1.230012300123,1.6,1.3,1.82286176764982,1.43982906244852,0.21303502346722,0.173343105166124,213.847976034439,0.002,0.25298221281347,,,,https://arxiv.org/abs/1212.0905
APR4_140150_1.8,Hotokezaka:2012ze,NoNusSet,APR4,none,1.07181136120043,1.5,1.4,1.6924326480422,1.56479875178078,0.19967260280708,0.186408341573787,206.138245736977,0.0006,0.37,,,,https://arxiv.org/abs/1212.0905
APR4_145145_1.8,Hotokezaka:2012ze,NoNusSet,APR4,none,1,1.45,1.45,1.62827895673409,1.62827895673409,0.193027343966113,0.193027343966113,205.187323975622,0.0001,0.317804971641414,,,,https://arxiv.org/abs/1212.0905
APR4_130150_1.8,Hotokezaka:2012ze,NoNusSet,APR4,none,1.15340253748558,1.5,1.3,1.6924326480422,1.43982906244852,0.19967260280708,0.173343105166124,261.732794867443,0.012,0.259422435421457,,,,https://arxiv.org/abs/1212.0905
APR4_140140_1.8,Hotokezaka:2012ze,NoNusSet,APR4,none,1,1.5,1.3,1.6924326480422,1.43982906244852,0.19967260280708,0.173343105166124,261.732794867443,0.014,0.266270539113887,,,,https://arxiv.org/abs/1212.0905
APR4_120150_1.6,Hotokezaka:2012ze,NoNusSet,APR4,none,1.25,1.5,1.2,1.6924326480422,1.31732648898946,0.19967260280708,0.160597062335983,335.985756699008,0.009,0.223606797749979,,,,https://arxiv.org/abs/1212.0905
APR4_120150_1.8,Hotokezaka:2012ze,NoNusSet,APR4,none,1.25,1.5,1.2,1.6924326480422,1.31732648898946,0.19967260280708,0.160597062335983,335.985756699008,0.008,0.254950975679639,,,,https://arxiv.org/abs/1212.0905
APR4_120150_2.0,Hotokezaka:2012ze,NoNusSet,APR4,none,1.25,1.5,1.2,1.6924326480422,1.31732648898946,0.19967260280708,0.160597062335983,335.985756699008,0.0075,0.268328157299975,,,,https://arxiv.org/abs/1212.0905
APR4_125145_1.8,Hotokezaka:2012ze,NoNusSet,APR4,none,1.16009280742459,1.45,1.25,1.62827895673409,1.37828985975326,0.193027343966113,0.167052132991931,328.364242445053,0.007,0.245967477524977,,,,https://arxiv.org/abs/1212.0905
APR4_130140_1.8,Hotokezaka:2012ze,NoNusSet,APR4,none,1.07642626480086,1.4,1.3,1.56479875178078,1.43982906244852,0.186408341573787,0.173343105166124,323.907887700536,0.008,0.224722050542442,,,,https://arxiv.org/abs/1212.0905
APR4_135135_1.6,Hotokezaka:2012ze,NoNusSet,APR4,none,1,1.35,1.35,1.50201238006431,1.50201238006431,0.179955549839228,0.179955549839228,322.473228874598,0.011,0.230217288664427,,,,https://arxiv.org/abs/1212.0905
APR4_135135_1.8,Hotokezaka:2012ze,NoNusSet,APR4,none,1,1.35,1.35,1.50201238006431,1.50201238006431,0.179955549839228,0.179955549839228,322.473228874598,0.007,0.224722050542442,,,,https://arxiv.org/abs/1212.0905
APR4_135135_2.0,Hotokezaka:2012ze,NoNusSet,APR4,none,1,1.35,1.35,1.50201238006431,1.50201238006431,0.179955549839228,0.179955549839228,322.473228874598,0.005,0.230217288664427,,,,https://arxiv.org/abs/1212.0905
APR4_120140_1.8,Hotokezaka:2012ze,NoNusSet,APR4,none,1.16686114352392,1.4,1.2,1.56479875178078,1.31732648898946,0.186408341573787,0.160597062335983,413.501355017031,0.003,0.241867732448956,,,,https://arxiv.org/abs/1212.0905
APR4_125135_1.8,Hotokezaka:2012ze,NoNusSet,APR4,none,1.07991360691145,1.35,1.25,1.50201238006431,1.37828985975326,0.179955549839228,0.167052132991931,407.8357021517,0.005,0.20591260281974,,,,https://arxiv.org/abs/1212.0905
APR4_130130_1.8,Hotokezaka:2012ze,NoNusSet,APR4,none,1,1.3,1.3,1.43982906244852,1.43982906244852,0.173343105166124,0.173343105166124,406.052807790374,0.002,0.214709105535839,,,,https://arxiv.org/abs/1212.0905
ALF2_140140_1.8,Hotokezaka:2012ze,NoNusSet,ALF2,none,1,1.4,1.4,1.54875008423181,1.54875008423181,0.167035599730458,0.167035599730458,591.481560040432,0.0025,0.246981780704569,,,,https://arxiv.org/abs/1212.0905
ALF2_120150_1.8,Hotokezaka:2012ze,NoNusSet,ALF2,none,1.25,1.5,1.2,1.67234353038416,1.30765891363395,0.178550452773301,0.144893021043325,747.142940806529,0.0055,0.23259406699226,,,,https://arxiv.org/abs/1212.0905
ALF2_125145_1.8,Hotokezaka:2012ze,NoNusSet,ALF2,none,1.16009280742459,1.25,1.25,1.36720882783897,1.36720882783897,0.150340199601549,0.150340199601549,1134.08441724618,0.003,0.223606797749979,,,,https://arxiv.org/abs/1212.0905
ALF2_130140_1.8,Hotokezaka:2012ze,NoNusSet,ALF2,none,1.07642626480086,1.4,1.3,1.54875008423181,1.42722673564044,0.167035599730458,0.155809091925119,735.657885575271,0.0015,0.194164878389476,,,,https://arxiv.org/abs/1212.0905
ALF2_135135_1.8,Hotokezaka:2012ze,NoNusSet,ALF2,none,1,1.35,1.35,1.48774069504447,1.48774069504447,0.161395908513342,0.161395908513342,734.231220076239,0.0025,0.250599281722833,,,,https://arxiv.org/abs/1212.0905
ALF2_130130_1.8,Hotokezaka:2012ze,NoNusSet,ALF2,none,1,1.3,1.3,1.42722673564044,1.42722673564044,0.155809091925119,0.155809091925119,911.852211958648,0.002,0.214709105535839,,,,https://arxiv.org/abs/1212.0905
H4_130150_1.8,Hotokezaka:2012ze,NoNusSet,H4,none,1.15340253748558,1.5,1.3,1.64943745375108,1.40945508483369,0.16387270857606,0.141746631064998,901.486271907251,0.003,0.214709105535839,,,,https://arxiv.org/abs/1212.0905
H4_140140_1.8,Hotokezaka:2012ze,NoNusSet,H4,none,1,1.4,1.4,1.52848478291054,1.52848478291054,0.152643667641794,0.152643667641794,889.016943051129,0.0003,0.214009345590327,,,,https://arxiv.org/abs/1212.0905
H4_120150_1.6,Hotokezaka:2012ze,NoNusSet,H4,none,1.25,1.5,1.2,1.64943745375108,1.29219365688981,0.16387270857606,0.131109656944482,1145.66328259598,0.0045,0.214709105535839,,,,https://arxiv.org/abs/1212.0905
H4_120150_1.8,Hotokezaka:2012ze,NoNusSet,H4,none,1.25,1.5,1.2,1.64943745375108,1.29219365688981,0.16387270857606,0.131109656944482,1145.66328259598,0.0035,0.228473193175917,,,,https://arxiv.org/abs/1212.0905
H4_120150_2.0,Hotokezaka:2012ze,NoNusSet,H4,none,1.25,1.5,1.2,1.64943745375108,1.29219365688981,0.16387270857606,0.131109656944482,1145.66328259598,0.004,0.228473193175917,,,,https://arxiv.org/abs/1212.0905
H4_125145_1.8,Hotokezaka:2012ze,NoNusSet,H4,none,1.16009280742459,1.25,1.25,1.35061026256725,1.35061026256725,0.136432067049058,0.136432067049058,1749.13935772561,0.002,0.214709105535839,,,,https://arxiv.org/abs/1212.0905
H4_130140_1.8,Hotokezaka:2012ze,NoNusSet,H4,none,1.07642626480086,1.4,1.3,1.52848478291054,1.40945508483369,0.152643667641794,0.141746631064998,1115.82189551196,0.0007,0.20591260281974,,,,https://arxiv.org/abs/1212.0905
H4_135135_1.6,Hotokezaka:2012ze,NoNusSet,H4,none,1,1.35,1.35,1.46874317771699,1.46874317771699,0.147176583244876,0.147176583244876,1112.33050591982,0.0007,0.237065391822594,,,,https://arxiv.org/abs/1212.0905
H4_135135_1.8,Hotokezaka:2012ze,NoNusSet,H4,none,1,1.35,1.35,1.46874317771699,1.46874317771699,0.147176583244876,0.147176583244876,1112.33050591982,0.0005,0.219544984001001,,,,https://arxiv.org/abs/1212.0905
H4_135135_2.0,Hotokezaka:2012ze,NoNusSet,H4,none,1,1.35,1.35,1.46874317771699,1.46874317771699,0.147176583244876,0.147176583244876,1112.33050591982,0.0004,0.223606797749979,,,,https://arxiv.org/abs/1212.0905
H4_120140_1.8,Hotokezaka:2012ze,NoNusSet,H4,none,1,1.3,1.3,1.40945508483369,1.40945508483369,0.141746631064998,0.141746631064998,1393.32955538602,0.0025,0.214709105535839,,,,https://arxiv.org/abs/1212.0905
H4_125135_1.8,Hotokezaka:2012ze,NoNusSet,H4,none,1,1.3,1.3,1.40945508483369,1.40945508483369,0.141746631064998,0.141746631064998,1393.32955538602,0.0006,0.20591260281974,,,,https://arxiv.org/abs/1212.0905
H4_130130_1.8,Hotokezaka:2012ze,NoNusSet,H4,none,1,1.3,1.3,1.40945508483369,1.40945508483369,0.141746631064998,0.141746631064998,1393.32955538602,0.0003,0.188679622641132,,,,https://arxiv.org/abs/1212.0905
MS1_140140_1.8,Hotokezaka:2012ze,NoNusSet,MS1,none,1,1.4,1.4,1.52198757680315,1.52198757680315,0.143279336161802,0.143279336161802,1430.50236127724,0.0006,0.158113883008419,,,,https://arxiv.org/abs/1212.0905
MS1_120150_1.8,Hotokezaka:2012ze,NoNusSet,MS1,none,1.25,1.5,1.2,1.64110596922537,1.28824966698048,0.152737203789806,0.124238428797939,1777.28503797863,0.0035,0.214709105535839,,,,https://arxiv.org/abs/1212.0905
MS1_125145_1.8,Hotokezaka:2012ze,NoNusSet,MS1,none,1.16009280742459,1.25,1.25,1.34614210895703,1.34614210895703,0.128974573210169,0.128974573210169,2635.36404202391,0.0015,0.219544984001001,,,,https://arxiv.org/abs/1212.0905
MS1_130140_1.8,Hotokezaka:2012ze,NoNusSet,MS1,none,1.07642626480086,1.4,1.3,1.52198757680315,1.40439283632721,0.143279336161802,0.133751606677796,1751.69061927964,0.0006,0.192353840616713,,,,https://arxiv.org/abs/1212.0905
MS1_135135_1.8,Hotokezaka:2012ze,NoNusSet,MS1,none,1,1.35,1.35,1.46300540390836,1.46300540390836,0.138525219002695,0.138525219002695,1748.21234865229,0.0015,0.161245154965971,,,,https://arxiv.org/abs/1212.0905
MS1_130130_1.8,Hotokezaka:2012ze,NoNusSet,MS1,none,1,1.3,1.3,1.40439283632721,1.40439283632721,0.133751606677796,0.133751606677796,2143.2950860768,0.0015,0.17,,,,https://arxiv.org/abs/1212.0905
NL3_1.35_1.35,Bauswein:2013yna,NoNusSet,NL3,none,1,1.35,1.35,1.4699479183543,1.4699479183543,0.135170915337061,0.135170915337061,1691.16094690324,0.00209,0.18,,,,https://arxiv.org/abs/1302.6530
NL3_1.35_1.35,Bauswein:2013yna,NoNusSet,NL3,none,1,1.35,1.35,1.4699479183543,1.4699479183543,0.135170915337061,0.135170915337061,1691.16094690324,0.00157,0.34,,,,https://arxiv.org/abs/1302.6530
NL3_1.35_1.35,Bauswein:2013yna,NoNusSet,NL3,none,1,1.35,1.35,1.4699479183543,1.4699479183543,0.135170915337061,0.135170915337061,1691.16094690324,0.0016,0.32,,,,https://arxiv.org/abs/1302.6530
NL3_1.35_1.35,Bauswein:2013yna,NoNusSet,NL3,none,1,1.35,1.35,1.4699479183543,1.4699479183543,0.135170915337061,0.135170915337061,1691.16094690324,0.00186,0.3,,,,https://arxiv.org/abs/1302.6530
GS1_1.35_1.35,Bauswein:2013yna,NoNusSet,GS1,none,1,1.35,1.35,,,,,,0.00219,0.32,,,,https://arxiv.org/abs/1302.6530
Shen_1.35_1.35,Bauswein:2013yna,NoNusSet,Shen,none,1,1.35,1.35,,,,,,0.00233,0.23,,,,https://arxiv.org/abs/1302.6530
TM1_1.35_1.35,Bauswein:2013yna,NoNusSet,TM1,none,1,1.35,1.35,1.47068180444379,1.47068180444379,0.137625620953502,0.137625620953502,1437.16204323131,0.00167,0.16,,,,https://arxiv.org/abs/1302.6530
TM1_1.35_1.35,Bauswein:2013yna,NoNusSet,TM1,none,1,1.35,1.35,1.47068180444379,1.47068180444379,0.137625620953502,0.137625620953502,1437.16204323131,0.00137,0.36,,,,https://arxiv.org/abs/1302.6530
TM1_1.35_1.35,Bauswein:2013yna,NoNusSet,TM1,none,1,1.35,1.35,1.47068180444379,1.47068180444379,0.137625620953502,0.137625620953502,1437.16204323131,0.00133,0.34,,,,https://arxiv.org/abs/1302.6530
TM1_1.35_1.35,Bauswein:2013yna,NoNusSet,TM1,none,1,1.35,1.35,1.47068180444379,1.47068180444379,0.137625620953502,0.137625620953502,1437.16204323131,0.00153,0.32,,,,https://arxiv.org/abs/1302.6530
TMA_1.35_1.35,Bauswein:2013yna,NoNusSet,TMA,none,1,1.35,1.35,1.47889131858704,1.47889131858704,0.139225141929949,0.139225141929949,1205.14387190869,0.00205,0.18,,,,https://arxiv.org/abs/1302.6530
LS375_1.35_1.35,Bauswein:2013yna,NoNusSet,LS375,none,1,1.35,1.35,,,,,,0.00258,0.3,,,,https://arxiv.org/abs/1302.6530
GS2_1.35_1.35,Bauswein:2013yna,NoNusSet,GS2,none,1,1.35,1.35,,,,,,0.00274,0.19,,,,https://arxiv.org/abs/1302.6530
DD2_1.35_1.35,Bauswein:2013yna,NoNusSet,DD2,none,1,1.35,1.35,1.48459153680618,1.48459153680618,0.150938834180653,0.150938834180653,861.641856473293,0.00307,0.22,,,,https://arxiv.org/abs/1302.6530
DD2_1.35_1.35,Bauswein:2013yna,NoNusSet,DD2,none,1,1.35,1.35,1.48459153680618,1.48459153680618,0.150938834180653,0.150938834180653,861.641856473293,0.00257,0.34,,,,https://arxiv.org/abs/1302.6530
DD2_1.35_1.35,Bauswein:2013yna,NoNusSet,DD2,none,1,1.35,1.35,1.48459153680618,1.48459153680618,0.150938834180653,0.150938834180653,861.641856473293,0.00226,0.32,,,,https://arxiv.org/abs/1302.6530
DD2_1.35_1.35,Bauswein:2013yna,NoNusSet,DD2,none,1,1.35,1.35,1.48459153680618,1.48459153680618,0.150938834180653,0.150938834180653,861.641856473293,0.00272,0.3,,,,https://arxiv.org/abs/1302.6530
