,C1,C2,EGW,EOS,JADM,Lambda,M1,M2,MADM,Mb,Mb1,Mb2,Mbi_Mb,Mdisk3D,Mdisk3Dmax,Mej_tot-bern_geoend,Mej_tot-geo,Mg1,Mg2,Mwinddot,R1,R2,T_ave-disk,Ye_ave-bern_geoend,Ye_ave-disk,Ye_ave-geo,comment,err-Mbi_Mb,err-Mdisk3D,err-Mdisk3Dmax,err-Mej_tot-bern_geoend,err-Mej_tot-geo,err-Mwinddot,err-T_ave-disk,err-Ye_ave-bern_geoend,err-Ye_ave-disk,err-Ye_ave-geo,err-s_ave-disk,err-theta_rms-bern_geoend,err-theta_rms-disk,err-theta_rms-geo,err-vel_inf_ave-bern_geoend,err-vel_inf_ave-geo,group,k21,k22,k2T,lam21,lam22,outcome,q,resolution,s_ave-disk,tcoll_gw,tdisk3D,tend,tend_wind,theta_rms-bern_geoend,theta_rms-disk,theta_rms-geo,vel_inf_ave-bern_geoend,vel_inf_ave-geo,viscosity
BLh_M13641364_M0_LK,0.16200990271847632,0.16200990271847632,0.082253636591,BLh,7.400180000000001,541.7018607929513,1.364,1.364,2.7032,2.986,1.493,1.493,"[1.0001987067256717, 1.0001967841427315, 0.999625911368563]",0.16648681794412154,0.17669763500273317,0.0039057407113428457,0.0014267218752964234,1.3521443876651984,1.3521443876651984,0.7027265429871639,8.419238436123347,8.419238436123347,6.303761418123977,0.309845583203944,0.1731032487049566,0.2706962229523744,,0.00033014995121842105,0.05162398732933359,0.04128150623528572,0.0006942956605458137,0.00015838030311294686,0.3222416711598196,0.5641790144232302,0.005397323173126347,0.01848780100240299,0.009241557279369525,0.7051311192778912,2.608942700543756,0.5100205099974089,0.3498836871267089,0.009152206727958438,0.012842779861687508,BLh_M13641364_M0_LK,0.08664591966960351,0.08664591966960351,101.3616891068735,541.7018607929513,541.7018607929513,"['NS', 'unclear', 'NS']",1.0,SR HR LR,8.367790929118625,"[inf, inf, inf]",0.023126250396892617,"[0.09175636656568058, 0.023126250396892617, 0.043318069141085866]",0.023126250877927274,27.064047146485716,20.26287714828229,39.645289958614455,0.11894292296324828,0.16589578872769797,LK
BLh_M13641364_M0,0.16212867830697958,0.16212867830697958,0.08359916383260001,BLh,7.400180000000001,541.7018607929513,1.365,1.365,2.7032,2.986,1.493,1.493,[1.000198706725654],0.20900451729539782,0.2707540538394824,0.011220613086393157,0.0013149971403814426,1.3521443876651984,1.3521443876651984,1.0721976315279285,8.419238436123347,8.419238436123347,4.238820818727717,0.3449044522608874,0.10196127765888459,0.25927313590779805,,0.2000397413451308,0.10500225864769891,0.05415081076789649,0.005660306543196578,0.00026299942807628854,0.21443952630558571,0.42388208187277177,0.01,0.01,0.051854627181559615,0.677821297207362,2.0,1.6320884012194687,7.697628625977441,0.02,0.032880527476132175,BLh_M13641364_M0,0.08664591966960351,0.08664591966960351,101.3616891068735,541.7018607929513,541.7018607929513,['NS'],1.0,SR,6.778212972073619,[inf],0.10324339496298393,[0.10324339496298393],0.10324339303884528,15.716745711707897,16.320884012194686,38.488143129887206,0.11583455618873822,0.16440263738066088,
BLh_M12591482_M0_LK,0.17725036257651394,0.14888761332488176,0.0682662027622,BLh,7.4088,539.4518975546432,1.482,1.2590000000000001,2.7156,3.0039999999999996,1.6380000000000001,1.3659999999999999,[0.9997744928308334],0.1835043170937785,0.2019127038893876,0.012787978703690344,0.0030100885767026567,1.4691284422635738,1.24755757772218,1.2316210316487928,8.361054829212339,8.456042594038943,5.369991645367834,0.3274249162255176,0.12988541010851848,0.1790076227977691,,0.1999548985661667,0.09225215854688926,0.04038254077787752,0.006443989351845172,0.0006020177153405314,0.24632420632975857,0.5369991645367834,0.01,0.01,0.03580152455955382,0.7290882658312762,2.0,1.734559276826068,6.7299748078885075,0.02,0.037873685106005965,BLh_M12591482_M0_LK,0.07809665133061433,0.0939558647383879,101.2754305179727,310.90770384909524,897.6872529207001,['NS'],1.177124702144559,LR,7.2908826583127615,[inf],0.06897944320748182,[0.06938225009121679],0.069366489471449,14.980172422964685,17.34559276826068,33.64987403944254,0.1071714219370872,0.1893684255300298,LK
BLh_M11841581_M0_LK,0.19034342602281498,0.13966551134803365,0.048947711597199996,BLh,7.410480000000001,539.1503721182672,1.581,1.1840000000000002,2.7391,3.039,1.7619999999999998,1.2770000000000001,"[1.0002886637764423, 0.9997374697646878]",0.19211098845199026,0.2077984000206925,6.5213858933518e-05,0.002543398878704105,1.5670215710306408,1.1730938325555282,0.704829888551476,8.306039420612812,8.477397093757675,6.370714388203487,0.3203576838079552,0.09312718380050304,0.13963629135518463,,0.0003897530234610379,0.004176749985071205,0.02009697520645167,0.00018445264751693394,0.0005095848289419632,0.9756064922592733,0.21326474966161826,0.028758445098212668,0.08546982422610107,0.039526427299771204,0.8107397832424644,72.76351705072858,47.07716016599321,4.999646730063899,0.02618627365299918,0.0016997320754963531,BLh_M11841581_M0_LK,0.07027145225626741,0.09873336902347453,101.6948175442556,196.17187938718664,1299.4562525702659,"['NS', 'NS']",1.335304054054054,SR LR,8.107397832424644,"[inf, inf]",0.009760774285622728,"[0.009751815496019634, 0.06341539622561049]",0.009751815977054297,181.20876106375454,35.67237475627082,28.790634282825565,0.15121337822686573,0.17350121056128465,LK
BLh_M11461635_M0_LK,0.19785573475602458,0.13506059171658208,0.0302140167691,BLh,7.4051800000000005,540.1768804395066,1.635,1.146,2.75552,3.0639999999999996,1.8319999999999999,1.232,"[1.00022777192015, 1.0002345438926221]",0.2653520638443836,0.27328757019023653,0.007536074972966255,0.0026577895747985462,1.6213925655053976,1.1350719210589737,1.0565246611223362,8.263596716143278,8.485080551141252,5.593168068168867,0.27189310796345434,0.12676822680342664,0.19178319798208104,,4.788507657044226e-06,0.0014817875895964967,0.005198862374159677,0.0017712257070152896,0.0007508240324450176,0.6712960759576222,0.12448005022700274,0.013867893914477278,0.14508640085451258,0.03205198271852988,1.1335793068533602,2.2210401759212854,43.812652439420255,3.5854236455172743,0.012289550616270949,0.0031673418881935,BLh_M11461635_M0_LK,0.06605341838076546,0.10111985542052536,102.23717956655389,151.4750158488714,1576.4818248700387,"['NS', 'NS']",1.4267015706806283,SR LR,8.059139956218754,"[inf, inf]",0.03384871129299857,"[0.059596826764223926, 0.035093952261610016]",0.03507818779356489,19.43203912528146,36.906459820821915,34.492417682865245,0.0921765670809214,0.15573675661398897,LK
BLh_M11041699_M0_LK,0.20695122602183655,0.12995731761235257,0.0235004047556,BLh,7.398339999999999,543.9697609522354,1.699,1.104,2.7783599999999997,3.0989999999999998,1.915,1.1840000000000002,[0.9996573160814334],0.30751685742978696,0.3235187773351316,0.006302365985701956,0.00197487142713787,1.684984735852134,1.094224538971751,0.44440534311478713,8.209663854906225,8.495096853977108,5.799485923896821,0.3203587579379275,0.12748778634142183,0.17191386568964648,,0.1999314632162867,0.15425842871489348,0.06470375546702632,0.003201182992850978,0.00039497428542757397,0.08888106862295743,0.5799485923896821,0.01,0.01,0.0343827731379293,0.6984541372109325,2.0,1.7603140315209025,6.2415682683913545,0.02,0.026563466336876503,BLh_M11041699_M0_LK,0.06090767241696113,0.10335325734791408,102.72318449574163,111.52315870073387,1962.459173370296,['NS'],1.5389492753623188,LR,6.984541372109325,[inf],0.0538461649123695,[0.045769708333420735],0.0457697073713514,21.45841171552264,17.603140315209025,31.20784134195677,0.10334848842322256,0.1328173316843825,LK
BLh_M10651772_M0_LK,0.2175760882168016,0.12524968114068255,0.0180336724961,BLh,7.4095,538.4148737180547,1.7719999999999998,1.065,2.8106400000000002,3.148,2.01,1.138,"[1.000255095355265, 0.9997222501649788]",0.2885301170108029,0.2886797708838626,0.0012102565875699426,0.004182660475845304,1.7565840142467417,1.0548674689391526,0.3694431095658738,8.144277317065777,8.503015658808536,6.026120332416837,0.33493341253726727,0.12043772503720729,0.10979671279200265,,0.00037677844737391545,0.0053531136873477035,0.0028881993806165124,0.0008578613478933523,0.00046108052983638174,0.33995558407739573,0.2556642176720909,0.05107086325556409,0.015976558450703535,0.005915032581857704,0.15001266384031425,20.889559111094382,1.613469290426882,0.28584164024649855,0.014332863436936122,0.0091358661348714,BLh_M10651772_M0_LK,0.05477203321309488,0.10544653698630138,102.28406007594494,78.26673312215823,2411.8436699585864,"['NS', 'NS']",1.6638497652582158,SR LR,6.898402391927146,"[0.0018323957291276058, inf]",0.019151861509977254,"[0.020109436052295555, 0.06461103813624837]",0.020097615106435027,52.08258087371081,17.819587588669602,24.083393109602692,0.12629533733550033,0.12064045032906465,LK
BLh_M10201856_M0,0.23091551053787593,0.1198378523046788,0.013453651651000001,BLh,7.4058,532.9548956373667,1.8559999999999999,1.02,2.8500400000000004,3.21,2.124,1.0859999999999999,"[1.0003252541967826, 1.000325913427767]",0.09758598078042269,,0.011975231180180792,0.010348611155098844,1.8407066047225675,1.0100866519877676,1.9198134544905774,8.037571818700197,8.511501002260339,4.542872843251201,0.049297668380769634,0.06155625406234183,0.02467091269064195,,4.661466994854227e-07,0.049292990390211344,,0.00041602231928598735,0.0002915464812692809,0.0784634517091376,6.519610189756053,0.0027884575861125203,0.01484098904355122,0.006166549686375794,1.3983254216366945,0.2643189642567667,12.498762445216649,0.45809254393457643,0.00018079930929626404,0.0012707933045646147,BLh_M10201856_M0,0.04771774005190438,0.10762178477596064,102.3775635307158,50.50859466481465,3054.27677582768,"['PC', 'PC']",1.8196078431372547,HR SR,5.444100830701751,"[0.0009930402661078672, 0.0013122317802139634]",0.01523304761136697,"[0.04516584141379406, 0.02629807635774464]",0.02629807731981397,14.407040647338304,14.114895936797453,6.0333090500179445,0.08400544352540434,0.11687495305659326,
BLh_M10201856_M0_LK,0.23091551053787593,0.1198378523046788,0.013034588638899999,BLh,7.4058,532.9548956373667,1.8559999999999999,1.02,2.8500400000000004,3.21,2.124,1.0859999999999999,"[1.00032525419678, 0.9998274808173259, 1.0003259134277642]",0.17026014944582216,0.17474650158049387,0.009851589471584947,0.008106402246153792,1.8407066047225675,1.0100866519877676,1.688067887451078,8.037571818700197,8.511501002260339,1.8106640097455589,0.04705123447595947,0.05744723150174192,0.032542795049125293,,0.0002875800871140239,0.000970533719182284,0.0010507728343908964,0.0006165495911273479,0.00042756069000648284,0.08776958499855475,0.46767629037963054,0.0010826622705663016,0.002774617823161733,0.009538990946835415,1.1775917316183686,0.48879600097985987,0.415736327373927,0.6525549854752877,0.0014615850857606486,0.0029098976566310822,BLh_M10201856_M0_LK,0.04771774005190438,0.10762178477596064,102.3775635307158,50.50859466481465,3054.27677582768,"['PC', 'PC', 'PC']",1.8196078431372547,HR LR SR,3.5217183658663256,"[0.001450154039395612, 0.0014028664076761886, 0.0014304508595125182]",0.005948632174486658,"[0.009605542360788637, 0.012048736666292107, 0.01749075495000227]",0.009605541398719305,15.88509535469394,7.875517732007921,6.528269852632735,0.08280160982580098,0.11370644847777528,LK
DD2_M13641364_M0_R04,0.15249487118545277,0.15249487118545277,0.05459892699019999,DD2,7.4056,853.8301878550591,1.364,1.364,2.70356,2.9746,1.4873,1.4873,"[0.9742996385865664, 0.9743022382387204]",0.1535059851546931,0.3362355405913183,0.013556545624264841,0.0011224418238695252,1.3522392228811608,1.3522392228811608,1.1752551363837638,8.944563114789652,8.944563114789652,7.091273848931864,0.3020457181076668,0.06982764622169467,0.245986563842315,R04,1.8382316668121872e-06,0.05182197843308711,0.23250762632833813,0.004705459394329463,0.00012423085410275656,0.1486198977893142,4.76255057198903,0.008854323763553247,0.0004671447714629859,0.002501060404222512,0.6175531629346217,2.435898021098489,17.96415883296589,0.5174304402741328,0.001358072635797374,0.010922994907229748,DD2_M13641364_M0_R04,0.10069386667914172,0.10069386667914172,159.3798553363389,853.8301878550589,853.8301878550589,"['NS', 'NS']",1.0,LR SR,6.175531629346216,"[inf, inf]",0.009432909812766106,"[0.09196127963646472, 0.11017489912039548]",0.09196128348474204,14.260443515504063,46.284937820758124,38.07104658354799,0.1659076250173106,0.1798097345443972,
