,bibkey,dataset,EOS,nus,q,M1,M2,Mb1,Mb2,C1,C2,Lambda,Mej_tot-geo,vel_inf_ave-geo,Ye_ave-geo,theta_rms-geo,Mdisk3D,arxiv
BLh_M13641364_M0_LK,Reference set,M0RefSet & M0/M1Set,BLh,leakM0,1.0,1.364,1.364,1.493,1.493,0.16200990271847632,0.16200990271847632,541.7018607929513,0.0014267218752964234,0.16589578872769795,0.2706962229523744,39.645289958614455,0.16648681794412154,https://arxiv.org/abs/2008.04333
BLh_M13641364_M0,Reference set,M0RefSet & M0/M1Set,BLh,leakM0,1.0,1.365,1.365,1.493,1.493,0.16212867830697958,0.16212867830697958,541.7018607929513,0.0013149971403814426,0.16440263738066088,0.25927313590779805,38.488143129887206,0.20900451729539785,https://arxiv.org/abs/2008.04333
BLh_M12591482_M0_LK,Reference set,M0RefSet & M0/M1Set,BLh,leakM0,1.177124702144559,1.482,1.259,1.638,1.366,0.17725036257651394,0.14888761332488176,539.4518975546432,0.003010088576702657,0.1893684255300298,0.1790076227977691,33.64987403944254,0.1835043170937785,https://arxiv.org/abs/2008.04333
BLh_M11841581_M0_LK,Reference set,M0RefSet & M0/M1Set,BLh,leakM0,1.335304054054054,1.581,1.1840000000000002,1.7619999999999998,1.277,0.19034342602281495,0.13966551134803365,539.1503721182672,0.0025433988787041052,0.17350121056128465,0.13963629135518466,28.790634282825565,0.19211098845199026,https://arxiv.org/abs/2008.04333
BLh_M11461635_M0_LK,Reference set,M0RefSet & M0/M1Set,BLh,leakM0,1.4267015706806283,1.635,1.146,1.832,1.232,0.19785573475602455,0.13506059171658208,540.1768804395066,0.0026577895747985467,0.15573675661398895,0.19178319798208104,34.492417682865245,0.2653520638443836,https://arxiv.org/abs/2008.04333
BLh_M11041699_M0_LK,Reference set,M0RefSet & M0/M1Set,BLh,leakM0,1.5389492753623188,1.699,1.104,1.915,1.1840000000000002,0.20695122602183652,0.12995731761235255,543.9697609522354,0.00197487142713787,0.1328173316843825,0.17191386568964648,31.20784134195677,0.30751685742978696,https://arxiv.org/abs/2008.04333
BLh_M10651772_M0_LK,Reference set,M0RefSet & M0/M1Set,BLh,leakM0,1.6638497652582158,1.7719999999999998,1.065,2.01,1.138,0.2175760882168016,0.12524968114068255,538.4148737180547,0.004182660475845304,0.12064045032906465,0.10979671279200263,24.08339310960269,0.2885301170108029,https://arxiv.org/abs/2008.04333
BLh_M10201856_M0,Reference set,M0RefSet & M0/M1Set,BLh,leakM0,1.8196078431372549,1.856,1.02,2.124,1.086,0.23091551053787596,0.1198378523046788,532.9548956373667,0.010348611155098844,0.11687495305659325,0.02467091269064195,6.0333090500179445,0.09758598078042267,https://arxiv.org/abs/2008.04333
BLh_M10201856_M0_LK,Reference set,M0RefSet & M0/M1Set,BLh,leakM0,1.8196078431372549,1.856,1.02,2.124,1.086,0.23091551053787596,0.1198378523046788,532.9548956373667,0.008106402246153792,0.11370644847777528,0.032542795049125293,6.528269852632735,0.17026014944582216,https://arxiv.org/abs/2008.04333
DD2_M13641364_M0_R04,Reference set,M0RefSet & M0/M1Set,DD2,leakM0,1.0,1.364,1.364,1.4873,1.4873,0.15249487118545274,0.15249487118545274,853.8301878550591,0.0011224418238695252,0.1798097345443972,0.24598656384231501,38.07104658354799,0.1535059851546931,https://arxiv.org/abs/2008.04333
