name,EOS,publish,export,comment,viscosity,resolution,Mbi_Mb,M1,M2,Mb1,Mb2,Mb,Mg1,Mg2,R1,R2,C1,C2,k21,k31,k41,k22,k32,k42,lam21,lam31,lam41,lam22,lam32,lam42,Lambda,k2T,tend,finished,MADM,EGW,JADM,JGW,f0,fpeak,tcoll,Mdisk,Mej,Yeej,Sej,vej,Ekej,Mej_shocked,Mej_tidal
BHBlp_M144139_LK,BHBlp,yes,yes,leakage,,0.125,1,1.44,1.39,1.58001,1.52026,3.10027,1.42845994114214,1.37946041440251,8.9535534415221,8.94581027159223,0.16083,0.15538,0.09481,0.02519,0.00909,0.09772,0.02615,0.00951,587.3913919792,1206.69488128917,2404.92214982524,719.310854121258,1594.57374853502,3431.35111307928,650.209372648612,121.924397170414,13.666125566913,yes,2.79924,0.0600376184432,7.58863,1.87711104378,675.312,2788.76595745,10.3899566740806,0.12918387142,0.000593162,0.175112251662,22.4988635919,0.203279926562,0.301705681388,,
BHBlp_M150150_LK,BHBlp,yes,yes,leakage,,0.125,1,1.5,1.5,1.6565,1.6565,3.313,1.49062547344027,1.49062547344027,8.96110878786068,8.96110878786068,0.16739,0.16739,0.09118,0.024,0.00857,0.09118,0.024,0.00857,462.552233111546,869.047296291726,1582.18015973377,462.552233111546,869.047296291726,1582.18015973377,462.552233111546,86.728543708415,10.0013341086578,yes,2.9703,0.0459684907743,8.39708,1.50923752931,689.77,2738.96656535,2.27452903131665,0.0379784109765,0.000501553,0.172081440429,20.0825515967,0.234765225914,0.332283538433,,
BHBlp_M150150_LK_HR,BHBlp,no,no,leakage,,0.083333,1,1.5,1.5,1.6565,1.6565,3.313,1.49062547344027,1.49062547344027,8.96110878786068,8.96110878786068,0.16739,0.16739,0.09118,0.024,0.00857,0.09118,0.024,0.00857,462.552233111546,869.047296291726,1582.18015973377,462.552233111546,869.047296291726,1582.18015973377,462.552233111546,86.728543708415,0.819652283136651,no (20.18 ms to go),2.9703,0.00357711103715,8.39708,0.277375753631,689.77,nan,inf,nan,5.4084E-10,0.300042793516,139.316021559,0.0487819835811,1.34871810754E-08,,
BHBlp_M160160_LK,BHBlp,yes,yes,leakage,,0.125,1,1.6,1.6,1.77792,1.77792,3.55584,1.5879887042386,1.5879887042386,8.96810716888067,8.96810716888067,0.17841,0.17841,0.08488,0.02195,0.0077,0.08488,0.02195,0.0077,313.053198761785,508.673260549891,800.863835624408,313.053198761785,508.673260549891,800.863835624408,313.053198761784,58.6974747678346,8.54723943328555,yes,3.16204,0.0285081398365,9.32398,1.23561036129,703.514,2838.56534954,0.993139586336954,0.0014048430316,1.29268E-05,0.197374706127,101.093929043,0.139630525652,0.00248976771576,,
DD2_M120120_LK,DD2,yes,yes,leakage,,0.125,1,1.2,1.2,1.29692,1.29692,2.59384,1.19292028901531,1.19292028901531,8.90405876678786,8.90405876678786,0.13477,0.13477,0.10752,0.02943,0.01096,0.10752,0.02943,0.01096,1612.24802950828,4859.33007687365,14233.5160506694,1612.24802950828,4859.33007687365,14233.5160506694,1612.24802950828,302.296505532803,24.6604999416786,yes,2.38178,0.0242802032085,5.75981,1.03735515322,633.08,2240.97264438,inf,nan,0.000755344,0.150490086402,20.8735331021,0.135433815231,0.164941304848,,
DD2_M125125_LK,DD2,yes,yes,leakage,,0.125,1,1.25,1.25,1.35299,1.35299,2.70598,1.24025667835093,1.24025667835093,8.91710657725781,8.91710657725781,0.14018,0.14018,0.10517,0.02864,0.01061,0.10517,0.02864,0.01061,1295.29991380455,3590.1232699913,9669.00043270956,1295.29991380455,3590.1232699913,9669.00043270956,1295.29991380455,242.868733838352,32.3802058198743,yes,2.47564,0.0270131493896,6.16715,1.11114783636,644.684,2340.57142857,inf,nan,0.000382383,0.176457572296,26.6464216165,0.149095565986,0.0991626097169,,
DD2_M1251365_LK,DD2,yes,yes,leakage,,0.125,1,1.365,1.25,1.49103,1.35241,2.84344,1.35537720861909,1.23976867182338,8.94143849076379,8.91710657725781,0.15266,0.14018,0.09914,0.02663,0.00972,0.10517,0.02864,0.01061,797.134058520788,1837.52432406198,4111.30445754929,1295.29991380455,3590.1232699913,9669.00043270956,1016.97535763328,190.768609561901,22.1424335526194,yes,2.58906,0.0318636844801,6.63885,1.23952844225,656,2440.17021277,inf,nan,0.000382209,0.150393460087,20.671743803,0.202034424404,0.201892090642,,
DD2_M130130_LK,DD2,yes,yes,leakage,,0.125,1,1.3,1.3,1.41572,1.41572,2.83144,1.29282499228844,1.29282499228844,8.92795824462606,8.92795824462606,0.14561,0.14561,0.10267,0.02781,0.01024,0.10267,0.02781,0.01024,1045.67396125715,2671.78380087502,6628.56983908347,1045.67396125715,2671.78380087502,6628.56983908347,1045.67396125715,196.063867735717,22.9226794759899,yes,2.5796,0.03197616812,6.60881,1.24454539906,654.862,2489.96960486,inf,nan,0.00120958,0.127007038172,14.856003598,0.178713598481,0.446845814056,,
DD2_M135135_LK,DD2,yes,yes,leakage,,0.125,1,1.35,1.35,1.47277,1.47277,2.94554,1.34026500358747,1.34026500358747,8.93862146593392,8.93862146593392,0.15103,0.15103,0.09996,0.0269,0.00984,0.09996,0.0269,0.00984,848.044957999892,2001.00631782103,4584.23416460744,848.044957999892,2001.00631782103,4584.23416460744,848.044957999892,159.00842962498,22.3079402636374,yes,2.67288,0.0408860662854,7.01514,1.47438320298,663.58,2539.76899696,inf,nan,0.000293877,0.182207846677,27.3635168203,0.180606491386,0.118640078836,,
DD2_M135135_LK_HR,DD2,yes,yes,leakage,,0.083333,1,1.35,1.35,1.47277,1.47277,2.94554,1.34026500358747,1.34026500358747,8.93862146593392,8.93862146593392,0.15103,0.15103,0.09996,0.0269,0.00984,0.09996,0.0269,0.00984,848.044957999892,2001.00631782103,4584.23416460744,848.044957999892,2001.00631782103,4584.23416460744,848.044957999892,159.00842962498,21.2951968176464,yes,2.67288,0.0450144999588,7.01514,1.56637554595,663.58,2639.36778116,inf,nan,0.000204825,0.181227080417,28.4006665241,0.185417360206,0.0892542327023,,
DD2_M135135_M0,DD2,yes,no,M0,,0.125,1,1.35,1.35,1.47277,1.47277,2.94554,1.34026500358747,1.34026500358747,8.93862146593392,8.93862146593392,0.15103,0.15103,0.09996,0.0269,0.00984,0.09996,0.0269,0.00984,848.044957999892,2001.00631782103,4584.23416460744,848.044957999892,2001.00631782103,4584.23416460744,848.044957999892,159.00842962498,18.2884915674865,no (2.71 ms to go),2.67288,0.0405296560376,7.01514,1.46941546656,663.58,2539.76899696,inf,nan,0.0014195,0.225551296204,20.5024689813,0.166251706985,0.492784284551,,
DD2_M140120_LK,DD2,yes,yes,leakage,,0.125,1,1.4,1.2,1.53253,1.29693,2.82946,1.38959109246487,1.19292876120195,8.94797392304742,8.90405876678786,0.15646,0.13477,0.09713,0.02596,0.00942,0.10752,0.02943,0.01096,690.630096309075,1508.06528698578,3193.46136378171,1612.24802950828,4859.33007687365,14233.5160506694,1057.59523096822,198.567152823735,21.4922286164773,yes,2.57644,0.0305524638663,6.53749,1.1779539338,652.714,2489.96960486,inf,nan,0.000889373,0.121703207033,14.838858128,0.178656091942,0.358035356336,,
DD2_M140120_M0,DD2,yes,no,M0,,0.125,1,1.4,1.2,1.53253,1.29693,2.82946,1.38959109246487,1.19292876120195,8.94797392304742,8.90405876678786,0.15646,0.13477,0.09713,0.02596,0.00942,0.10752,0.02943,0.01096,690.630096309075,1508.06528698578,3193.46136378171,1612.24802950828,4859.33007687365,14233.5160506694,1057.59523096822,198.567152823735,24.8260066526966,yes,2.57644,0.026999011288,6.53749,1.08752639025,652.714,2340.57142857,inf,nan,0.00164611,0.211572203284,17.634491606,0.159595757173,0.542362345284,,
DD2_M140140_LK,DD2,yes,yes,leakage,,0.125,1,1.4,1.4,1.53254,1.53254,3.06508,1.3895993147991,1.3895993147991,8.94797392304742,8.94797392304742,0.15646,0.15646,0.09713,0.02596,0.00942,0.09713,0.02596,0.00942,690.630096309075,1508.06528698578,3193.46136378171,690.630096309075,1508.06528698578,3193.46136378171,690.630096309075,129.493143057952,22.6271317777435,yes,2.77062,0.0536440195295,7.44301,1.79108256352,671.364,2639.36778116,inf,nan,0.00041999,0.170901852867,21.9135986193,0.223043086864,0.260589266898,,
DD2_M140140_LK_HR,DD2,yes,yes,leakage,,0.083333,1,1.4,1.4,1.53254,1.53254,3.06508,1.3895993147991,1.3895993147991,8.94797392304742,8.94797392304742,0.15646,0.15646,0.09713,0.02596,0.00942,0.09713,0.02596,0.00942,690.630096309075,1508.06528698578,3193.46136378171,690.630096309075,1508.06528698578,3193.46136378171,690.630096309075,129.493143057952,22.5089126984449,yes,2.77062,0.0477327163444,7.44301,1.64406377272,671.364,2589.56838906,inf,nan,0.000914184,0.135365124917,16.5856904751,0.184838814535,0.388369118345,,
DD2_M144139_LK,DD2,yes,no,leakage,,0.125,1,1.44,1.39,1.58001,1.52026,3.10027,1.42851325832185,1.37949433797033,8.9535534415221,8.94581027159223,0.16083,0.15538,0.09481,0.02519,0.00909,0.09772,0.02615,0.00951,587.3913919792,1206.69488128917,2404.92214982524,719.310854121258,1594.57374853502,3431.35111307928,650.209372648612,121.924397170414,21.4449409847579,yes,2.79924,0.0570937886781,7.58863,1.89235286087,675.312,2589.56838906,inf,nan,0.000531682,0.170668056164,22.0175644974,0.197831552819,0.264375251821,,
DD2_M150150_LK,DD2,yes,yes,leakage,,0.125,1,1.5,1.5,1.6565,1.6565,3.313,1.49070684094546,1.49070684094546,8.96110878786068,8.96110878786068,0.16739,0.16739,0.09118,0.024,0.00857,0.09118,0.024,0.00857,462.552233111546,869.047296291726,1582.18015973377,462.552233111546,869.047296291726,1582.18015973377,462.552233111546,86.728543708415,21.2203247340907,yes,2.9703,0.0735807650314,8.39708,2.27434934648,689.77,2738.96656535,inf,nan,0.000690053,0.197331003488,23.2494246791,0.167387468145,0.261229293558,,
DD2_M150150_LK_HR,DD2,no,no,leakage,,0.083333,1,1.5,1.5,1.6565,1.6565,3.313,1.49070684094546,1.49070684094546,8.96110878786068,8.96110878786068,0.16739,0.16739,0.09118,0.024,0.00857,0.09118,0.024,0.00857,462.552233111546,869.047296291726,1582.18015973377,462.552233111546,869.047296291726,1582.18015973377,462.552233111546,86.728543708415,0.788127195323702,no (20.21 ms to go),2.9703,0.00568928651616,8.39708,0.425199370019,689.77,nan,inf,nan,0,nan,nan,nan,0,,
DD2_M160160_LK,DD2,yes,no,leakage,,0.125,1,1.6,1.6,1.77792,1.77792,3.55584,1.58815051056196,1.58815051056196,8.96810716888067,8.96810716888067,0.17841,0.17841,0.08488,0.02195,0.0077,0.08488,0.02195,0.0077,313.053198761785,508.673260549891,800.863835624408,313.053198761785,508.673260549891,800.863835624408,313.053198761784,58.6974747678346,9.95404647693835,yes,3.16204,0.0537546146041,9.32398,1.71088006496,703.514,4133.34954407,2.28172755068782,0.0460095444493,0.00123068,0.141130844832,12.9466071189,0.236486818059,0.832514593326,,
LS220_M120120_LK,LS220,yes,yes,leakage,,0.125,1,1.2,1.2,1.29564,1.29564,2.59128,1.17938109401522,1.17938109401522,8.65051903114187,8.65051903114187,0.13872,0.13872,0.11088,0.03205,0.0126,0.11088,0.03205,0.0126,1439.01909740288,4323.07937457077,12617.0992835526,1439.01909740288,4323.07937457077,12617.0992835526,1439.01909740288,269.81608076304,21.1257494706518,yes,2.3781,0.0372849759328,5.75586,1.34818527929,633.964,2539.76899696,inf,nan,0.00140069,0.116899163673,14.9572646894,0.146553098364,0.327685613084,,
LS220_M1251365_LK,LS220,yes,yes,leakage,,0.125,1,1.365,1.25,1.49118,1.3547,2.84588,1.34090717580228,1.22862266337396,8.60059227521895,8.64035390889611,0.15871,0.14467,0.09601,0.02685,0.01021,0.10641,0.03047,0.01186,635.629071909269,1411.40933376363,3043.88201008702,1119.43473060578,3063.10455123961,8138.02561434627,848.433748838148,159.195558899078,24.6013904020293,yes,2.58838,0.0536918084107,6.62293,1.71074331941,654.686,2838.56534954,inf,nan,0.00110871,0.102591572716,13.090111665,0.160045944821,0.318235153213,,
LS220_M135135_LK,LS220,yes,yes,leakage,,0.125,1,1.35,1.35,1.47334,1.47334,2.94668,1.3263478329092,1.3263478329092,8.60640061201071,8.60640061201071,0.15686,0.15686,0.0974,0.02733,0.01043,0.0974,0.02733,0.01043,683.764650054586,1559.52698387368,3455.53351049596,683.764650054586,1559.52698387368,3455.53351049596,683.764650054587,128.205871885235,21.7404886830043,yes,2.67124,0.0842542507727,6.99988,2.33084239653,662.606,2987.96352584,20.3391758652292,0.0969302395637,0.000591045,0.11379542362,15.7096778734,0.157891449754,0.167559408905,,
LS220_M135135_LK_LR,LS220,yes,yes,leakage,,0.166666,1,1.35,1.35,1.47334,1.47334,2.94668,1.3263478329092,1.3263478329092,8.60640061201071,8.60640061201071,0.15686,0.15686,0.0974,0.02733,0.01043,0.0974,0.02733,0.01043,683.764650054586,1559.52698387368,3455.53351049596,683.764650054586,1559.52698387368,3455.53351049596,683.764650054587,128.205871885235,27.6475020119555,yes,2.67124,0.0662628599441,6.99988,1.98944739541,662.606,2838.56534954,inf,nan,0.00109147,0.130245267194,15.7435486077,0.163810071055,0.323758192718,,
LS220_M135135_LK_HR,LS220,no,no,leakage,,0.083333,1,1.35,1.35,1.47334,1.47334,2.94668,1.3263478329092,1.3263478329092,8.60640061201071,8.60640061201071,0.15686,0.15686,0.0974,0.02733,0.01043,0.0974,0.02733,0.01043,683.764650054586,1559.52698387368,3455.53351049596,683.764650054586,1559.52698387368,3455.53351049596,683.764650054587,128.205871885235,0.796008467276939,no (20.2 ms to go),2.67124,0.00477021845569,6.99988,0.386275950485,662.606,946.188449848,inf,nan,4.91096E-08,0.270463820037,146.745925471,0.0415582961376,8.94729135289E-07,,
LS220_M135135_M0,LS220,yes,no,M0,,0.125,1,1.35,1.35,1.47334,1.47334,2.94668,1.3263478329092,1.3263478329092,8.60640061201071,8.60640061201071,0.15686,0.15686,0.0974,0.02733,0.01043,0.0974,0.02733,0.01043,683.764650054586,1559.52698387368,3455.53351049596,683.764650054586,1559.52698387368,3455.53351049596,683.764650054587,128.205871885235,20.4873664424396,no (0.51 ms to go),2.67124,0.0790154190777,6.99988,2.24514922857,662.606,2938.16413374,inf,nan,0.00185523,0.246561703806,19.4029392905,0.147051125522,0.497001563133,,
LS220_M135135_M0_L5,LS220,yes,no,"M0, lmix=5",L5,0.125,1,1.35,1.35,1.47334,1.47334,2.94668,1.3263478329092,1.3263478329092,8.60640061201071,8.60640061201071,0.15686,0.15686,0.0974,0.02733,0.01043,0.0974,0.02733,0.01043,683.764650054586,1559.52698387368,3455.53351049596,683.764650054586,1559.52698387368,3455.53351049596,683.764650054587,128.205871885235,22.5207346063748,yes,2.67124,0.0772782793803,6.99988,2.20993893762,662.606,2987.96352584,inf,nan,0.00270703,0.271861280499,19.6940638807,0.130158312861,0.58408800363,,
LS220_M135135_M0_L25,LS220,yes,no,"M0, lmix=25",L25,0.125,1,1.35,1.35,1.47334,1.47334,2.94668,1.3263478329092,1.3263478329092,8.60640061201071,8.60640061201071,0.15686,0.15686,0.0974,0.02733,0.01043,0.0974,0.02733,0.01043,683.764650054586,1559.52698387368,3455.53351049596,683.764650054586,1559.52698387368,3455.53351049596,683.764650054587,128.205871885235,24.3531303355024,yes,2.67124,0.0878989717059,6.99988,2.37727690465,662.606,3037.76291793,18.0811914505785,0.0835273903421,0.00195074,0.255092221045,21.0703194362,0.138757639642,0.508637128897,,
LS220_M135135_M0_L50,LS220,yes,no,"M0, lmix=50",L50,0.125,1,1.35,1.35,1.47334,1.47334,2.94668,1.3263478329092,1.3263478329092,8.60640061201071,8.60640061201071,0.15686,0.15686,0.0974,0.02733,0.01043,0.0974,0.02733,0.01043,683.764650054586,1559.52698387368,3455.53351049596,683.764650054586,1559.52698387368,3455.53351049596,683.764650054587,128.205871885235,34.7564093137752,yes,2.67124,0.0440166075547,6.99988,1.48959545804,662.606,2888.36474164,inf,nan,0.00198329,0.259953447425,23.6045619448,0.163917981548,0.658155318013,,
LS220_M135135_OldM0,LS220,yes,no,"M0, LTE",,0.125,1,1.35,1.35,1.47334,1.47334,2.94668,1.3263478329092,1.3263478329092,8.60640061201071,8.60640061201071,0.15686,0.15686,0.0974,0.02733,0.01043,0.0974,0.02733,0.01043,683.764650054586,1559.52698387368,3455.53351049596,683.764650054586,1559.52698387368,3455.53351049596,683.764650054587,128.205871885235,19.0332717670674,no (1.97 ms to go),2.67124,0.0684120438162,6.99988,2.01530140799,662.606,2987.96352584,inf,nan,0.00107419,0.195675916269,17.1122697866,0.134553646728,0.243667999607,,
LS220_M140120_LK,LS220,yes,yes,leakage,,0.125,1,1.4,1.2,1.53451,1.29564,2.83015,1.37609340539917,1.17938109401522,8.58474368408143,8.65051903114187,0.16308,0.13872,0.09275,0.02573,0.0097,0.11088,0.03205,0.0126,536.067089144579,1118.33934243313,2264.67614693664,1439.01909740288,4323.07937457077,12617.0992835526,893.436162642197,167.878444284075,21.4212971688982,yes,2.57448,0.0425807827093,6.54004,1.46979894372,653.684,2738.96656535,inf,nan,0.00186003,0.0873875323243,11.0197178816,0.151374531582,0.469433491415,,
LS220_M140120_M0,LS220,yes,no,M0,,0.125,1,1.4,1.2,1.53451,1.29564,2.83015,1.37609340539917,1.17938109401522,8.58474368408143,8.65051903114187,0.16308,0.13872,0.09275,0.02573,0.0097,0.11088,0.03205,0.0126,536.067089144579,1118.33934243313,2264.67614693664,1439.01909740288,4323.07937457077,12617.0992835526,893.436162642197,167.878444284075,22.6980632253226,yes,2.57448,0.0382005958753,6.54004,1.37059503359,653.684,2639.36778116,inf,nan,0.00242864,0.184839417266,14.0402913208,0.149788172768,0.633830782031,,
LS220_M140120_M0_L5,LS220,yes,no,"M0, lmix=5",,0.125,1,1.4,1.2,1.53451,1.29564,2.83015,1.37609340539917,1.17938109401522,8.58474368408143,8.65051903114187,0.16308,0.13872,0.09275,0.02573,0.0097,0.11088,0.03205,0.0126,536.067089144579,1118.33934243313,2264.67614693664,1439.01909740288,4323.07937457077,12617.0992835526,893.436162642197,167.878444284075,26.102772709121,yes,2.57448,0.0327318837322,6.54004,1.23449188581,653.684,2738.96656535,inf,nan,0.00280959,0.184078385914,14.0485814811,0.151088901847,0.756379495619,,
LS220_M140120_M0_L25,LS220,yes,no,"M0, lmix=25",L25,0.125,1,1.4,1.2,1.53451,1.29564,2.83015,1.37609340539917,1.17938109401522,8.58474368408143,8.65051903114187,0.16308,0.13872,0.09275,0.02573,0.0097,0.11088,0.03205,0.0126,536.067089144579,1118.33934243313,2264.67614693664,1439.01909740288,4323.07937457077,12617.0992835526,893.436162642197,167.878444284075,26.4101423152972,yes,2.57448,0.0365875609672,6.54004,1.31192038794,653.684,2689.16717325,inf,nan,0.00411685,0.15996259481,12.8312183237,0.200073015972,1.97268892594,,
LS220_M140120_M0_L50,LS220,yes,no,"M0, lmix=50",L50,0.125,1,1.4,1.2,1.53451,1.29564,2.83015,1.37609340539917,1.17938109401522,8.58474368408143,8.65051903114187,0.16308,0.13872,0.09275,0.02573,0.0097,0.11088,0.03205,0.0126,536.067089144579,1118.33934243313,2264.67614693664,1439.01909740288,4323.07937457077,12617.0992835526,893.436162642197,167.878444284075,36.411476423955,yes,2.57448,0.0307745860136,6.54004,1.16207313397,653.684,2689.16717325,inf,nan,0.00697461,0.175178154029,13.1941526908,0.217117432122,3.96869443652,,
LS220_M140140_LK,LS220,yes,yes,leakage,,0.125,1,1.4,1.4,1.53452,1.53452,3.06904,1.37610149538819,1.37610149538819,8.58474368408143,8.58474368408143,0.16308,0.16308,0.09275,0.02573,0.0097,0.09275,0.02573,0.0097,536.067089144579,1118.33934243313,2264.67614693664,536.067089144579,1118.33934243313,2264.67614693664,536.067089144578,100.512579214608,24.8496504685563,yes,2.77034,0.0700148835076,7.44902,2.02355926139,671.916,3137.36170213,9.92779366335171,0.118787023388,0.00143295,0.14415318099,15.5155257271,0.167636506813,0.479429218062,,
LS220_M140140_LK_HR,LS220,yes,yes,leakage,,0.083333,1,1.4,1.4,1.53452,1.53452,3.06904,1.37610149538819,1.37610149538819,8.58474368408143,8.58474368408143,0.16308,0.16308,0.09275,0.02573,0.0097,0.09275,0.02573,0.0097,536.067089144579,1118.33934243313,2264.67614693664,536.067089144579,1118.33934243313,2264.67614693664,536.067089144578,100.512579214608,17.9693000533804,yes,2.77034,0.0765730910202,7.44902,2.15835117328,671.916,3137.36170213,9.35246081068301,0.0699936631518,0.000714496,0.153533676604,17.2511486154,0.170260834744,0.261706997912,,
LS220_M140140_LK_LR,LS220,yes,yes,leakage,,0.166666,1,1.4,1.4,1.53452,1.53452,3.06904,1.37610149538819,1.37610149538819,8.58474368408143,8.58474368408143,0.16308,0.16308,0.09275,0.02573,0.0097,0.09275,0.02573,0.0097,536.067089144579,1118.33934243313,2264.67614693664,536.067089144579,1118.33934243313,2264.67614693664,536.067089144578,100.512579214608,12.0898711762656,yes,2.77034,0.0685448877643,7.44902,1.98104318606,671.916,3187.16109422,8.58009615926717,0.0741860871666,0.00166126,0.160536396417,14.8033991364,0.191571066582,0.677216840505,,
LS220_M144139_LK,LS220,yes,yes,leakage,,0.125,1,1.44,1.39,1.58149,1.52047,3.10196,1.41400271079512,1.36472300391059,8.5658199988103,8.58979112594241,0.16811,0.16182,0.08895,0.02444,0.00912,0.09367,0.02605,0.00985,441.658865557433,858.786287078398,1619.92012740677,562.792468606045,1195.42156581053,2465.96640418954,499.261044023471,93.6242767808743,12.7203729325245,yes,2.79674,0.0663758815276,7.56968,1.94923440219,674.494,3137.36170213,7.2216853488609,0.0982180839479,0.00190409,0.143187270514,14.7703041333,0.15717414715,0.54335575236,,
